UniqueRef,DATE OF TRANSACTION,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC1,01-Apr-11,Auto Rental                        ,Auto Rental                        ,£757.68,1
MODGPC2,01-Apr-11,Auto Rental                        ,Auto Rental                        ,"£1,097.50",2
MODGPC3,01-Apr-11,Auto Rental                        ,Auto Rental                        ,£581.81,3
MODGPC4,01-Apr-11,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,"£1,706.40",4
MODGPC5,01-Apr-11,Books and Periodicals              , BOOK STORES,£987.94,5
MODGPC6,01-Apr-11,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,£806.70,6
MODGPC7,01-Apr-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"£1,289.80",7
MODGPC8,01-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"£4,320.00",8
MODGPC9,01-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"£3,362.88",9
MODGPC10,01-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,£696.00,10
MODGPC11,01-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"£1,269.36",11
MODGPC12,01-Apr-11,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,"£9,190.66",12
MODGPC13,01-Apr-11,Catering and Catering Supplies     , CATERERS,"£3,823.49",13
MODGPC14,01-Apr-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,£737.50,14
MODGPC15,01-Apr-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"£1,708.00",15
MODGPC16,01-Apr-11,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,£554.00,16
MODGPC17,01-Apr-11,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,£638.00,17
MODGPC18,01-Apr-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"£1,729.09",18
MODGPC19,01-Apr-11,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"£1,788.00",19
MODGPC20,01-Apr-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"£1,169.86",20
MODGPC21,01-Apr-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"£1,179.40",21
MODGPC22,01-Apr-11,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"£8,179.10",22
MODGPC23,01-Apr-11,Estate and Garden Services         ," NURSERIES, LAWN/GARDEN SUPPLY",£600.00,23
MODGPC24,01-Apr-11,Financial Services                 , INSURANCE SALES/UNDERWRITE,£922.50,24
MODGPC25,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£1,779.84",25
MODGPC26,01-Apr-11,General Retail and Wholesale       , PET STORES/FOOD & SUPPLY,"£1,707.66",26
