Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Minister of State, (Universities and Science), Rt Hon David Willets MP",1-Sep,Foundation for Management Education,Dinner
"Minister of State, (Universities and Science), Rt Hon David Willets MP",6-Sep,The Daily Telegraph,Lunch
"Minister of State, (Universities and Science), Rt Hon David Willets MP",8-Sep,The Daily Mail,Lunch
"Minister of State, (Universities and Science), Rt Hon David Willets MP",8-Sep,Universities UK,Dinner & overnight accommodation
"Minister of State, (Universities and Science), Rt Hon David Willets MP",13-Sep,The Times,Lunch
"Minister of State, (Universities and Science), Rt Hon David Willets MP",14-Sep,GuildHE,Dinner
"Minister of State, (Universities and Science), Rt Hon David Willets MP",16-Sep,Birmingham Science Festival,Dinner
"Minister of State, (Universities and Science), Rt Hon David Willets MP",20-Sep,Oxford University,Lunch
"Minister of State, (Universities and Science), Rt Hon David Willets MP",21-Sep,BBC,Lunch
"Minister of State, (Universities and Science), Rt Hon David Willets MP",27-Sep,The Royal Society,Dinner
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",14-Sep,Princes Trust,Lunch
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",8-Sep,Financial Reporting Council,Dinner
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",16-Sep,John Lewis,Dinner
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",30-Sep,National Federation of Sub Postmasters,Lunch
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP",11-Aug,Vodafone,Dinner
