ALB,Public Sector Procurement Expenditure Survey Category ,Supplier, Net Amount £ 
Leasehold Advisory Service,[Bank charges],Not assigned," 1,426.02 "
Leasehold Advisory Service,[Insurance],Not assigned," 2,174.62 "
Leasehold Advisory Service,[Professional fees to regulating body],Not assigned," 16,907.00 "
Leasehold Advisory Service,Accommodation Services (rent & service charges),Not assigned," 140,020.76 "
Leasehold Advisory Service,Accommodation Services (venue rental),Not assigned, 693.60 
Leasehold Advisory Service,Admin & Clerical,Not assigned," 15,500.97 "
Leasehold Advisory Service,Advertising,Not assigned," 15,810.44 "
Leasehold Advisory Service,Building repair & maintenance,Not assigned," 8,369.45 "
Leasehold Advisory Service,Cleaning,Not assigned," 5,401.57 "
Leasehold Advisory Service,Events admission,Not assigned," 4,650.75 "
Leasehold Advisory Service,Financial services,Not assigned," 28,412.90 "
Leasehold Advisory Service,Hardware,Not assigned," 6,886.95 "
Leasehold Advisory Service,Hotels,Not assigned," 5,943.25 "
Leasehold Advisory Service,HR consultancy,Not assigned," 11,024.71 "
Leasehold Advisory Service,IT consultancy,Not assigned," 8,307.90 "
Leasehold Advisory Service,Learning & development goods,Not assigned," 2,062.50 "
Leasehold Advisory Service,Learning & development materials,Not assigned," 6,136.65 "
Leasehold Advisory Service,Learning & development services,Not assigned," 15,618.44 "
Leasehold Advisory Service,Maintenance & Support,Not assigned, 703.19 
Leasehold Advisory Service,Managed/Outsourced services,Not assigned," 5,884.68 "
Leasehold Advisory Service,Marketing,Not assigned," 25,490.93 "
Leasehold Advisory Service,Miscellaneous fees,Not assigned, 564.36 
Leasehold Advisory Service,Networking,Not assigned," 1,053.27 "
Leasehold Advisory Service,Office consumables,Not assigned," 6,517.95 "
Leasehold Advisory Service,Office furniture,Not assigned," 3,569.26 "
Leasehold Advisory Service,Office machines,Not assigned," 23,044.39 "
Leasehold Advisory Service,Office services,Not assigned, 800.04 
Leasehold Advisory Service,Post & Courier,Not assigned," 5,592.99 "
Leasehold Advisory Service,Print,Not assigned," 9,376.75 "
Leasehold Advisory Service,Property services/estates consultancy,Not assigned," 2,972.75 "
Leasehold Advisory Service,Rail,Not assigned," 2,786.03 "
Leasehold Advisory Service,Reprographics,Not assigned," 3,325.00 "
Leasehold Advisory Service,Software,Not assigned," 2,686.95 "
Leasehold Advisory Service,Taxi,Not assigned," 1,378.31 "
Leasehold Advisory Service,Technical consultancy,Not assigned," 23,093.75 "
Leasehold Advisory Service,Telecoms,Not assigned," 25,858.04 "
Leasehold Advisory Service,Waste management services,Not assigned," 1,289.00 "
Leasehold Advisory Service,(blank),Not assigned," 1,132.11 "
,,,
,,,
,,,
,,,
,,,
