Transaction Type,Transaction Date,Transaction Reference,Merchant,Total,,,,,,,
Individual GPC,1/5/2012,PCCL1513321,POSTURITE (UK) LTD       ,829.82,,,,,,,
Individual GPC,1/11/2012,PCCL1513931,THE PAPER COMPANY        ,894.72,,,,,,,
Individual GPC,1/17/2012,PCCL1516571,THE ECONOMIST            ,594.00,,,,,,,
Individual GPC,1/18/2012,PCCL1514711,EUROFFICE LIMITED        ,874.78,,,,,,,
Individual GPC,1/19/2012,PCCL1513381,FLEXIFORM BUS FURNITUR   ,1800.00,,,,,,,
Individual GPC,1/26/2012,PCCL1516621,FINDLAY MEDIA LTD        ,540.00,,,,,,,
Individual GPC,2/2/2012,PCCL1533511,INSIGHT                  ,1891.79,,,,,,,
Individual GPC,2/3/2012,PCCL1530991,MINITRANS CORPORATION    ,653.25,,,,,,,
Individual GPC,2/3/2012,PCCL1531001,MINITRANS CORPORATION    ,653.25,,,,,,,
Individual GPC,2/3/2012,PCCL1533521,ROYAL MAIL               ,1290.00,,,,,,,
Individual GPC,2/6/2012,PCCL1526331,ONLINE ERGONOMICS        ,767.10,,,,,,,
Individual GPC,2/7/2012,PCCL1530881,INSIGHT INTERNET         ,1411.18,,,,,,,
Individual GPC,2/7/2012,PCCL1530891,ISTORAGE                 ,2147.82,,,,,,,
Individual GPC,2/8/2012,PCCL1530411,BANNER BUSINESS SUPPL    ,623.62,,,,,,,
Individual GPC,2/8/2012,PCCL1530021,BUDGETAIR.CO.UK          ,707.38,,,,,,,
Individual GPC,2/8/2012,PCCL1527331,BANNER BUSINESS SUPPL    ,796.99
Individual GPC,2/10/2012,PCCL1527151,OFFICE FOR NAT STATS     ,630.00
Individual GPC,2/13/2012,PCCL1526351,WWW.ONLINE-ERGONOMICS.   ,1051.20
Individual GPC,2/15/2012,PCCL1526361,POSTURITE (UK) LTD       ,1001.40
Individual GPC,2/16/2012,PCCL1531491,PALOMAR DC               ,769.82
Individual GPC,2/16/2012,PCCL1533971,PALOMAR DC               ,795.63
Individual GPC,2/20/2012,PCCL1526381,B R E                    ,600.00
Individual GPC,2/22/2012,PCCL1530961,GMO GLOBALSIGN LIM       ,1368.00
Individual GPC,2/23/2012,PCCL1533051,BANNER BUSINESS SUPPL    ,667.04
Individual GPC,2/23/2012,PCCL1533611,INSIGHT                  ,790.80
Individual GPC,2/24/2012,PCCL1526531,NATIONAL BOAT SHOW       ,600.00
Individual GPC,3/6/2012,PCCL1547121,ZENDESK INC      00 OF 00,566.74
Individual GPC,3/9/2012,PCCL1547131,VIKING                   ,1404.00
Individual GPC,3/9/2012,PCCL1551031,XMA LTD                  ,700.24
Individual GPC,3/13/2012,PCCL1546391,IIA - UK & IRELAND       ,644.00
Individual GPC,3/13/2012,PCCL1546401,IIA - UK & IRELAND       ,654.00
Individual GPC,3/13/2012,PCCL1549301,ISTORAGE                 ,2147.82
Individual GPC,3/20/2012,PCCL1545301,OREGA C/O CEREP COLMOR   ,706.08
Individual GPC,3/21/2012,PCCL1547191,IDEASCALE LLC            ,1950.50
Individual GPC,3/21/2012,PCCL1551921,BANNER BUSINESS SUPPL    ,972.66
Individual GPC,3/22/2012,PCCL1545101,OSMOND GROUP LTD         ,1063.20
Individual GPC,3/22/2012,PCCL1545601,FLEXIFORM BUS FURNITUR   ,1039.68
Individual GPC,3/22/2012,PCCL1553501,OSMOND GROUP LTD         ,612.72
Individual GPC,3/23/2012,PCCL1549081,BANNER BUSINESS SUPPL    ,724.90
Individual GPC,3/23/2012,PCCL1550381,XMA LTD                  ,957.83
Individual GPC,3/27/2012,PCCL1546141,HOME CINEMA STORE        ,698
Individual GPC,3/28/2012,PCCL1545801,XMA LTD                  ,621.10
Individual GPC,3/29/2012,PCCL1549341,"CCS MEDIA LTD,           ",2241.36
Lodged card (Carlson Wagonlit),06/01/2012,328258775,Carlson Wagonlit Travel UK Limited,-937.70
Lodged card (Carlson Wagonlit),06/01/2012,328475548,Carlson Wagonlit Travel UK Limited,-1390.02
