Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,Transaction number,Amount in Sterling,Grant?,
Communities & Local Government,DCLG,01/06/2011,Agency Staff,Finance & Corporate Services,ALLEN LANE FINANCIAL RECRUITMENT,,5106163443,"2,592.00",,
Communities & Local Government,DCLG,01/06/2011,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,5106163287,"10,260.00",,
Communities & Local Government,DCLG,01/06/2011,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,5106163289,"18,192.26",,
Communities & Local Government,DCLG,01/06/2011,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,5106163307,20.40,,
Communities & Local Government,DCLG,01/06/2011,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,5106163307,"2,235.60",,
Communities & Local Government,DCLG,01/06/2011,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,5106163309,"4,233.60",,
Communities & Local Government,DCLG,01/06/2011,Agency Staff,Finance & Corporate Services,REED SPECIALIST RECRUITMENT LTD,,5106163311,450.06,,
Communities & Local Government,DCLG,01/06/2011,Agency Staff,Finance & Corporate Services,REED SPECIALIST RECRUITMENT LTD,,5106163328,450.06,,
Communities & Local Government,DCLG,01/06/2011,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,5106163301,"1,044.00",,
Communities & Local Government,DCLG,01/06/2011,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,5106163301,130.07,,
Communities & Local Government,DCLG,01/06/2011,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,5106163304,"1,293.48",,
Communities & Local Government,DCLG,01/06/2011,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,5106163304,90.16,,
Communities & Local Government,DCLG,01/06/2011,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,5106163305,"1,670.40",,
Communities & Local Government,DCLG,01/06/2011,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,5106163305,402.68,,
Communities & Local Government,DCLG,01/06/2011,Electricity,Neighbourhoods,BRITISH GAS,,5106163604,"6,129.47",,
Communities & Local Government,DCLG,01/06/2011,Electricity,Neighbourhoods,BRITISH GAS,,5106163605,"3,927.27",,
Communities & Local Government,DCLG,01/06/2011,Grant in Aid to NDPBs (non budget),Localism,FIREBUY LTD,,2100204224,"72,627.00",Yes,
Communities & Local Government,DCLG,01/06/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,HOMES & COMMUNITIES AGENCY,,2100204225,"9,971,607.00",Yes,
