Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary (£),Allowances (£),Non-consolidated performance payments (£),Overtime (£),Employer pension contributions (£),Employer national insurance contributions (£),Total paybill for payroll staff (£),"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors (£)","Total cost of consultants/
consultancy (£)",Total non-payroll (CCL) staff costs (£),,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Engineering Construction Industry Training  Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",30,27,29,28,20,20,,,,,9,4,88,79,1,1,,,,,,,1,1,89,80,"225,092.00","8,072.00",,"1,159.00","45,770.00","20,425.00","300,518.00","1,025.00",,"1,025.00","301,543.00"
Film Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,.,,,.,.
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",7,4.83,36,30.02,174,157.91,43,42.31,5,4.4,,,265,239,5,4.2,,,,,1,0.2,6,4.4,271,244,"735,060.15","3,670.75",,"1,130.50","145,212.34","64,159.71","949,233.45","7,081.92","9,174.00","16,255.92","965,489.37"
Insolvency Service,Executive Agency,"Department for Business, Innovation & Skills",783,729.52,419,398.4,827,800.83,95,93.85,5,4.8,,,"2,129","2,027",130,130,,,34,34,,,164,164,"2,293","2,191","4,598,129.13","38,833.45",0,"1,806.43","872,778.94","347,592.38","5,859,140.33","526,169.64",,"526,169.64","6,385,309.97"
Local Better Regulation Office,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1,1,3,3,9,8.2,10,9.9,4,4,,,27,26,0,0,1,0.7,10,2,0,0,11,2.7,38,29,"87,662.42",,,,"17,466.78","6,903.41","112,032.61",,,0,"112,032.61"
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",414,367.27,623,586.63,1718,1656.5,268,261.74,55,51.85,138,82.87,"3,216","3,007",25,24.5,5,3,8,8,10,8.76,48,44.26,"3,264","3,051","9,162,283.13","452,981.62",,"32,635.85",,,"9,647,900.60",,,0,"9,647,900.60"
"National Endowment for Science, Technology and the Arts",Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..
National Measurement Office,Executive Agency,"Department for Business, Innovation & Skills",7,6,11,10.53,34,33.1,17,16.1,1,1,,,70,67,1,1,,,,,,,1,1,71,68,"208,597.00",59,,,"41,362.00","18,000.00","268,018.00",,,0,"268,018.00"
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",293,262,435,414,1064,1017,450,431,64,62,207,206,"2,513","2,392",12,12,0,0,5,5,2,2,19,19,"2,532","2,411","6,221,304.05","155,627.22","142,323.74","31,060.73","1,703,821.87","53,954.91","8,308,092.52","74,460.79","231,752.08","306,212.87","8,614,305.39"
North West Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..
One North East,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..
Postal Services Commission,Non-Ministerial Department,"Department for Business, Innovation & Skills",3,2,11,9.15,15,14.8,20,17.2,10,6.1,0,0,59,49,2,2,6,5.5,1,1,0,0,9,8.5,68,58,"209,166.01",,"6,159.06",,"39,986.55","20,480.87","275,792.49","75,846.00",,"75,846.00","351,638.49",
