Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,24/01/2011,Purchase of plant and machinery,Defence Equipment & Support,A L DALTON LTD,745724,59911.2
Ministry of Defence,Ministry of Defence,14/01/2011,Fees for professional services,Land Forces,A.A. SECURITIES LIMITED,741746,28362.88
Ministry of Defence,Ministry of Defence,13/01/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,741087,115183.19
Ministry of Defence,Ministry of Defence,12/01/2011,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,740483,95007.36
Ministry of Defence,Ministry of Defence,27/01/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,747595,87118.74
Ministry of Defence,Ministry of Defence,24/01/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,745725,85198.44
Ministry of Defence,Ministry of Defence,20/01/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,744423,78169.6
Ministry of Defence,Ministry of Defence,25/01/2011,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,746457,76839.92
Ministry of Defence,Ministry of Defence,21/01/2011,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,745118,60263.46
Ministry of Defence,Ministry of Defence,25/01/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,746457,52527.26
Ministry of Defence,Ministry of Defence,24/01/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,745725,45131.31
Ministry of Defence,Ministry of Defence,11/01/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,739937,42287.09
Ministry of Defence,Ministry of Defence,26/01/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,747026,40341.14
Ministry of Defence,Ministry of Defence,31/01/2011,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,748967,38600.56
Ministry of Defence,Ministry of Defence,28/01/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,748331,38291.98
Ministry of Defence,Ministry of Defence,31/01/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,748967,36142.91
Ministry of Defence,Ministry of Defence,24/01/2011,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,745725,34667.42
Ministry of Defence,Ministry of Defence,17/01/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,742429,32846.65
Ministry of Defence,Ministry of Defence,20/01/2011,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,744423,27207.15
Ministry of Defence,Ministry of Defence,11/01/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,739937,24707.05
Ministry of Defence,Ministry of Defence,18/01/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,743166,23738.94
Ministry of Defence,Ministry of Defence,14/01/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,741747,23039.53
Ministry of Defence,Ministry of Defence,21/01/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,745118,22651.93
Ministry of Defence,Ministry of Defence,27/01/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,747595,22484.16
Ministry of Defence,Ministry of Defence,20/01/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,744423,19795.02
Ministry of Defence,Ministry of Defence,12/01/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,740483,17060.92
Ministry of Defence,Ministry of Defence,06/01/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,738259,15131.51
Ministry of Defence,Ministry of Defence,26/01/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,747026,14586.11
Ministry of Defence,Ministry of Defence,27/01/2011,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,747595,13208.65
