Minister,Date,Name of External Organisation,Purpose of meeting
"Foreign Secretary, Rt Hon William Hague MP",Oct-10,Standard Chartered Bank,"To discuss the FCO’s engagement with the private sector, and global business issues."
"Foreign Secretary, Rt Hon William Hague MP",Oct-10,IAEA Director General,To discuss the IAEA’s work countering nuclear proliferation
"Foreign Secretary, Rt Hon William Hague MP",Oct-10,BBC,To discuss the BBC World Service
"Foreign Secretary, Rt Hon William Hague MP",Oct-10,Amnesty International,To discuss a range of human rights issues
"Foreign Secretary, Rt Hon William Hague MP",Oct-10,Oxfam,To discuss a range of human rights issues
"Foreign Secretary, Rt Hon William Hague MP",Nov-10,Conservative Friends of Israel,To discuss a range of Middle Eastern issues
"Foreign Secretary, Rt Hon William Hague MP",Nov-10,Members of the Multi-National Chairmen’s Group,"To discuss the FCO’s engagement with the private sector, and global business issues."
"Foreign Secretary, Rt Hon William Hague MP",Dec-10,Human Rights Advisory Group,To discuss issues of human rights concern
"Foreign Secretary, Rt Hon William Hague MP",Dec-10,BBC,To discuss the BBC World Service
"Minister of State, Jeremy Browne MP",Oct-10,Aston Martin,Consular case
"Minister of State, Jeremy Browne MP",Oct-10,Facebook,Discuss freedom of expression on the internet
"Minister of State, Jeremy Browne MP",Oct-10,British Chamber of Commerce in Hong Kong,Discuss business opportunities in Hong Kong
"Minister of State, Jeremy Browne MP",Oct-10,"NGO Roundtable: Article 19, Amnesty International, UK Free Tibet Campaign, Human Rights Watch, International Campaign for Tibet, Tibet Society of the UK, Christian Solidarity Worldwide, Tibetan Community in Britain, The Rights Practice",Roundtable discussion on human rights in China
"Minister of State, Jeremy Browne MP",Oct-10,Chatham House,Discuss China
"Minister of State, Jeremy Browne MP",Oct-10,Support After Murder & Manslaughter (SAMM),Discuss FCO consular policy
"Minister of State, Jeremy Browne MP",Oct-10,Chinese Yound Leadership Forum (CYLF),Discuss work of CYLF
"Minister of State, Jeremy Browne MP",Nov-10,Bond Latin America & Caribbean Group,Round table discussion
"Minister of State, Jeremy Browne MP",Nov-10,Google,Discuss freedom of expression on the Internet
"Minister of State, Jeremy Browne MP",Nov-10,Peace Brigades International,Minister’s trip to Mexico
"Minister of State, Jeremy Browne MP",Dec-10,Open Doors,Petition on religious freedom
"Minister of State, Jeremy Browne MP",Dec-10,Diageo,Discuss Diageo business in countries covered in the Minister’s portfolio
"Minister of State, Jeremy Browne MP",Dec-10,Google,Discuss freedom of expression on the Internet
"Minister of State, Jeremy Browne MP",Dec-10,Fair Trials international,Discuss work of FTI
"Minister of State, Jeremy Browne MP",Dec-10,Westminster Foundation for Democracy,Introductory call
"Minister of State, David Liddington MP",Oct-10,British Azerbaijan Association,To discuss Azerbaijan
"Minister of State, David Liddington MP",Oct-10,European Council on Foreign Relations,To discuss Europe Issues
"Minister of State, David Liddington MP",Nov-10,Open Europe,To discuss Europe Issues
"Minister of State, David Liddington MP",Nov-10,Shell,Energy in Europe and Central Asia
"Minister of State, The Rt Hon Lord Howell of Guildford",Oct-10,Energy Intelligence & International Herald Tribune,Oil and Money 2010 event for Q&A session
"Minister of State, The Rt Hon Lord Howell of Guildford",Oct-10,UK Japan 21 Century Group,Discuss Japanese energy issues
"Minister of State, The Rt Hon Lord Howell of Guildford",Oct-10,Commonwealth Business Council,Speech on Commonwealth
"Minister of State, The Rt Hon Lord Howell of Guildford",Oct-10,UK Japan 21 Century Group,Discuss Japanese energy issues
"Minister of State, The Rt Hon Lord Howell of Guildford",Oct-10,International Atomic Energy Agency,Discuss international energy issues
"Minister of State, The Rt Hon Lord Howell of Guildford",Oct-10,British Institute of Energy Economics,International energy
"Minister of State, The Rt Hon Lord Howell of Guildford",Oct-10,Liz Brewer,Spirit of Russia Event
"Minister of State, The Rt Hon Lord Howell of Guildford",Oct-10,Eminent Persons Group,Commonwealth issues
"Minister of State, The Rt Hon Lord Howell of Guildford",Nov-10,International Atomic Energy Agency,Discussion on international energy issues
"Minister of State, The Rt Hon Lord Howell of Guildford",Nov-10,Organization of the Petroleum Exporting Countries,Discussion on international energy issues
"Minister of State, The Rt Hon Lord Howell of Guildford",Nov-10,Gherson Solicitors,Discussion on immigration rules
"Minister of State, The Rt Hon Lord Howell of Guildford",Nov-10,Centrica,Discussion on international energy issues
"Minister of State, The Rt Hon Lord Howell of Guildford",Nov-10,Eminent Persons Group,Commonwealth issues
"Minister of State, The Rt Hon Lord Howell of Guildford",Nov-10,North- South Institute,Discussion on Commonwealth issues
"Minister of State, The Rt Hon Lord Howell of Guildford",Dec-10,The Sydney Institute,Discussion on Commonwealth issues
"Minister of State, The Rt Hon Lord Howell of Guildford",Dec-10,Commonwealth Secretariat,Discussion on Commonwealth issues
"Minister of State, The Rt Hon Lord Howell of Guildford",Dec-10,Jardine Matheson Group,Promoting the Commonwealth
"Minister of State, The Rt Hon Lord Howell of Guildford",Dec-10,3M,Discussion on international energy issues
"Minister of State, The Rt Hon Lord Howell of Guildford",Dec-10,Hitachi-EU,Discussion on international energy issues
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Oct-10,Oxfam,To discuss Africa
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Oct-10,British Antarctic Survey,To discuss British Antarctic Survey
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Oct-10,Invicta Capital,To discuss Somalia
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Oct-10,Diageo,To discuss trade and investment
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Oct-10,Overseas Service Pensioners Association,To discuss pensions in Zimbabwe
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Oct-10,Royal Africa Society,Introductory call
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Oct-10,Mwana Africa plc,To discuss Zimbabwe
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Oct-10,British Gas Group,To discuss British Gas and Tanzania
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Oct-10,Tullow Oil,To visit and see Tullow’s worldwide operations
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Oct-10,Under-Secretary General Humanitarian Affairs and Emergency Relief Coordinator,Introductory call to discuss the Office for Coordination of Humanitarian Affairs (OCHA)
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Oct-10,United Nations Africa – UK Event,Address 65th anniversary of United Nations Africa - UK
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Oct-10,Chagos Refugees Group,To discuss Chagos Islands
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Oct-10,Africa Practice,To discuss Africa
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Oct-10,Law Society,To discuss Zimbabwe and the Bar Council
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Oct-10,United Nations,To discuss Somalia
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Oct-10,Trades Union Congress,To discuss the Government’s engagement with Europe
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Nov-10,Atkins,To discuss trade and investment
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Nov-10,International Criminal Court Prosecutor,"To discuss Darfur, Kenya and governance issues"
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Nov-10,Zimbabwean diaspora,To discuss Zimbabwe
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Nov-10,Zimbabwe Investors Roundtable,To discuss Zimbabwe
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Nov-10,Order of Malta,To discuss Africa
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Nov-10,AMEC Plc,To attend and speak at a reception
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Nov-10,Mauritian Property Partnership,To discuss Mauritius
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Nov-10,London Stock Exchange,To discuss trade
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Dec-10,Sable Mining,"To discuss mining interests in Guinea, Zimbabwe and South Africa"
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Dec-10,Chagos Islands Community,To discuss Chagos Islands
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Dec-10,Lonrho Plc,To discuss Lonrho’s operations in Africa
"Parliamentary Under-Secretary of State, Alistair Burt MP",Nov-10,Baha’i community,Religious minorities treatment
