Name of Special Adviser,Date of Hospitality,Name of Organisation,Type of hospitality received
Arminka Helic,01/02/2011,Financial Times,Lunch
Arminka Helic,08/03/2011,Wall Street Journal,Lunch
Arminka Helic,10/03/2011,BBC News,Lunch
Denzil Davidson,02/03/2011,Financial Times,Lunch
Denzil Davidson,15/03/2011,Centre for European Reform,Dinner
William Littlejohn,27/01/2011,Sky News,Lunch
