Minister,Date received,From,Gift,Value (£), Outcome
"Minister of State (Trade and Investment), Lord Green",18-Jan-12,Pirelli,Watch,Over limit,Held by the Department
"Minister of State (Trade and Investment), Lord Green",8-Feb-12,Ambassador of the United Arab Emirates,Box of pheasants and partridges,Over limit,Proceeds given to charity
