05-Nov-10

GOVERNMENT TRANSPARENCY AGENDA - HQLF TLB 'DOWN ASPECT' DATA SHEET



























Dept,Org,Unit,Comd,Div,Appt,Reporting SCS post reference,Grade,Payscale Minimum,Payscale Maximum,"Generic 
job title",Number of such posts in FTE
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,65
,,,,,,,BAND D,"?23,427.00","?27,973.00",,85.5
,,,,,,,BAND E1,"?17,835.00","?20,676.00",,200
,,,,,,,BAND E2,"?15,168.00","?17,584.00",,114.5
,,,,,,,CHEF 1/CHIEF COOK 1,"?17,835.00","?20,676.00",,1
,,,,,,,CIVILIAN CONSULTANT PRE OCT 03 ABA POST,"?71,152.00","?95,926.00",,5.5
,,,,,,,CIVILIAN MEDICAL PRACTITIONER (GMC),"?65,071.00","?77,303.00",,66.5
,,,,,,,FAST STREAM GRADE BAND C1,"?35,648.00","?42,565.00",,1
,,,,,,,MEDICAL OFFICER,"?56,436.00","?69,409.00",,1
,,,,,,,MEDICAL TECHNICAL OFFICER 3 (8924),"?21,135.00","?27,808.00",,1
,,,,,,,MEDICAL TECHNICAL OFFICER 3 (9620),"?21,135.00","?27,808.00",,1.5
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C1),"?35,648.00","?42,565.00",,16
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C2),"?29,258.00","?34,936.00",,22
,,,,,,,MILITARY SUPPORT FUNCTION (BAND D),"?23,427.00","?27,937.00",,3
,,,,,,,NHS BAND 2,"?13,653.00","?16,753.00",,20
,,,,,,,NHS BAND 3,"?15,610.00","?18,577.00",,11
,,,,,,,NHS BAND 5,"?21,176.00","?27,534.00",,122.5
,,,,,,,NHS BAND 6,"?25,472.00","?34,189.00",,157.5
,,,,,,,NHS BAND 6 _ 37HRS,"?25,472.00","?34,189.00",,1
,,,,,,,NHS BAND 7,"?30,460.00","?40,157.00",,24
,,,,,,,NHS BAND 8A,"?38,851.00","?46,621.00",,6
,,,,,,,SENIOR SOCIAL WORKER (5135),"?25,238.00","?41,527.00",,2
,,,,,,,SKILL ZONE 1,"?14,644.00","?16,482.00",,16
,,,,,,,SKILL ZONE 2,"?16,002.00","?18,010.00",,21
,,,,,,,TUPE SODEXHO (PCSPS),"?11,685.00","?80,000.00",,1
,,,,,,,Total,,,,1006.5

,,,SCE,Agency,,,AREA EDUCATION OFFICER,"?53,886.00","?59,715.00",,14
,,,,,,,ASSISTANT HEAD TEACHER,"?34,398.00","?98,022.00",,20
,,,,,,,BAND C1,"?35,648.00","?42,565.00",,3
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,15
,,,,,,,BAND D,"?23,427.00","?27,973.00",,34
,,,,,,,BAND E1,"?17,835.00","?20,676.00",,13
,,,,,,,DEPUTY HEAD TEACHER,"?37,460.00","?76,409.00",,47
,,,,,,,DIVISIONAL YOUTH AND COMMUNITY OFF,"?39,120.00","?47,731.00",,1
,,,,,,,FOREIGN LANGUAGE ASSISTANT,"?35,897.00","?35,897.00",,0.5
,,,,,,,HEAD TEACHER,"?42,379.00","?86,365.00",,40
,,,,,,,HOUSE PARENT,"?17,021.00","?18,038.00",,8
,,,,,,,NHS BAND 5,"?21,176.00","?27,534.00",,2
,,,,,,,SCHOOL CATERING ADVISER,"?22,352.00","?26,266.00",,1
,,,,,,,SCS PAY BAND 2,"?82,900.00","?162,500.00",,1
,,,,,,,SENIOR INSPECTOR ADVISER,?0.00,?0.00,,1
,,,,,,,SENIOR SOCIAL WORKER (5135),"?25,238.00","?41,527.00",,5
,,,,,,,SOULBURY TIER 2 (PCSPS ABATED),?0.00,?0.00,,1
,,,,,,,SOULBURY TIER 3,?0.00,?0.00,,3
,,,,,,,SOULBURY TIER 3 (PCSPS ABATED),?0.00,?0.00,,4
,,,,,,,SOULBURY TIER 4 (PCSPS ABATED),"?54,468.00","?60,361.00",,4
,,,,,,,SOULBURY TIER 5,?0.00,?0.00,,7
,,,,,,,SOULBURY TIER 5 (PCSPS ABATED),?0.00,?0.00,,2
,,,,,,,SOULBURY TIER 6,"?39,079.00","?48,503.00",,22
,,,,,,,TEACHER,"?21,588.00","?31,552.00",,128.5
,,,,,,,TEACHING & LEARNING SUPPORT OFFICE,"?19,170.00","?20,739.00",,5
,,,,,,,THRESHOLD TEACHER,"?34,181.00","?36,755.00",,474.5
,,,,,,,UNQUALIFIED TEACHER,"?15,816.00","?25,015.00",,3
,,,,,,,Total Agency,,,,859.5

,,,SCE,Non-Agency,,,ASSISTANT HEAD TEACHER,"?34,398.00","?98,022.00",,3
,,,,,,,BAND B1,"?56,436.00","?69,409.00",,1
,,,,,,,BAND B2,"?47,942.00","?57,245.00",,1
,,,,,,,BAND C1,"?35,648.00","?42,565.00",,1
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,6
,,,,,,,BAND D,"?23,427.00","?27,973.00",,15
,,,,,,,BAND E1,"?17,835.00","?20,676.00",,17.5
,,,,,,,BAND E2,"?15,168.00","?17,584.00",,1.5
,,,,,,,DEPUTY HEAD TEACHER,"?37,460.00","?76,409.00",,4
,,,,,,,HEAD OF DEPARTMENT 3,"?55,849.00","?55,849.00",,16
,,,,,,,HEAD TEACHER,"?42,379.00","?86,365.00",,1
,,,,,,,HOUSE MATRON,"?15,018.00","?16,073.00",,18
,,,,,,,HOUSE PARENT,"?17,021.00","?18,038.00",,3
,,,,,,,LABORATORY TECHNICIAN 3,"?55,849.00","?55,849.00",,1
,,,,,,,NHS BAND 5,"?21,176.00","?27,534.00",,4
,,,,,,,NHS BAND 6,"?25,472.00","?34,189.00",,1
,,,,,,,SCOTTISH TEACHER SCALE 1 (SECONDARY),"?21,438.00","?34,200.00",,17.5
,,,,,,,SCS PAY BAND 1,"?58,200.00","?117,750.00",,1
,,,,,,,SKILL ZONE 1,"?14,644.00","?16,482.00",,22
,,,,,,,SKILL ZONE 2,"?16,002.00","?18,010.00",,9
,,,,,,,SKILL ZONE 3,"?17,486.00","?18,551.00",,1
,,,,,,,TEACHER,"?21,588.00","?31,552.00",,12
,,,,,,,THRESHOLD TEACHER,"?34,181.00","?36,755.00",,38
,,,,,,,Total Non-Agency,,,,194.5

MOD,MOD,LF TLB,PSC,,DGAMS,1606780,OF5,"?81,310.00","?89,408.00",AD,5
,,,,,,,OF4,"?67,032.00","?77,617.00","MA, SO1",4
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,10
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Mil Clerk",2
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",Mil Clerk,1
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,22

MOD,MOD,LF TLB,PSC,,DGALS,1603663,OF5,"?81,310.00","?89,408.00",AD,1
,,,,,,,OF4,"?67,032.00","?77,617.00",MA,1
,,,,,,,OF3,"?47,760.00","?57,200.00",,0
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",Driver,1
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,3

MOD,MOD,LF TLB,PSC,,CG,1143047,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00",,0
,,,,,,,OF3,"?47,760.00","?57,200.00",,0
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,0

MOD,MOD,LF TLB,PSC,,DG Pers,1598395,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00",,0
,,,,,,,OF3,"?47,760.00","?57,200.00",MA,1
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,1

,,,,,,,BAND B1,"?56,436.00","?69,409.00",,1
,,,,,,,BAND B2,"?47,942.00","?57,245.00",,3
,,,,,,,BAND C1,"?35,648.00","?42,565.00",,20.5
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,48.5
,,,,,,,BAND D,"?23,427.00","?27,973.00",,159
,,,,,,,BAND E1,"?17,835.00","?20,676.00",,238.5
,,,,,,,BAND E2,"?15,168.00","?17,584.00",,64.5
,,,,,,,BASIC SKILLS TUTOR,"?21,102.00","?43,692.00",,45.5
,,,,,,,CHIEF YOUTH AND COMMUNITY OFFICER,"?48,831.00","?57,851.00",,1
,,,,,,,COMMAND YOUTH AND COMMUNITY OFFICE,"?39,120.00","?47,731.00",,28
,,,,,,,DIVISIONAL YOUTH AND COMMUNITY OFF,"?39,120.00","?47,731.00",,4
,,,,,,,FAST STREAM GRADE BAND C1,"?35,648.00","?42,565.00",,0.5
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C1),"?35,648.00","?42,565.00",,17
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C2),"?29,258.00","?34,936.00",,47
,,,,,,,MILITARY SUPPORT FUNCTION (BAND D),"?23,427.00","?27,937.00",,6
,,,,,,,PROFESSIONALLY QUALIFIED WORKERS LEVEL2A,"?24,166.00","?26,279.00",,23
,,,,,,,PROFESSIONALLY QUALIFIED WORKERS LEVEL2B,"?26,975.00","?39,352.00",,5
,,,,,,,PROFESSIONALLY QUALIFIED WORKERS LEVEL3A,"?30,219.00","?32,847.00",,11
,,,,,,,PROFESSIONALLY QUALIFIED WORKERS LEVEL3B,"?33,726.00","?36,377.00",,10
,,,,,,,SENIOR SOCIAL WORKER (5135),"?25,238.00","?41,527.00",,3
,,,,,,,SENIOR YOUTH AND COMMUNITY OFFICER,"?41,547.00","?49,933.00",,1
,,,,,,,SKILL ZONE 1,"?14,644.00","?16,482.00",,3
,,,,,,,SKILL ZONE 2,"?16,002.00","?18,010.00",,9
,,,,,,,SKILL ZONE 3,"?17,486.00","?18,551.00",,3
,,,,,,,SOCIAL WORKER (NPFS) ABATED SCALE,"?23,427.00","?32,440.00",,2
,,,,,,,YOUTH AND COMMUNITY OFFICER (TRAINING),"?39,120.00","?47,731.00",,8
,,,,,,,YOUTH WORKER LEVEL 2 (2-10),"?21,525.00","?28,461.00",,8
,,,,,,,YOUTH WORKER LEVEL 2 (3-11),"?22,489.00","?29,352.00",,3
,,,,,,,YOUTH WORKER LEVEL 3 (1-4) (8957),"?29,352.00","?31,968.00",,2
,,,,,,,YOUTH WORKER LEVEL 3 (2-5),"?30,219.00","?32,847.00",,2
,,,,,,,YOUTH WORKER LEVEL 3 (3-6),"?31,091.00","?33,726.00",,1
,,,,,,,Total,,,,778

MOD,MOD,LF TLB,PSC,,MS,1248596,OF5,"?81,310.00","?89,408.00","AD, OCE",30
,,,,,,,OF4,"?67,032.00","?77,617.00","SO1, OCE",76
,,,,,,,OF3,"?47,760.00","?57,200.00","SO2, OCE",79
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,9
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",Staff Assistant,1
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",PA to MS,1
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,196

,,,,,,,BAND B2,"?47,942.00","?57,245.00",,1
,,,,,,,BAND C1,"?35,648.00","?42,565.00",,8
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,30
,,,,,,,BAND D,"?23,427.00","?27,973.00",,62
,,,,,,,BAND E1,"?17,835.00","?20,676.00",,403
,,,,,,,BAND E2,"?15,168.00","?17,584.00",,68.5
,,,,,,,MILITARY SUPPORT FUNCTION (BAND B2),"?47,942.00","?57,245.00",,2
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C1),"?35,648.00","?42,565.00",,4.5
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C2),"?29,258.00","?34,936.00",,27
,,,,,,,MILITARY SUPPORT FUNCTION (BAND D),"?23,427.00","?27,937.00",,2
,,,,,,,Total,,,,608

MOD,MOD,LF TLB,PSC,,GOC 2 Div,1568395,OF5,"?81,310.00","?89,408.00","COS, DCOS, Head of Arm",5
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",11
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",24
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",11
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,7
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",18
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",8
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",11
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,7
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,15
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,8
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,12
,,,,,,,Total,,,,137

,,,,,,,BAND B1,"?56,436.00","?69,409.00",,1
,,,,,,,BAND B2,"?47,942.00","?57,245.00",,1
,,,,,,,BAND C1,"?35,648.00","?42,565.00",,12
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,59
,,,,,,,BAND D,"?23,427.00","?27,973.00",,156.5
,,,,,,,BAND E1,"?17,835.00","?20,676.00",,512.5
,,,,,,,BAND E1 ATTO,"?17,316.00","?26,192.00",,2
,,,,,,,BAND E2,"?15,168.00","?17,584.00",,482.5
,,,,,,,CHEF 1/CHIEF COOK 1,"?17,835.00","?20,676.00",,1
,,,,,,,MESS MANAGER A,"?23,427.00","?27,973.00",,2
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C1),"?35,648.00","?42,565.00",,1
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C2),"?29,258.00","?34,936.00",,61
,,,,,,,MILITARY SUPPORT FUNCTION (BAND D),"?23,427.00","?27,937.00",,5
,,,,,,,NHS BAND 5,"?21,176.00","?27,534.00",,0.5
,,,,,,,SKILL ZONE 1,"?14,644.00","?16,482.00",,414.5
,,,,,,,SKILL ZONE 2,"?16,002.00","?18,010.00",,307.5
,,,,,,,SKILL ZONE 3,"?17,486.00","?18,551.00",,193
,,,,,,,SKILL ZONE 4,"?22,150.00","?24,930.00",,19
,,,,,,,TUPE QINETIQ 04/07/09,"?19,000.00","?25,000.00",,2
,,,,,,,Total,,,,2233

MOD,MOD,LF TLB,PSC,,GOC 4 Div,1152846,OF5,"?81,310.00","?89,408.00","COS, DCOS, Head of Arm",5
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",13
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",21
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",16
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,1
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",9
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",7
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",12
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,7
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,6
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,2
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,0
,,,,,,,Total,,,,99

,,,,,,,BAND B1,"?56,436.00","?69,409.00",,1
,,,,,,,BAND C1,"?35,648.00","?42,565.00",,13
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,50
,,,,,,,BAND D,"?23,427.00","?27,973.00",,68.5
,,,,,,,BAND E1,"?17,835.00","?20,676.00",,276.5
,,,,,,,BAND E2,"?15,168.00","?17,584.00",,50
,,,,,,,CHEF 2/CHIEF COOK 2,"?17,835.00","?20,676.00",,1
,,,,,,,CHIEF FIRE SERVICE OFFICER,"?67,566.00","?74,846.00",,1
,,,,,,,CIVILIAN MEDICAL PRACTITIONER (GMC),"?65,071.00","?77,303.00",,3
,,,,,,,FIRE SERVICE OFFICER 1,"?47,495.00","?52,746.00",,33
,,,,,,,FIRE SERVICE OFFICER 2,"?39,361.00","?43,770.00",,52
,,,,,,,FIRE SERVICE OFFICER 3,"?35,761.00","?39,381.00",,49
,,,,,,,FIREFIGHTER,"?18,983.00","?26,596.00",,616
,,,,,,,LEADING FIREFIGHTER,"?28,449.00","?29,384.00",,188
,,,,,,,LECTURER (PCSPS) NEW,"?29,258.00","?34,936.00",,1
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C1),"?35,648.00","?42,565.00",,6
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C2),"?29,258.00","?34,936.00",,51
,,,,,,,MILITARY SUPPORT FUNCTION (BAND D),"?23,427.00","?27,937.00",,4
,,,,,,,NHS BAND 7,"?30,460.00","?40,157.00",,1
,,,,,,,PROFESSIONALLY QUALIFIED WORKERS LEVEL3A,"?30,219.00","?32,847.00",,1
,,,,,,,SENIOR FIRE SERVICE OFFICER,"?53,429.00","?61,198.00",,3
,,,,,,,SKILL ZONE 1,"?14,644.00","?16,482.00",,96
,,,,,,,SKILL ZONE 2,"?16,002.00","?18,010.00",,76
,,,,,,,SKILL ZONE 3,"?17,486.00","?18,551.00",,61
,,,,,,,SKILL ZONE 4,"?22,150.00","?24,930.00",,7
,,,,,,,SUB OFFICER,"?29,873.00","?30,808.00",,113
,,,,,,,Total,,,,1822

,,,,LEC,,,LEC,,,,342

MOD,MOD,LF TLB,PSC,,GOC 5 Div,1211451,OF5,"?81,310.00","?89,408.00","COS, DCOS, Head of Arm",5
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",15
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",30
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",12
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,2
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",21
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",23
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",24
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,19
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,28
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,11
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,12
,,,,,,,Total,,,,202

,,,,,,,BAND B1,"?56,436.00","?69,409.00",,2
,,,,,,,BAND C1,"?35,648.00","?42,565.00",,6.5
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,28
,,,,,,,BAND D,"?23,427.00","?27,973.00",,74
,,,,,,,BAND E1,"?17,835.00","?20,676.00",,302
,,,,,,,BAND E2,"?15,168.00","?17,584.00",,50.5
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C1),"?35,648.00","?42,565.00",,2
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C2),"?29,258.00","?34,936.00",,46
,,,,,,,MILITARY SUPPORT FUNCTION (BAND D),"?23,427.00","?27,937.00",,10
,,,,,,,SKILL ZONE 1,"?14,644.00","?16,482.00",,103
,,,,,,,SKILL ZONE 2,"?16,002.00","?18,010.00",,119
,,,,,,,SKILL ZONE 3,"?17,486.00","?18,551.00",,102.5
,,,,,,,SKILL ZONE 4,"?22,150.00","?24,930.00",,14
,,,,,,,Total,,,,859.5

MOD,MOD,LF TLB,PSC,,GOC London District,1146049,OF5,"?81,310.00","?89,408.00","COS, DCOS, Head of Arm",3
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",7
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",14
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",7
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,0
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",11
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",15
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",6
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,10
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,5
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,5
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,8
,,,,,,,Total,,,,91

,,,,,,,BAND B1,"?56,436.00","?69,409.00",,1
,,,,,,,BAND B2,"?47,942.00","?57,245.00",,1
,,,,,,,BAND C1,"?35,648.00","?42,565.00",,3
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,9
,,,,,,,BAND D,"?23,427.00","?27,973.00",,21
,,,,,,,BAND E1,"?17,835.00","?20,676.00",,144
,,,,,,,BAND E2,"?15,168.00","?17,584.00",,33
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C2),"?29,258.00","?34,936.00",,17
,,,,,,,MILITARY SUPPORT FUNCTION (BAND D),"?23,427.00","?27,937.00",,1
,,,,,,,SKILL ZONE 1,"?14,644.00","?16,482.00",,53.5
,,,,,,,SKILL ZONE 2,"?16,002.00","?18,010.00",,97
,,,,,,,SKILL ZONE 3,"?17,486.00","?18,551.00",,21
,,,,,,,SKILL ZONE 4,"?22,150.00","?24,930.00",,5
,,,,,,,Total,,,,406.5

MOD,MOD,LF TLB,PSC,,GOC UKSC,1167888,OF5,"?81,310.00","?89,408.00","COS, DCOS, Head of Arm",4
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",15
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",31
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",21
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,14
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",20
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",17
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",11
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,9
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,9
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,2
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,8
,,,,,,,Total,,,,161

,,,,,,,ASSOCIATE SPECIALIST,,,,0.5
,,,,,,,BAND B1,"?56,436.00","?69,409.00",,2
,,,,,,,BAND B2,"?47,942.00","?57,245.00",,5
,,,,,,,BAND C1,"?35,648.00","?42,565.00",,27
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,77
,,,,,,,BAND D,"?23,427.00","?27,973.00",,61
,,,,,,,BAND E1,"?17,835.00","?20,676.00",,33
,,,,,,,BAND E2,"?15,168.00","?17,584.00",,6
,,,,,,,CIVILIAN CONSULTANT PRE OCT 03 ABA POST,"?71,152.00","?95,926.00",,2
,,,,,,,CIVILIAN MEDICAL PRACTITIONER (GMC),"?65,071.00","?77,303.00",,25.5
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C1),"?35,648.00","?42,565.00",,9
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C2),"?29,258.00","?34,936.00",,58
,,,,,,,MILITARY SUPPORT FUNCTION (BAND D),"?23,427.00","?27,937.00",,22
,,,,,,,NHS BAND 6,"?25,472.00","?34,189.00",,17
,,,,,,,NHS BAND 7,"?30,460.00","?40,157.00",,3
,,,,,,,SCS PAY BAND 1,"?58,200.00","?117,750.00",,1
,,,,,,,SENIOR SOCIAL WORKER (5135),"?25,238.00","?41,527.00",,1
,,,,,,,YOUTH AND COMMUNITY OFFICER (TRAINING),"?39,120.00","?47,731.00",,1
,,,,,,,Total,,,,351

,,,,LEC,,,LEC,,,,3132


MOD,MOD,LF TLB,ARRC,,COMARRC,1255135,OF5,"?81,310.00","?89,408.00",ACOS,1
,,,,,,,OF4,"?67,032.00","?77,617.00","MA, SO1",3
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,6
,,,,,,,OF2,"?37,916.00","?45,090.00","ADC, SO3",4
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Mil Clerk",2
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00","PA, Mil Clerk",2
,,,,,,,OR4,"?26,405.00","?33,182.00",Driver,1
,,,,,,,OR3,"?20,582.00","?28,939.00",Mil Clerk,1
,,,,,,,OR2,"?17,015.00","?26,405.00",,
,,,,,,,Total,,,,20


MOD,MOD,LF TLB,,,COS ARRC,1255246,OF5,"?81,310.00","?89,408.00",,3
,,,,,,,OF4,"?67,032.00","?77,617.00","MA, SO1",6
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,26
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,2
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Technical Warrant Officer",3
,,,,,,,OR8,"?36,049.00","?43,252.00","Mil Clerk, Technical Warrant Officer",12
,,,,,,,OR7,"?33,223.00","?42,044.00","Mil Clerk, Staff Sergeant",6
,,,,,,,OR6,"?30,013.00","?36,929.00","PA, Mil Clerk",9
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,13
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,9
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,89



MOD,MOD,LF TLB,GS,CGS,Provost Marshall (Army),1603303,OF5,"?81,310.00","?89,408.00","AD, Deputy",4
