05-Nov-10

GOVERNMENT TRANSPARENCY AGENDA - HQLF TLB 'DOWN ASPECT' DATA SHEET



























Dept,Org,Unit,Comd,Div,Appt,Reporting SCS post reference,Grade,Payscale Minimum,Payscale Maximum,"Generic 
job title",Number of such posts in FTE
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,123
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",55
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",228
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",434
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,691
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,1327
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,1836
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,2874
,,,,,,,Total,,,,8118

,,,,,,,BAND B2,"?47,942.00","?57,245.00",,1
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,4
,,,,,,,BAND D,"?23,427.00","?27,973.00",,7
,,,,,,,BAND E1,"?23,427.00","?27,973.00",,8
,,,,,,,BAND E2,"?17,835.00","?20,676.00",,3
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C1),"?35,648.00","?42,565.00",,12
,,,,,,,MILITARY SUPPORT FUNCTION (BAND D),"?23,427.00","?27,937.00",,5
,,,,,,,Total,,,,40

,,,,LEC,,,LEC,,,,354

MOD,MOD,LF TLB,FA,,GOC 3 (UK) Div,1172125,OF5,"?81,310.00","?89,408.00","COS, Head of Arm, Garrison Comd",7
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",17
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",102
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",258
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,90
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",40
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",171
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",303
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,515
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,884
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,1297
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,1984
,,,,,,,Total,,,,5668

,,,,,,,BAND C1,"?35,648.00","?42,565.00",,1
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,6
,,,,,,,BAND D,"?23,427.00","?27,973.00",,7
,,,,,,,BAND E1,"?23,427.00","?27,973.00",,67.5
,,,,,,,BAND E2,"?17,835.00","?20,676.00",,53.5
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C1),"?35,648.00","?42,565.00",,1
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C2),"?29,258.00","?34,936.00",,5
,,,,,,,SKILL ZONE 1,"?14,644.00","?16,482.00",,12
,,,,,,,SKILL ZONE 2,"?16,002.00","?18,010.00",,33
,,,,,,,SKILL ZONE 3,"?17,486.00","?18,551.00",,11
,,,,,,,Total,,,,197

MOD,MOD,LF TLB,FA,,GOC 6 Div,1405023,OF5,"?81,310.00","?89,408.00","COS, Head of Arm",2
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",11
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",21
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",12
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,0
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",0
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",0
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",2
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,3
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,0
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,0
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,2
,,,,,,,Total,,,,53

MOD,MOD,LF TLB,FA,,GOC Th Tps,1151649,OF5,"?81,310.00","?89,408.00","Deputy Comd, Head of Arm",4
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",10
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",69
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",135
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,64
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",17
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",165
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",184
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,374
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,601
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,545
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,619
,,,,,,,Total,,,,2787

,,,,,,,BAND C1,"?35,648.00","?42,565.00",,3
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,21
,,,,,,,BAND D,"?23,427.00","?27,973.00",,84
,,,,,,,BAND E1,"?23,427.00","?27,973.00",,308.5
,,,,,,,BAND E2,"?17,835.00","?20,676.00",,132.5
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C1),"?35,648.00","?42,565.00",,1
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C2),"?29,258.00","?34,936.00",,14
