Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,23-Sep-11,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042, 0.01 ,
FCO,FCO,23-Sep-11,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042,"-6,802.15 ",
FCO,FCO,23-Sep-11,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042,-327.33 ,
FCO,FCO,23-Sep-11,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042,-396.99 ,
FCO,FCO,23-Sep-11,Fuel Oil Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042,-660.58 ,
FCO,FCO,23-Sep-11,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042,-38.86 ,
FCO,FCO,23-Sep-11,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042,"-1,040.70 ",
FCO,FCO,23-Sep-11,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042,"-11,410.32 ",
FCO,FCO,23-Sep-11,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042,-39.25 ,
FCO,FCO,23-Sep-11,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042,-927.38 ,
FCO,FCO,23-Sep-11,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042,"-10,282.27 ",
FCO,FCO,23-Sep-11,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042," 9,930.47 ",
FCO,FCO,23-Sep-11,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042, 882.84 ,
FCO,FCO,23-Sep-11,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042, 39.25 ,
FCO,FCO,23-Sep-11,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042, 309.73 ,
FCO,FCO,23-Sep-11,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042," 11,410.32 ",
FCO,FCO,23-Sep-11,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042," 1,040.70 ",
FCO,FCO,23-Sep-11,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042, 38.86 ,
FCO,FCO,23-Sep-11,Fuel Oil Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042, 660.58 ,
FCO,FCO,23-Sep-11,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042," 2,904.60 ",
FCO,FCO,23-Sep-11,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042, 396.99 ,
FCO,FCO,23-Sep-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,ISS FACILITY SERVICES LTD FCO OP - POE,11042, 218.35 ,
FCO,FCO,23-Sep-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,ISS FACILITY SERVICES LTD FCO OP - POE,11042, 29.02 ,
FCO,FCO,23-Sep-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,ISS FACILITY SERVICES LTD FCO OP - POE,11042, 8.80 ,
FCO,FCO,23-Sep-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,ISS FACILITY SERVICES LTD FCO OP - POE,11042, 133.45 ,
FCO,FCO,23-Sep-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,ISS FACILITY SERVICES LTD FCO OP - POE,11042, 15.52 ,
FCO,FCO,23-Sep-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,ISS FACILITY SERVICES LTD FCO OP - POE,11042, 8.80 ,
FCO,FCO,23-Sep-11,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11042," 3,897.55 ",
FCO,FCO,23-Sep-11,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11043, 785.39 ,
FCO,FCO,23-Sep-11,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,11043, 53.13 ,
