Permanent Secretary,Date,Name of Organisation,Purpose of meeting
Martin Donnelly,"January, 2012",Barclays,General catch up
Martin Donnelly,"January, 2012","PwC, Kingston Smith",General catch up
Martin Donnelly,"January, 2012",Major Projects Association,General catch up
Martin Donnelly,"February, 2012",London Fashion Week,Regular meeting
Martin Donnelly,"February, 2012",Royal Bank of Scotland,General catch up
Martin Donnelly,"February, 2012",Anglo American,General catch up
Martin Donnelly,"March, 2012",McKinsey & Company,General catch up
Martin Donnelly,"March, 2012",Dale Murray,Introductory meeting
Martin Donnelly,"March, 2012",Capital for Enterprise,Regular meeting
Sir John Beddington,"January, 2012",Nuffield Trust & Wellcome Trust,To discuss science
Sir John Beddington,"January, 2012",Royal Agricultural College,To discuss science
Sir John Beddington,"January, 2012",Harper Adams University,To discuss science
Sir John Beddington,"February, 2012",Cambridge University,To discuss science
Sir John Beddington,"February, 2012",Bristol University,To discuss science
Sir John Beddington,"February, 2012",Royal Geographical Society,To discuss science
Sir John Beddington,"February, 2012",The Royal Society,To discuss science
Sir John Beddington,"February, 2012",Imperial College,To discuss science
Sir John Beddington,"February, 2012",Potsdam Institute for Climate Impact Research,To discuss science
Sir John Beddington,"March, 2012",Southampton University,To discuss science
Sir John Beddington,"March, 2012",Google,To discuss science
Sir John Beddington,"March, 2012",WET – Water Conservators Company,To discuss science
Sir John Beddington,"March, 2012",Cambridge University,To discuss science
Sir John Beddington,"March, 2012",Biomedicine Forum,To discuss science
Sir John Beddington,"March, 2012",Institution of Mechanical Engineers,To discuss science
Sir John Beddington,"March, 2012",Academy of Medical Sciences,To discuss science
Sir John Beddington,"March, 2012",International Institute for Environment & Development,To discuss science
