Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Minister of State, David Liddington MP",Jul-10,The Daily Mail & The Times,Dinner
"Minister of State, David Liddington MP",Jul-10,The Sun & The Daily Mail,Lunch
