Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,11-Feb-11,Uk Duty Travel,DG FINANCE,CONCERTO CONSULTING LTD,1009306, 478.29 ,
FCO,FCO,11-Feb-11,Programme and Project Management Consultancy,DG FINANCE,CONCERTO CONSULTING LTD,1009306," 24,225.00 ",
FCO,FCO,11-Feb-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CONCERTO CONSULTING LTD,1009306," 4,940.66 ",
FCO,FCO,3-Feb-11,Inward Visits/Uk Conferences,DG EUROPE AND GLOBALISATION,WISE PRODUCTIONS,1008783," 25,415.00 ",
FCO,FCO,3-Feb-11,Inward Visits/Uk Conferences,DG EUROPE AND GLOBALISATION,WISE PRODUCTIONS,1008783," 5,050.00 ",
FCO,FCO,3-Feb-11,Inward Visits/Uk Conferences,DG EUROPE AND GLOBALISATION,WISE PRODUCTIONS,1008783," 5,083.00 ",
FCO,FCO,3-Feb-11,Inward Visits/Uk Conferences,DG EUROPE AND GLOBALISATION,WISE PRODUCTIONS,1008783," 1,010.00 ",
FCO,FCO,3-Feb-11,Inward Visits/Uk Conferences,DG EUROPE AND GLOBALISATION,WISE PRODUCTIONS,1008783," (25,415.00)",
FCO,FCO,3-Feb-11,Inward Visits/Uk Conferences,DG EUROPE AND GLOBALISATION,WISE PRODUCTIONS,1008783," (5,050.00)",
FCO,FCO,3-Feb-11,Inward Visits/Uk Conferences,DG EUROPE AND GLOBALISATION,WISE PRODUCTIONS,1008783," (5,083.00)",
FCO,FCO,3-Feb-11,Inward Visits/Uk Conferences,DG EUROPE AND GLOBALISATION,WISE PRODUCTIONS,1008783," (1,010.00)",
FCO,FCO,3-Feb-11,Inward Visits/Uk Conferences,DG EUROPE AND GLOBALISATION,WISE PRODUCTIONS,1008783," 14,280.00 ",
FCO,FCO,3-Feb-11,Inward Visits/Uk Conferences,DG EUROPE AND GLOBALISATION,WISE PRODUCTIONS,1008783," 4,075.00 ",
FCO,FCO,3-Feb-11,Inward Visits/Uk Conferences,DG EUROPE AND GLOBALISATION,WISE PRODUCTIONS,1008783," 11,135.00 ",
FCO,FCO,3-Feb-11,Inward Visits/Uk Conferences,DG EUROPE AND GLOBALISATION,WISE PRODUCTIONS,1008783, 975.00 ,
FCO,FCO,3-Feb-11,Inward Visits/Uk Conferences,DG EUROPE AND GLOBALISATION,WISE PRODUCTIONS,1008783," 2,856.00 ",
FCO,FCO,3-Feb-11,Inward Visits/Uk Conferences,DG EUROPE AND GLOBALISATION,WISE PRODUCTIONS,1008783, 815.00 ,
FCO,FCO,3-Feb-11,Inward Visits/Uk Conferences,DG EUROPE AND GLOBALISATION,WISE PRODUCTIONS,1008783," 2,227.00 ",
FCO,FCO,3-Feb-11,Inward Visits/Uk Conferences,DG EUROPE AND GLOBALISATION,WISE PRODUCTIONS,1008783, 195.00 ,
FCO,FCO,17-Feb-11,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1009655," 26,572.00 ",
FCO,FCO,17-Feb-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1009655," 4,650.10 ",
FCO,FCO,17-Feb-11,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1009655," (26,572.00)",
FCO,FCO,17-Feb-11,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1009655," 26,572.00 ",
FCO,FCO,17-Feb-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1009655," (4,650.10)",
FCO,FCO,17-Feb-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1009655," 5,314.40 ",
FCO,FCO,21-Feb-11,Information Systems Maintenance,DG CENTRAL GROUP,BUSINESS OBJECTS(UK)LTD -SAP UK LIMITED,1009883," 14,062.52 ",
FCO,FCO,21-Feb-11,Information Systems Maintenance,DG CENTRAL GROUP,BUSINESS OBJECTS(UK)LTD -SAP UK LIMITED,1009883," 10,664.00 ",
