Department/organisation name, AO/AA (Headcount), AO/AA (FTE),EO (Headcount),EO (FTE),HEO/SEO (Headcount),HEO/SEO (FTE), Grade 6/7 (Headcount), Grade 6/7 (FTE),SCS level (Headcount),SCS level (FTE),Unknown/Other (Headcount),Unknown/Other(FTE),Total exemptions (Headcount),Total exemptions (FTE),Date of Update
Ministry of Defence,73,73,87,87,159,159,2,2,2,2,353,353,676,676,Up to the end of August 2010
Defence Science and Technology Laboratory,0,0,0,0,0,0,0,0,0,0,24,24,24,24,Up to the end of August 2010
Met Office,0,0,0,0,0,0,0,0,0,0,16,16,16,16,Up to the end of August 2010
UK Hydrographic Office,12,12,10,10,10,10,9,9,0,0,2,2,43,43,Up to the end of August 2010
Defence Support Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up to the end of August 2010
Defence Scientific Advisory Council,0,0,0,0,0,0,0,0,0,0,3,3,3,3,Up to the end of August 2010
National Army Museum,2,2,0,0,2,2,0,0,1,1,0,0,5,5,Up to the end of August 2010
Oil & Pipelines Agency,0,0,0,0,0,0,0,0,0,0,3,3,3,3,Up to the end of August 2010
