As at 01 December 2012,


SENNYBRIDGE FIRING NOTICE,

DATE,SENNYBRIDGE
Sat 01 Dec 12,08.30 - 23.59
Sun 02 Dec 12,00.01 - 02.30  &  08.30 - 13.30
Mon 03 Dec 12,08.30 - 16.30
Tues 04 Dec 12,08.30 - 23.59
Wed 05 Dec 12,00.01 - 02.30  &  08.30 - 16.30
Thur 06 Dec 12,08.30 - 23.59
Fri 07 Dec 12,00.01 - 02.30  &  08.30 - 15.30
Sat 08 Dec 12,NIL
Sun 09 Dec 12,NIL
Mon 10 Dec 12,08.30 - 16.30
Tues 11 Dec 12,08.30 - 23.59
Wed 12 Dec 12,00.01 - 02.30  &  08.30 - 16.30
Thur 13 Dec 12,08.30 - 23.59
Fri 14 Dec 12,00.01 - 02.30  &  08.30 - 15.30
Sat 15 Dec 12,NIL
Sun 16 Dec 12,NIL
Mon 17 Dec 12,NIL
Tues 18 Dec 12,NIL
Wed 19 Dec 12,NIL
Thur 20 Dec 12,NIL
Fri 21 Dec 12,NIL
Sat 22 Dec 12,NIL
Sun 23 Dec 12,NIL
Mon 24 Dec 12,NIL
Tues 25 Dec 12,NIL
Wed 26 Dec 12,NIL
Thur 27 Dec 12,NIL
Fri 28 Dec 12,NIL
Sat 29 Dec 12,NIL
Sun 30 Dec 12,NIL
Mon 31 Dec 12,NIL
