Name of Special Adviser,Date of Hospitality,Name of Organisation,Type of hospitality received
Sheridan Westlake,06-Jan-12,"Lionel Zetter, Zetter’s Political Companion",Lunch
Giles Kenningham,04-Jan-12,Independent on Sunday,Lunch
,02-Feb-12,Daily Telegraph (Tony Gallagher),Breakfast
,16-Feb-12,Total Politics,Lunch
,29-Feb-12,London Evening Standard and the  Independent (Evgeny Lebedev),Lunch
,01-Mar-12,Financial Times,Lunch
,16-Mar-12,BBC,Lunch

"Does not normally include attendance at functions hosted by HM Government; attendance at ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences and seminars; working meals; light refreshments; attendance at lunches, dinners and receptions by professional bodies and their equivalents in local government and in the non-governmental public sector; meals provided at a conference; when accompanying ministers in the course of their official duties; and offers of hospitality which were declined. * indicates if accompanied by spouse/partner or other family member or friend.’",,,
