Department Family,Entity,Date,Expense type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/10/2010,Financial Advice and Services,Business Group-Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,1008316,5604.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Financial Advice and Services,Business Group-Advanced Manufacturing Industries,ERNST & YOUNG LLP,1008942,881.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Financial Advice and Services,Business Group-Advanced Manufacturing Industries,ERNST & YOUNG LLP,1008942,2226
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/10/2010,Technical Support,Business Group-Advanced Manufacturing Industries,ELIZABETH BRIGNALL,1009196,7931.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/10/2010,Technical Advice,Business Group-Advanced Manufacturing Industries,QINETIQ LTD,1007998,7391.49
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2010,Publications (Programme),Business Group-Advanced Manufacturing Industries,REED BUSINESS INFORMATION LTD,1009637,2405
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/10/2010,Technical Advice,Business Group-Advanced Manufacturing Industries,QINETIQ LTD,1007998,3987.71
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/10/2010,Technical Advice,Business Group-Advanced Manufacturing Industries,QINETIQ LTD,1007998,4395.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/10/2010,Air Fares  - Overseas (Programme),Business Group-Advanced Manufacturing Industries,NATIONAL RESEARCH COUNCIL CANADA,1005035,3337.12
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/10/2010,Hotels- Overseas  (Programme),Business Group-Advanced Manufacturing Industries,"Personal Expense, name witheld",10273709,782.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/10/2010,Grants - Non Statutory - Current - Other,Business Group-Advanced Manufacturing Industries,ONE NORTH EAST,1009777,197591.79
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/10/2010,Capital Grants - Other,Business Group-Advanced Manufacturing Industries,ONE NORTH EAST,1009778,238340.59
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/10/2010,Grants - Non Statutory - Current - Other,Business Group-Advanced Manufacturing Industries,THE LONDON DEVELOPMENT AGENCY LTD,1006933,164161
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Grants - Non Statutory - Current - Other,Business Group-Advanced Manufacturing Industries,EAST MIDLANDS DEVELOPMENT AGENCY,1008908,6833.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/10/2010,Grants - Non Statutory - Current - Other,Business Group-Advanced Manufacturing Industries,THE LONDON DEVELOPMENT AGENCY LTD,1006933,164161
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/10/2010,Grants - Non Statutory - Current - Other,Business Group-Advanced Manufacturing Industries,YORKSHIRE FORWARD,1008364,43421
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/10/2010,Grants - Non Statutory - Current - Other,Business Group-Advanced Manufacturing Industries,EAST MIDLANDS DEVELOPMENT AGENCY,1008908,4281
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/10/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Business Group-Advanced Manufacturing Industries,ADECCO UK LTD,1008059,700.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/10/2010,Technical Advice / Services & Support,Business Group-Advanced Manufacturing Industries,GR AERO LTD,1008423,2318
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/10/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Business Group-Advanced Manufacturing Industries,ADECCO UK LTD,1008698,576.03
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/10/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Business Group-Advanced Manufacturing Industries,ADECCO UK LTD,1008699,540.48
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/10/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Business Group-Advanced Manufacturing Industries,ADECCO UK LTD,1009245,559.42
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/10/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Business Group-Advanced Manufacturing Industries,ADECCO UK LTD,1009256,680.1
