Minister,Date(s) of trip,Destination ,Purpose of trip,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’  ,"Number of officials accompanying Minister, where non-scheduled travel is used   ",,"Total cost including travel, and accommodation of Minister only"
Attorney General Dominic Grieve QC MP,Nil return,Nil return,,,,,

Solicitor General Edward Garnier QC MP,Nil return,Nil return,,,,,
