ALB,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
Home & Communities Agency,ACCOMMODATION SERVICES,Mwbbusiness Exchange-Oxford St,"126,563.61"
Home & Communities Agency,ACCOMMODATION SERVICES,NAT CAR PARKS LTD,"33,060.04"
Home & Communities Agency,ACCOMMODATION SERVICES,NB ACORD JPF,"574,352.67"
Home & Communities Agency,ACCOMMODATION SERVICES,NB REAL ESTATE,"476,931.86"
Home & Communities Agency,ACCOMMODATION SERVICES,NELSON BAKEWELL LTD (B/A),"266,828.52"
Home & Communities Agency,ACCOMMODATION SERVICES,Northampton Borough Council,"38,870.02"
Home & Communities Agency,ACCOMMODATION SERVICES,ONYX GROUP,"1,380.00"
Home & Communities Agency,ACCOMMODATION SERVICES,PARKING CONTROL MANAGEMENT (UK) LTD,950
Home & Communities Agency,ACCOMMODATION SERVICES,PETERBOROUGH CITY COUNCIL,"45,347.50"
Home & Communities Agency,ACCOMMODATION SERVICES,PRUDENTIAL PROPERTY INVESTMENT MANAGERS LTD,"787,511.51"
Home & Communities Agency,ACCOMMODATION SERVICES,R TAYLOR,"24,912.33"
Home & Communities Agency,ACCOMMODATION SERVICES,REDDITCH BOROUGH COUNCIL,"19,382.06"
Home & Communities Agency,ACCOMMODATION SERVICES,Regus ,"167,561.42"
Home & Communities Agency,ACCOMMODATION SERVICES,S H CORDIER,"99,885.19"
Home & Communities Agency,ACCOMMODATION SERVICES,SAMUEL ROSE LTD,"135,988.45"
Home & Communities Agency,ACCOMMODATION SERVICES,SELEX SPORTS & LEISURE CLUB,"6,088.97"
Home & Communities Agency,ACCOMMODATION SERVICES,SOUTH OXFORDSHIRE DISTRICT COUNCIL,"11,638.83"
Home & Communities Agency,ACCOMMODATION SERVICES,SUNDERLAND CITY COUNCIL,"45,660.50"
Home & Communities Agency,ACCOMMODATION SERVICES,TALBOT STREET CAR PARK,"11,239.22"
Home & Communities Agency,ACCOMMODATION SERVICES,TELFORD & WREKIN COUNCIL,"41,346.25"
Home & Communities Agency,ACCOMMODATION SERVICES,THE MADEJSKI HOTEL LTD,"1,004.35"
Home & Communities Agency,ACCOMMODATION SERVICES,THE MIDLAND HOTEL,550.04
Home & Communities Agency,ACCOMMODATION SERVICES,TRANSPORT FOR LONDON,"752,136.00"
Home & Communities Agency,ACCOMMODATION SERVICES,WALLACESPACE LIMITED,"9,017.38"
Home & Communities Agency,ACCOMMODATION SERVICES,WARRINGTON BOROUGH COUNCIL,"355,110.87"
Home & Communities Agency,ACCOMMODATION SERVICES,WAVERLEY BOROUGH COUNCIL,"32,710.07"
Home & Communities Agency,ACCOMMODATION SERVICES,Wichford Delta,"294,529.54"
Home & Communities Agency,ACCOMMODATION SERVICES,WILLOWBRITE LTD re WILLMORETON PROPERTIES LTD,"11,652.92"
Home & Communities Agency,ACCOMMODATION SERVICES,WORKMAN,"127,964.69"
Home & Communities Agency,ACCOMMODATION SERVICES,YSP TRADING LTD,778.48
Home & Communities Agency,ADMIN AND CLERICAL,ADECCO UK LTD,"70,618.44"
Home & Communities Agency,ADMIN AND CLERICAL,ANNA GILLETT RECRUITMENT,"15,560.62"
Home & Communities Agency,ADMIN AND CLERICAL,ARTEMIS INTERNATIONAL CORP LTD,"83,992.11"
Home & Communities Agency,ADMIN AND CLERICAL,B RECRUITMENT,"151,020.93"
Home & Communities Agency,ADMIN AND CLERICAL,BADENOCH & CLARK,"266,957.09"
Home & Communities Agency,ADMIN AND CLERICAL,Capita Business Services Ltd,"9,675.00"
Home & Communities Agency,ADMIN AND CLERICAL,CATHERINE JOHNSTONE RECRUITMENT,"24,257.73"
Home & Communities Agency,ADMIN AND CLERICAL,E-FAB RECRUITMENT LTD,"123,600.71"
Home & Communities Agency,ADMIN AND CLERICAL,FORREST RECRUITMENT,"29,578.84"
Home & Communities Agency,ADMIN AND CLERICAL,HUNTRESS GROUP,"25,708.57"
Home & Communities Agency,ADMIN AND CLERICAL,LUCY BRISTOW LTD,700.94
Home & Communities Agency,ADMIN AND CLERICAL,LUCY WALKER RECRUITMENT LTD,"36,948.60"
Home & Communities Agency,ADMIN AND CLERICAL,MAINE-TUCKER RECRUITMENT LTD,"34,092.87"
Home & Communities Agency,ADMIN AND CLERICAL,MARKETPLACE HUMAN RESOURCES LTD,"7,000.00"
Home & Communities Agency,ADMIN AND CLERICAL,MICHAEL PAGE,"18,977.11"
Home & Communities Agency,ADMIN AND CLERICAL,NIGEL WRIGHT CONSULTANCY,"2,825.75"
Home & Communities Agency,ADMIN AND CLERICAL,NORTHERN RECRUITMENT GROUP LIMITED,"20,129.38"
Home & Communities Agency,ADMIN AND CLERICAL,Office Angels Ltd,"97,883.15"
Home & Communities Agency,ADMIN AND CLERICAL,RANDSTAD EMPLOYMENT BUREAU LTD,"22,533.85"
Home & Communities Agency,ADMIN AND CLERICAL,Reed Employment Plc,"68,218.00"
Home & Communities Agency,ADMIN AND CLERICAL,RK GROUP LTD,"10,477.00"
Home & Communities Agency,ADMIN AND CLERICAL,Robert Half Limited,"24,564.79"
Home & Communities Agency,ADMIN AND CLERICAL,ROCKET SCIENCE,886.75
Home & Communities Agency,ADMIN AND CLERICAL,RULLION,"8,164.24"
Home & Communities Agency,ADMIN AND CLERICAL,Solutions 4 Recruitment,"35,644.07"
Home & Communities Agency,ADMIN AND CLERICAL,THE ONE GROUP,"47,173.26"
Home & Communities Agency,ADMIN AND CLERICAL,VALWADE RECRUITMENT,"1,476.00"
Home & Communities Agency,ADMIN AND CLERICAL,VECTOR RESOURCING LTD,"94,050.00"
Home & Communities Agency,ADMIN AND CLERICAL,VENN GROUP,"44,543.09"
Home & Communities Agency,ADVERTISING,3Fox International Limited,"10,470.00"
Home & Communities Agency,ADVERTISING,BUSINESS MK,"4,134.90"
Home & Communities Agency,ADVERTISING,CLEANTECH INVESTOR LIMITED,"2,000.00"
Home & Communities Agency,ADVERTISING,Estates Gazette,"2,712.00"
Home & Communities Agency,ADVERTISING,Financial Times Ltd,"2,900.00"
Home & Communities Agency,ADVERTISING,FLAIR SIGNS,560
Home & Communities Agency,ADVERTISING,FORM-IT-ALL LTD,"7,600.00"
Home & Communities Agency,ADVERTISING,GMG RADIO,"3,363.15"
Home & Communities Agency,ADVERTISING,GRANTHAMS SIGNS,"15,371.76"
Home & Communities Agency,ADVERTISING,Haymarket Publishing Services,"6,373.00"
Home & Communities Agency,ADVERTISING,HERTS & ESSEX NEWSPAPERS LTD,"2,119.76"
Home & Communities Agency,ADVERTISING,IC SIGNS,745.94
Home & Communities Agency,ADVERTISING,INNOVISION,"5,349.76"
Home & Communities Agency,ADVERTISING,INTER ADVERTISING LIMITED,"8,625.00"
Home & Communities Agency,ADVERTISING,IWM BUSINESS SERVICES LTD,620
Home & Communities Agency,ADVERTISING,Jobsgopublic,"8,995.00"
Home & Communities Agency,ADVERTISING,JOHNSTON PUBLISHING LTD,"9,213.44"
Home & Communities Agency,ADVERTISING,KEMPS PUBLISHING LIMITED,681
Home & Communities Agency,ADVERTISING,M.E.N. MEDIA LIMITED,"4,400.00"
Home & Communities Agency,ADVERTISING,MARTEN GIBBON ASSOCIATES LTD,"91,469.97"
Home & Communities Agency,ADVERTISING,Newsquest (London) Ltd,"2,592.00"
Home & Communities Agency,ADVERTISING,OPEN BOX PUBLISHING LIMITED,"1,600.00"
Home & Communities Agency,ADVERTISING,PREMIER NEWSPAPERS LTD,"3,078.00"
Home & Communities Agency,ADVERTISING,PREMIER SIGNS (SW) LTD,570
Home & Communities Agency,ADVERTISING,Reed Business Information Ltd,"2,320.00"
Home & Communities Agency,ADVERTISING,SLS,"3,841.00"
Home & Communities Agency,ADVERTISING,TELEGRAPH MEDIA GROUP LIMITED,"3,240.00"
Home & Communities Agency,ADVERTISING,TenAlps Publishing,"1,200.00"
Home & Communities Agency,ART AND EXHIBITIONS,COLIN WILBOURN,"75,000.00"
Home & Communities Agency,ART AND EXHIBITIONS,SIMON FAITHFULL,"10,363.40"
Home & Communities Agency,BOOKING SERVICE,GROSVENOR TRAVEL MANAGEMENT,"127,677.59"
Home & Communities Agency,BOOKING SERVICE,TRAVELEADS,"19,685.07"
Home & Communities Agency,BUILDING MANAGEMENT,ACCESS IT DATA LIMITED,"10,151.41"
Home & Communities Agency,BUILDING MANAGEMENT,ADEX INTERIORS LTD,"41,784.85"
Home & Communities Agency,BUILDING MANAGEMENT,ADT Fire and Security,"24,082.26"
Home & Communities Agency,BUILDING MANAGEMENT,ALLSEBROOK,"1,100.00"
Home & Communities Agency,BUILDING MANAGEMENT,AMH OFFICE INTERIORS LTD,"20,283.79"
Home & Communities Agency,BUILDING MANAGEMENT,ANDREWS SYKES HIRE LTD,"3,559.12"
Home & Communities Agency,BUILDING MANAGEMENT,ATLAS ALARMS LTD,850
Home & Communities Agency,BUILDING MANAGEMENT,Aviva Occupational Health UK Ltd,"48,160.00"
Home & Communities Agency,BUILDING MANAGEMENT,AXIS ELEVATORS LTD,"8,697.79"
Home & Communities Agency,BUILDING MANAGEMENT,AZURE SUPPORT SERVICES LTD,970
Home & Communities Agency,BUILDING MANAGEMENT,BENBOW BROS (TIMBER) LTD,"7,450.00"
Home & Communities Agency,BUILDING MANAGEMENT,BERYL COTTON FLORAL ART,"1,275.00"
Home & Communities Agency,BUILDING MANAGEMENT,BESPOKE PROPERTY GROUP LTD,"2,999.00"
Home & Communities Agency,BUILDING MANAGEMENT,BETTLES HEATING LIMITED,"3,407.30"
Home & Communities Agency,BUILDING MANAGEMENT,BOTANICAL GROUP SERVICES LTD,"4,334.16"
Home & Communities Agency,BUILDING MANAGEMENT,BUGBUSTERS PEST CONTROL,"16,326.18"
Home & Communities Agency,BUILDING MANAGEMENT,C ARMSTRONG,"4,217.00"
Home & Communities Agency,BUILDING MANAGEMENT,Cannon Hygiene,938.43
Home & Communities Agency,BUILDING MANAGEMENT,CBE SERVICES LIMITED,"2,329.94"
Home & Communities Agency,BUILDING MANAGEMENT,CCTV MONITORING LTD,"6,000.00"
Home & Communities Agency,BUILDING MANAGEMENT,CHUBB ELECTRONIC SECURITY LTD,"39,784.81"
Home & Communities Agency,BUILDING MANAGEMENT,Chubb Fire Limited,"6,904.89"
Home & Communities Agency,BUILDING MANAGEMENT,CITYIS LTD,"23,455.95"
Home & Communities Agency,BUILDING MANAGEMENT,CLEAR CHANNEL UK,"3,784.20"
Home & Communities Agency,BUILDING MANAGEMENT,Cliff'S Flowers,"1,200.00"
Home & Communities Agency,BUILDING MANAGEMENT,COFELY LTD,"33,390.35"
Home & Communities Agency,BUILDING MANAGEMENT,CONNOLLY REFRIGERATION (CAMBRIDGE) LTD,516
Home & Communities Agency,BUILDING MANAGEMENT,CONTRAX,"19,792.50"
Home & Communities Agency,BUILDING MANAGEMENT,COOL BREEZE AIR CONDITIONING & REFRIGERATION,"8,798.52"
Home & Communities Agency,BUILDING MANAGEMENT,COOL SERVICES,990.73
Home & Communities Agency,BUILDING MANAGEMENT,CORNWALL COLLEGE FURTHER EDUCATION CORP.,"10,577.01"
Home & Communities Agency,BUILDING MANAGEMENT,COSTAR UK LIMITED,"7,072.00"
Home & Communities Agency,BUILDING MANAGEMENT,CPL INTERIORS PLC,"60,834.80"
Home & Communities Agency,BUILDING MANAGEMENT,CROWN ESTATE COMMISSIONERS,685.78
Home & Communities Agency,BUILDING MANAGEMENT,DAJON ELECTRICAL SERVICES,"5,345.00"
Home & Communities Agency,BUILDING MANAGEMENT,DAM SAFETY LTD,"1,500.00"
Home & Communities Agency,BUILDING MANAGEMENT,DEBMAT SURFACING LIMITED,"4,127.58"
Home & Communities Agency,BUILDING MANAGEMENT,DIAMOND ESTATES,"2,250.00"
Home & Communities Agency,BUILDING MANAGEMENT,DIGITAL CCTV LTD,"5,050.00"
Home & Communities Agency,BUILDING MANAGEMENT,DISCREET PEST CONTROL,"17,902.00"
Home & Communities Agency,BUILDING MANAGEMENT,DRAIN & SEWER SERVICES,"6,894.00"
Home & Communities Agency,BUILDING MANAGEMENT,DUNCAN ROSE,"8,684.80"
Home & Communities Agency,BUILDING MANAGEMENT,EAGA HOME SERVICES LTD,"5,557.00"
Home & Communities Agency,BUILDING MANAGEMENT,Eddisons Commercial,"4,031.00"
Home & Communities Agency,BUILDING MANAGEMENT,EDEN FLOWERS FROM PARADISE,"2,340.00"
Home & Communities Agency,BUILDING MANAGEMENT,EDE'S (UK) LTD.,"31,994.90"
Home & Communities Agency,BUILDING MANAGEMENT,ELITE CONTRACT SERVICES LTD,"12,134.00"
Home & Communities Agency,BUILDING MANAGEMENT,EMCOR FACILITIES SERVICES LTD,"60,733.92"
Home & Communities Agency,BUILDING MANAGEMENT,EMPRISE SERVICES PLC,"1,818.66"
Home & Communities Agency,BUILDING MANAGEMENT,ENVOY,"19,775.00"
Home & Communities Agency,BUILDING MANAGEMENT,EURO CAR PARKS LIMITED,"34,712.81"
Home & Communities Agency,BUILDING MANAGEMENT,EVAC+CHAIR INTERNATIONAL LIMITED,"2,410.00"
Home & Communities Agency,BUILDING MANAGEMENT,EVERBLOOMS LTD,500.3
Home & Communities Agency,BUILDING MANAGEMENT,FIBRE ENVIRONMENTAL SERVICES LIMITED,"2,035.00"
Home & Communities Agency,BUILDING MANAGEMENT,FINNIGAN & HARPER,"74,589.96"
Home & Communities Agency,BUILDING MANAGEMENT,FIRST NATIONAL SERVICES LTD,"37,674.71"
Home & Communities Agency,BUILDING MANAGEMENT,FIRST TITLE,"3,675.00"
Home & Communities Agency,BUILDING MANAGEMENT,G & W WHITEFOOT,"1,317.13"
Home & Communities Agency,BUILDING MANAGEMENT,G. B. COOMBS,"107,468.66"
Home & Communities Agency,BUILDING MANAGEMENT,GATWICK HEATING & PLUMBING,"8,180.25"
Home & Communities Agency,BUILDING MANAGEMENT,GBK EXACTA (UK)) LTD,"3,123.83"
Home & Communities Agency,BUILDING MANAGEMENT,GLASDON UK LIMITED,"4,240.30"
Home & Communities Agency,BUILDING MANAGEMENT,Green Works (Interiors) Ltd,"5,512.40"
Home & Communities Agency,BUILDING MANAGEMENT,GREENHAWKS,"3,367.50"
Home & Communities Agency,BUILDING MANAGEMENT,HARROW GREEN LTD,"12,549.94"
Home & Communities Agency,BUILDING MANAGEMENT,HERTFORDSHIRE COUNTY COUNCIL,933.2
Home & Communities Agency,BUILDING MANAGEMENT,HOWARD RUSSELL CONSTRUCTION LTD,"28,856.00"
Home & Communities Agency,BUILDING MANAGEMENT,HYGIENE SYSTEMS LTD,"10,738.71"
Home & Communities Agency,BUILDING MANAGEMENT,IGLOO SIGNS,"2,519.00"
Home & Communities Agency,BUILDING MANAGEMENT,INDUSTRIAL ROOFING SERVICES,695
Home & Communities Agency,BUILDING MANAGEMENT,INTEGRAL UK LTD,"12,775.20"
Home & Communities Agency,BUILDING MANAGEMENT,J.B. WOODWARD (Electrical) LTD,"11,822.35"
Home & Communities Agency,BUILDING MANAGEMENT,J.LLOYD PLUMBING & HEATING,"7,105.00"
Home & Communities Agency,BUILDING MANAGEMENT,John Unwin,"1,604.41"
Home & Communities Agency,BUILDING MANAGEMENT,KEY WEST PEST CONTROL,"4,725.00"
Home & Communities Agency,BUILDING MANAGEMENT,KONE PLC,521.15
Home & Communities Agency,BUILDING MANAGEMENT,LEAFLINE,617.4
Home & Communities Agency,BUILDING MANAGEMENT,LINAKER LIMITED,"46,962.06"
Home & Communities Agency,BUILDING MANAGEMENT,LJ TAPLIN,"3,950.00"
Home & Communities Agency,BUILDING MANAGEMENT,LOCKLEY SECURITY,"1,720.00"
Home & Communities Agency,BUILDING MANAGEMENT,LONGRIDGE ROOFING LIMITED,508
Home & Communities Agency,BUILDING MANAGEMENT,M J MAPP LTD,"174,862.28"
Home & Communities Agency,BUILDING MANAGEMENT,MARTEC FIRE PROTECTION,664.45
Home & Communities Agency,BUILDING MANAGEMENT,METRO ROD,"7,280.00"
Home & Communities Agency,BUILDING MANAGEMENT,METRO SAFETY,885.54
Home & Communities Agency,BUILDING MANAGEMENT,MILTON KEYNES COUNCIL,"1,519.76"
Home & Communities Agency,BUILDING MANAGEMENT,Mitie Technical Facilities Management,"200,282.74"
Home & Communities Agency,BUILDING MANAGEMENT,MK FIRE LIMITED,"6,915.62"
Home & Communities Agency,BUILDING MANAGEMENT,MOTIVATION (TRAFFIC CONTROL) LTD,522.63
Home & Communities Agency,BUILDING MANAGEMENT,MRS,604.45
Home & Communities Agency,BUILDING MANAGEMENT,N2 CHECK LIMITED,"3,500.00"
Home & Communities Agency,BUILDING MANAGEMENT,NEW HADEN PUMPS,"1,214.00"
Home & Communities Agency,BUILDING MANAGEMENT,NEW QUEST ELECTRICAL SERVICES LTD,569.95
Home & Communities Agency,BUILDING MANAGEMENT,NIW UK LIMITED,720
Home & Communities Agency,BUILDING MANAGEMENT,Non Drip,612
Home & Communities Agency,BUILDING MANAGEMENT,NORTH EAST PROPERTY PARTNERSHIP LTD,"9,496.55"
Home & Communities Agency,BUILDING MANAGEMENT,NORTH NORTHANTS DEV. CO,"4,345.40"
Home & Communities Agency,BUILDING MANAGEMENT,Northumberland County Council,844.6
Home & Communities Agency,BUILDING MANAGEMENT,ODELL AND COMPANY LIMITED,"5,147.70"
Home & Communities Agency,BUILDING MANAGEMENT,ORBIS PROPERTY PROTECTION LTD,"4,584.70"
Home & Communities Agency,BUILDING MANAGEMENT,ORONA LIMITED,"1,393.72"
Home & Communities Agency,BUILDING MANAGEMENT,OTIS LIMITED,"2,100.32"
Home & Communities Agency,BUILDING MANAGEMENT,PARAGON GROUP UK LIMITED,815.46
Home & Communities Agency,BUILDING MANAGEMENT,PESTOKIL PEST CONTROL,800
Home & Communities Agency,BUILDING MANAGEMENT,PETER ASHLEY,"4,960.00"
Home & Communities Agency,BUILDING MANAGEMENT,PHS GROUP,"40,230.81"
Home & Communities Agency,BUILDING MANAGEMENT,PIMS GROUP,"1,176.89"
Home & Communities Agency,BUILDING MANAGEMENT,PITT GODDEN & TAYLOR,977.5
Home & Communities Agency,BUILDING MANAGEMENT,PMA SYSTEMS,"2,663.00"
Home & Communities Agency,BUILDING MANAGEMENT,PORTABLE APPLIANCE SAFETY SERVICES LTD,999.01
Home & Communities Agency,BUILDING MANAGEMENT,POSTURITE LTD,"1,841.80"
Home & Communities Agency,BUILDING MANAGEMENT,PROPERTY TECTONICS,"7,000.00"
Home & Communities Agency,BUILDING MANAGEMENT,Quicksilver,"5,153.28"
Home & Communities Agency,BUILDING MANAGEMENT,R & P TODD,"7,280.25"
Home & Communities Agency,BUILDING MANAGEMENT,R & W ELECTRICAL,805
Home & Communities Agency,BUILDING MANAGEMENT,RANDLE BUILDING SOLUTIONS LTD,875
Home & Communities Agency,BUILDING MANAGEMENT,RAY RICHARDSON LIMITED,"18,211.50"
Home & Communities Agency,BUILDING MANAGEMENT,REGAL LITHO LTD,"5,634.00"
Home & Communities Agency,BUILDING MANAGEMENT,Rentokill Initial,"4,217.62"
Home & Communities Agency,BUILDING MANAGEMENT,RICHARD HALLAM JOINERY,"5,764.00"
Home & Communities Agency,BUILDING MANAGEMENT,RING READY,"22,551.76"
Home & Communities Agency,BUILDING MANAGEMENT,RISCHE LTD,"84,751.68"
Home & Communities Agency,BUILDING MANAGEMENT,ROAD MANAGEMENT SERVICES (A13) PLC,"41,008.57"
Home & Communities Agency,BUILDING MANAGEMENT,S G INSTALLATIONS LTD,"24,063.96"
Home & Communities Agency,BUILDING MANAGEMENT,SABIEN TECHNOLOGY LIMITED,"11,867.00"
Home & Communities Agency,BUILDING MANAGEMENT,SAFETY GAS-ELEC SYSTEMS,"5,249.04"
Home & Communities Agency,BUILDING MANAGEMENT,SIGNS EXPRESS,"30,436.02"
Home & Communities Agency,BUILDING MANAGEMENT,Sirius Carpet Care Ltd,854
Home & Communities Agency,BUILDING MANAGEMENT,SOLARTECH LTD,"49,870.00"
Home & Communities Agency,BUILDING MANAGEMENT,SOLO MANUFACTURING LTD,655.2
Home & Communities Agency,BUILDING MANAGEMENT,SOVEREIGN ENGINEERING,"45,709.68"
Home & Communities Agency,BUILDING MANAGEMENT,ST GILES INSURANCE,"86,680.57"
Home & Communities Agency,BUILDING MANAGEMENT,STANAIR INDUSTRIAL DOOR SERVICES LTD,"4,828.75"
Home & Communities Agency,BUILDING MANAGEMENT,STATUS BUILDING SERVICES LTD,"62,654.38"
Home & Communities Agency,BUILDING MANAGEMENT,SUNLIGHT SERVICE GROUP LTD,"2,642.37"
Home & Communities Agency,BUILDING MANAGEMENT,SUPERPLANTS LIMITED,664.54
Home & Communities Agency,BUILDING MANAGEMENT,T A MILLARD MIDLANDS LTD,"1,389.22"
Home & Communities Agency,BUILDING MANAGEMENT,THE LOCAL FUTURES GROUP,"2,875.00"
Home & Communities Agency,BUILDING MANAGEMENT,THE MOVING NETWORK LTD,"15,646.00"
Home & Communities Agency,BUILDING MANAGEMENT,THE STABLES TRADING LTD,906.5
Home & Communities Agency,BUILDING MANAGEMENT,THE WORKSHOP,549.6
Home & Communities Agency,BUILDING MANAGEMENT,THYSSENKRUPP ELEVATOR UK LIMITED,"3,187.40"
Home & Communities Agency,BUILDING MANAGEMENT,TLC,"1,084.00"
Home & Communities Agency,BUILDING MANAGEMENT,TOTAL BUILDING MAINTENANCE LTD,"1,470.30"
Home & Communities Agency,BUILDING MANAGEMENT,ULTIMA BUSINESS SOLUTIONS,"5,038.80"
Home & Communities Agency,BUILDING MANAGEMENT,UNIQUE INTEGRATED SYSTEMS LIMITED,"2,439.00"
Home & Communities Agency,BUILDING MANAGEMENT,VANITORIALS LTD,"1,554.00"
Home & Communities Agency,BUILDING MANAGEMENT,VINCI PARK SERVICES UK LTD,"300,262.49"
Home & Communities Agency,BUILDING MANAGEMENT,WAE GROUP,768
Home & Communities Agency,BUILDING MANAGEMENT,WILD ORCHID DESIGNS LTD,"2,661.40"
Home & Communities Agency,BUILDING MANAGEMENT,WINTER MAINTENANCE,"1,360.00"
Home & Communities Agency,BUILDING MANAGEMENT,WORKING PARTS LIMITED,"6,325.00"
Home & Communities Agency,BUILDING MANAGEMENT,ZEPBROOK LTD,"2,199.91"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ABLE SERVICES,987.75
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ADJ LTD,"58,349.58"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,AECOM Limited,"50,206.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,AGRIPOWER LTD,"43,392.50"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,AIREDALE FORESTRY,"54,502.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ALUN GRIFFITHS (CONTRACTORS) LTD,"219,473.81"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,AM & MJ HARPER,"35,552.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,APT CONTROLS LTD,"1,110.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,AQUEOUS 1ST KWIKFLOW LTD,"1,592.63"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ASCOT ENVIRONMENTAL LTD,"2,002,090.07"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,ASHLEA LTD,"35,810.31"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,AURORA STREET LIGHTING LTD,"1,250.00"
Home & Communities Agency,BUILDING REPAIR AND MAINTENANCE,AYLESBURY MAINS LTD,"17,314.05"
