Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Defence ,Ministerial Department,Ministry of Defence,14416,13764,7752,7567,12859,12641,2139,2117,234,231,16346,15885,53746,52205,914,870,68,67,165,165,44,44,1191,1146,54937,53351,,,,,,,,,,,,"The MOD is currently at the Planning Round stage of implementing the 2012/13 budget. Payroll and Non-Payroll figures required for this return are taken from the MOD's Planning, Budgeting & Forecasting (PB&F) system. Until the PR12 process is complete and costed plans are migrated to PB&F, the information due to be published here is not centrally available.",
Defence Support Group,Executive Agency,Ministry of Defence,530,513,"1,627","1,614",244,241,61,61,5,5,61,61,"2,528","2,494",171,171,1,1,0,0,0,0,172,172,"2,700","2,665","£5,185,838","£376,134",£0,"£204,098","£950,996","£436,902","£7,153,969","£426,470",£0,"£426,470","£7,580,439",.,
Defence Science & Technology Laboratory,Executive Agency,Ministry of Defence,193,190,285,274,"1,924","1,873","1,306","1,249",29,26,0,0,"3,737","3,613",2,2,0,0,171,162,1,1,174,165,"3,911","3,777","£10,395,694","£104,843",£0,"£375,606","£2,048,037","£954,458","£13,878,639","£1,419,237","£2,272","£1,421,509","£15,300,148",30/04/2012,FTE & HC SCS include Dstl Level 9
UK Hydrographic Office,Executive Agency,Ministry of Defence,161,153,389,362,417,393,75,73,2,2,0,0,"1,044",983,15,13,0,0,92,89,0,0,107,103,"1,151","1,086","£2,476,971","£67,847","£2,800","£39,361","£492,895","£200,186","£3,280,060","£728,452",£0,"£728,452","£4,008,513",.,
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,179,172,0,0,0,0,0,0,0,0,0,0,179,172,1,0,0,0,0,0,2,0,3,0,182,172,"£336,939","£7,564","£6,850","£18,307","£17,039","£33,429","£420,128",£441,£700,"£1,141","£421,269",The RAF Museum is devolved and does not operate the MOD/civil service grading sructure.,
National Museum Royal Navy,Executive Non-Departmental Public Body,Ministry of Defence,23,20,2,2,2,2,1,1,1,1,0,0,29,25,0,0,0,0,0,0,0,0,0,0,29,25,"£58,735","£1,441",£0,£869,"£6,586","£5,568","£73,199",£0,£0,£0,"£73,199",.,
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,1,1,1,1,3,2,3,3,1,1,49,47,58,56,1,1,0,0,1,1,0,0,2,2,60,58,"£153,369","£12,652",£0,£726,"£32,337","£11,899","£210,983",£0,£0,£0,"£210,983",,
