ALB Code,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
Tenants Services Authority,ACCOMMODATION SERVICES,LAZARI INVESTMENTS LIMITED,"567,612.21"
Tenants Services Authority,ACCOMMODATION SERVICES,MIC HOTEL AND CONFERENCE CENTRE LTD,"1,109.22"
Tenants Services Authority,ACCOMMODATION SERVICES,MWB BUSINESS EXCHANGE-BRISTOL CASTLEMEAD,"1,368.50"
Tenants Services Authority,ACCOMMODATION SERVICES,MWBBUSINESS EXC - EUSTON FITZROVIA,"2,951.64"
Tenants Services Authority,ACCOMMODATION SERVICES,MWBBUSINESS EXCHANGE-OXFORD ST,698.91
Tenants Services Authority,ACCOMMODATION SERVICES,PENINSULA INNOVATIONS LTD,"1,115.76"
Tenants Services Authority,ACCOMMODATION SERVICES,QUEST THE GREAT OUTDOORS LTD,"2,930.60"
Tenants Services Authority,ACCOMMODATION SERVICES,RADISSON EDWARDIAN GRAFTON HOTEL,610.00
Tenants Services Authority,ACCOMMODATION SERVICES,RENTOKILL PEST CONTROL,"1,366.68"
Tenants Services Authority,ACCOMMODATION SERVICES,SHAW AND SONS LTD,727.03
Tenants Services Authority,ACCOMMODATION SERVICES,THE STUDIO,741.58
Tenants Services Authority,ACCOMMODATION SERVICES,TSA DIRECT DEBIT,"2,692.48"
Tenants Services Authority,ACCOMMODATION SERVICES,TURNBULLS (REMOVALS) LTD,"1,227.35"
Tenants Services Authority,ACCOMMODATION SERVICES,UNIVERSITY OF EXETER,613.11
Tenants Services Authority,ACCOMMODATION SERVICES,UNIVERSITY OF WOLVERHAMPTON,696.61
Tenants Services Authority,ACCOMMODATION SERVICES,WORKSTATION,"2,685.94"
Tenants Services Authority,ADVERTISING,HEMMING GROUP LTD,"2,091.85"
Tenants Services Authority,ADVERTISING,OCEAN MEDIA GROUP LTD,"2,397.75"
Tenants Services Authority,ADVERTISING,REED BUSINESS INFORMATION LTD,"1,546.16"
Tenants Services Authority,BUILDING MANAGEMENT,ACCESSIT DATA LIMITED,"9,671.66"
Tenants Services Authority,BUILDING MANAGEMENT,ACI-ADVANCE COMPUTER INSTALLATIONS LTD,"2,950.11"
Tenants Services Authority,BUILDING MANAGEMENT,AMBIUS,"3,216.80"
Tenants Services Authority,BUILDING MANAGEMENT,CARILLION (ONE PICCADILLY GARDENS UNIT),"1,196.11"
Tenants Services Authority,BUILDING MANAGEMENT,CARILLION SERVICES LIMITED,"1,089.48"
Tenants Services Authority,BUILDING MANAGEMENT,CLIFF'S FLOWERS,"1,175.00"
Tenants Services Authority,BUILDING MANAGEMENT,EDFENERGY 1 LTD,"5,745.22"
Tenants Services Authority,BUILDING MANAGEMENT,EUROPEAN SATELLITES.COM LIMITED,"1,626.61"
Tenants Services Authority,BUILDING MANAGEMENT,FIVEWAY SYSTEMS LTD T/A AIRCON SERVICES,"1,786.87"
Tenants Services Authority,BUILDING MANAGEMENT,GLORIOUS PRODUCTIONS LTD,501.58
Tenants Services Authority,BUILDING MANAGEMENT,GREEN WORKS (INTERIORS) LTD,"2,312.32"
Tenants Services Authority,BUILDING MANAGEMENT,HSS HIRE SERVICE GROUP LTD,"1,367.94"
Tenants Services Authority,BUILDING MANAGEMENT,JAI NEWS,"1,087.75"
Tenants Services Authority,BUILDING MANAGEMENT,JGREENAWAY,"4,076.49"
Tenants Services Authority,BUILDING MANAGEMENT,JWESLEY (ELECTRICAL CONTRACTORS)LTD,"1,943.23"
Tenants Services Authority,BUILDING MANAGEMENT,MERIDIAN OPTIONS,"2,695.45"
Tenants Services Authority,BUILDING MANAGEMENT,NON DRIP,537.63
Tenants Services Authority,BUILDING MANAGEMENT,PARKERAY LIMITED,"-4,871.11"
Tenants Services Authority,BUILDING MANAGEMENT,SHRED-IT,"1,581.33"
Tenants Services Authority,BUILDING MANAGEMENT,TROWERS & HAMLINS,"1,977.29"
Tenants Services Authority,BUILDING MANAGEMENT,WISEWORK LTD,"5,918.36"
Tenants Services Authority,BUILDING MANAGEMENT,WORKSYSTEMS LTD,900.00
Tenants Services Authority,CLEANING,CARILLION (ONE PICCADILLY GARDENS UNIT),"6,206.70"
Tenants Services Authority,CLEANING,CARILLION SERVICES LIMITED,"2,631.73"
Tenants Services Authority,CLEANING,OCEAN CONTRACT CLEANING LTD,"26,248.88"
Tenants Services Authority,CLEANING,PARPER ROUND LTD,"17,914.46"
Tenants Services Authority,CLEANING,PHSGROUP LTD,954.14
Tenants Services Authority,CLEANING,SIRIUS CARPET CARE LTD,"2,064.62"
Tenants Services Authority,ELECTRICITY,CARILLION (ONE PICCADILLY GARDENS UNIT),"16,800.86"
Tenants Services Authority,ELECTRICITY,CARILLION SERVICES LIMITED,"9,350.36"
Tenants Services Authority,ELECTRICITY,CHARLIE ARBUTHNOT & FAMILY CO. LTD,"3,910.00"
Tenants Services Authority,ELECTRICITY,EDFENERGY 1 LTD,"18,259.08"
Tenants Services Authority,ELECTRICITY,NIGEL BARRINGTON,"16,603.98"
Tenants Services Authority,ELECTRICITY,PARK INN YORK,"1,020.00"
Tenants Services Authority,FINANCIAL SERVICES,CITY OF WESTMINSTER,"2,683.34"
Tenants Services Authority,FINANCIAL SERVICES,GEMINI CONSULTANTS LTD,"8,258.25"
Tenants Services Authority,FINANCIAL SERVICES,GOVERNMENT ACTUARY'S DEPARTMENT,"2,932.50"
Tenants Services Authority,FINANCIAL SERVICES,HEWITT ASSOCIATES LIMITED,"4,397.50"
Tenants Services Authority,FINANCIAL SERVICES,NATIONAL AUDIT OFFICE,"130,000.00"
Tenants Services Authority,FINANCIAL SERVICES,TSA DIRECT DEBIT,"20,953.40"
Tenants Services Authority,HARDWARE,HEWLETT-PACKARD LIMITED,"1,211.77"
Tenants Services Authority,HARDWARE,MISCO,"6,753.34"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,AEONIAN TRAINING CENTRES LTD,"6,549.35"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,APTOS USERGROUP LIMITED,"1,075.00"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,ASHRIDGE STRATEGIC MANAGEMENT CENTRE,"8,161.19"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,AWICS,762.45
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,BIRKBECK COLLEGE,858.00
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,BLUEPRINT MANAGEMENT SYSTEMS LTD,"7,516.98"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,BRITISH MEDICAL ASSOCIATION,"2,953.90"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,BROADWATER TRAINING LTD,"15,606.55"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,BUILDING CENTRE GROUP LIMITED,"2,644.93"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,CAET,560.00
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,CANONBURY ACADEMY,"1,022.38"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,CAREER COUNSELLING SERVICES LTD,"13,293.98"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,CENTRAL LAW TRAINING LTD,"1,344.73"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,CEQUEL2 LTD,"2,346.00"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,CHALLENGE CONSULTANCY LTD,"8,199.74"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,CHARTERED INSTITUTE OF HOUSING,"6,434.91"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,CIPFA,527.85
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,CIPFA,679.36
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,CIPFA BUSINESS LIMITED,923.74
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,DE MONTFORT UNIVERSITY,"2,100.00"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,DEVELOPING PEOPLE,"1,707.50"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,DSE ASSESSMENTS LTD,"1,163.26"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,EAST OF ENGLAND AMBULANCE NHS TRUST,635.38
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,ELECTRIC AIRWAVES LTD,"4,887.50"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,ENERA LIMITED,"2,443.75"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,EXPERT MESSAGING LTD,643.20
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,GLOBAL KNOWLEDGE NETWORK TRAINING LTD,"1,253.41"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,HALLAM CONFERENCE CENTRE,"3,014.61"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,HAY GROUP MANANGEMENT LIMITED,"11,248.96"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,HEMSLEY FRASER,726.48
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,HENSHALL CENTRE LTD,811.32
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,HOUSING DIVERSITY NETWORK,"5,675.16"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,INTERACTIVE BUSINESS EVENTS LTD,"1,454.06"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,JOANNA GUTMANN TRAINING,860.20
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,KAPLAN FINANCIAL LTD,"1,974.22"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,KAPLAN HAWKSMERE,634.40
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,LANCASTER UNIVERSITY,"20,625.00"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,LATERLIFE LEARNING,"1,050.81"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,LEARNING TREE INTERNATIONAL LTD,"3,344.36"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,LICHFIELD ASSOCIATES,830.88
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,LION COURT CONFERENCE CENTRE,"4,847.94"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,LONDON SCHOOL OF BUSINESS & FINANCE,"2,800.00"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,LONDON SOUTH BANK UNIVERSITY,"2,865.00"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,MANCHESTER METROPOLITAN UNIVERSITY,920.00
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,MWB BUSINESS EXCHANGE CENTRES-CAVENDISH,"1,090.55"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,MWB BUSINESS MANCHESTER PALL MALL,"7,333.43"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,MWB EXCHANGE CENTRES LTD - SOHO SQUARE,756.59
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,MWBBUSINESS EXC - EUSTON FITZROVIA,"13,243.60"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,MWBBUSINESS EXCHANGE-OXFORD ST,"6,523.59"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,NATIONAL HOUSING FEDERATION,"31,075.64"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,NATIONAL SCHOOL OF GOVERNMENT,"6,051.80"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,PEARN KANDOLA,"34,508.40"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,PENNA PLC,"6,341.57"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,PPCWORLDWIDE,"5,064.88"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,REMA CONSULTING,"21,347.24"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,SAVILLE CONSULTING UK LTD,"3,109.44"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,SELSDON PARK AND GOLF CLUB,"3,185.00"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,SOL DAVIDSON AND ASSOCIATES,"2,423.44"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,STEP CHANGE TRAINING LTD,"10,308.69"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,SYSTEM CONCEPTS,"3,006.56"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,TRAINING PATHS LTD,581.61
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,TRIBAL CONSULTING LTD,"53,084.39"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,TSA DIRECT DEBIT,"12,880.08"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,UCE BIRMINGHAM,"1,320.00"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,UNIVERSITY OF HERTFORDSHIRE,"3,125.00"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,WELLCOME TRUST,"2,045.43"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,WIGTHE WHITEHALL & INDUSTRY GROUP),"8,601.87"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,WISEWORK LTD,"1,279.05"
Tenants Services Authority,LEARNING AND DEVELOPMENT SERVICES,WORD SMITHS,"3,176.88"
Tenants Services Authority,MAINTENANCE AND SUPPORT,BOXUK,"6,705.65"
Tenants Services Authority,MAINTENANCE AND SUPPORT,DATALINE SOFTWARE LTD,"9,180.00"
Tenants Services Authority,MAINTENANCE AND SUPPORT,DSGI BUSINESS,"23,270.53"
Tenants Services Authority,MAINTENANCE AND SUPPORT,MAXIMA MANAGED SERVICES LTD,"4,629.16"
Tenants Services Authority,MAINTENANCE AND SUPPORT,MERIDIAN OPTIONS,860.20
Tenants Services Authority,MAINTENANCE AND SUPPORT,Q ASSOCIATES LIMITED,"2,564.34"
Tenants Services Authority,MAINTENANCE AND SUPPORT,STERIA SERVICES LIMITED,"57,793.06"
Tenants Services Authority,MANAGED / OUTSOURCED SERVICES,VERISIGN UK LIMITED,599.00
Tenants Services Authority,NETWORKING,STERIA SERVICES LIMITED,"1,762,900.18"
Tenants Services Authority,OFFICE CONSUMABLES,ASSET CONTROL,"1,527.21"
Tenants Services Authority,OFFICE CONSUMABLES,BANNER BUSINESS SUPPLIES,"1,226.47"
Tenants Services Authority,OFFICE CONSUMABLES,COMPUTACENTER LTD,"37,322.21"
Tenants Services Authority,OFFICE CONSUMABLES,HOMES AND COMMUNITIES AGENCY,869.00
Tenants Services Authority,OFFICE CONSUMABLES,MERIDIAN OPTIONS,"1,269.77"
Tenants Services Authority,OFFICE CONSUMABLES,MISCO,"17,961.19"
Tenants Services Authority,OFFICE CONSUMABLES,QUESTMARK LIMITED,"3,215.98"
Tenants Services Authority,OFFICE CONSUMABLES,SCC,869.18
Tenants Services Authority,OFFICE CONSUMABLES,SG WORLD LTD,703.50
Tenants Services Authority,OFFICE CONSUMABLES,SOFTWARE BOX LTD,"2,712.62"
Tenants Services Authority,OFFICE CONSUMABLES,VODAFONE LTD,"3,074.09"
Tenants Services Authority,OFFICE MACHINES,A1 DISCOS LTD,581.63
Tenants Services Authority,OFFICE MACHINES,AMBIUS,"3,216.80"
Tenants Services Authority,OFFICE MACHINES,DESIGNER FLOWERS BY RODGERS LTD,859.56
Tenants Services Authority,OFFICE MACHINES,IKON CAPITAL PLC,"44,448.87"
Tenants Services Authority,OFFICE MACHINES,IKON OFFICE SOLUTIONS PLC,"8,972.54"
Tenants Services Authority,OFFICE MACHINES,KONICA MINOLTA BUSINESS SOLUTIONS (UK) L,"3,469.49"
Tenants Services Authority,OFFICE MACHINES,MORGANA SYSTEMS LTD,668.87
Tenants Services Authority,OFFICE MACHINES,NEOPOST FINANCE LTD,685.55
Tenants Services Authority,OFFICE MACHINES,PHSGROUP LTD,951.57
Tenants Services Authority,OFFICE MACHINES,PITNEY BOWES LTD,993.98
Tenants Services Authority,OFFICE MACHINES,RICOH CAPITAL LIMITED,"20,112.20"
Tenants Services Authority,OFFICE MACHINES,TSA DIRECT DEBIT,"5,006.84"
Tenants Services Authority,OFFICE SUPPLIES,AMBROSE PRINTERS,586.91
Tenants Services Authority,OFFICE SUPPLIES,BANNER BUSINESS SUPPLIES,"25,671.95"
Tenants Services Authority,OFFICE SUPPLIES,BRISTOL CARD SOLUTIONS & BUSINESS GIFTS,830.88
Tenants Services Authority,OFFICE SUPPLIES,MORGANA SYSTEMS LTD,563.29
Tenants Services Authority,OFFICE SUPPLIES,MWLPRINT GROUP LTD,"5,728.37"
Tenants Services Authority,OFFICE SUPPLIES,PITNEY BOWES LTD,"2,494.18"
Tenants Services Authority,OFFICE SUPPLIES,SG WORLD LTD,827.80
Tenants Services Authority,OFFICE SUPPLIES,TSA DIRECT DEBIT,"2,275.74"
Tenants Services Authority,OPERATIONAL SERVICES,ADDLESHAW GODDARD,781.46
Tenants Services Authority,OPERATIONAL SERVICES,AJA REGISTRARS,"1,243.38"
Tenants Services Authority,OPERATIONAL SERVICES,APCO,"5,387.70"
Tenants Services Authority,OPERATIONAL SERVICES,B-PLAN,"9,092.39"
Tenants Services Authority,OPERATIONAL SERVICES,BEAUMONT HOUSE,"4,034.65"
Tenants Services Authority,OPERATIONAL SERVICES,BOXUK,"5,005.73"
Tenants Services Authority,OPERATIONAL SERVICES,CABINET OFFICE,724.13
Tenants Services Authority,OPERATIONAL SERVICES,CABINET OFFICE,977.50
Tenants Services Authority,OPERATIONAL SERVICES,CAMPBELL TICKELL LTD,"18,980.36"
Tenants Services Authority,OPERATIONAL SERVICES,CANONBURY ACADEMY,974.58
Tenants Services Authority,OPERATIONAL SERVICES,CARDIFF UNIVERSITY,710.00
Tenants Services Authority,OPERATIONAL SERVICES,CARET LTD,"1,744.88"
Tenants Services Authority,OPERATIONAL SERVICES,CELLO MRUK,"4,885.55"
Tenants Services Authority,OPERATIONAL SERVICES,CHARTERED INSTITUTE OF HOUSING,"3,473.67"
Tenants Services Authority,OPERATIONAL SERVICES,CISION UK LIMITED,"1,906.13"
Tenants Services Authority,OPERATIONAL SERVICES,CITY INN MANCHESTER,867.00
Tenants Services Authority,OPERATIONAL SERVICES,COMPUTACENTER LTD,"50,084.09"
Tenants Services Authority,OPERATIONAL SERVICES,CONFEDERATION OF CO-OPERATIVE HOUSING,509.10
Tenants Services Authority,OPERATIONAL SERVICES,CONSULTCIH LIMITED,"40,779.77"
Tenants Services Authority,OPERATIONAL SERVICES,DATATECH SEARCH AND SELECTIONS,"4,838.63"
Tenants Services Authority,OPERATIONAL SERVICES,DELOITTE & TOUCHE LLP,"4,887.50"
Tenants Services Authority,OPERATIONAL SERVICES,DODS PARLIAMENTARY COMMUNICATIONS,674.48
Tenants Services Authority,OPERATIONAL SERVICES,DRIVERS JONAS,"9,525.01"
Tenants Services Authority,OPERATIONAL SERVICES,DURRANT'S PRESS CUTTINGS LTD,"16,262.87"
Tenants Services Authority,OPERATIONAL SERVICES,EAST THAMES GROUP LIMITED,"5,865.00"
Tenants Services Authority,OPERATIONAL SERVICES,EC HARRIS LLP,"22,567.05"
Tenants Services Authority,OPERATIONAL SERVICES,ECONETWORK LTD,"7,092.18"
Tenants Services Authority,OPERATIONAL SERVICES,EMAP COMMUNICATIONS,"4,838.63"
Tenants Services Authority,OPERATIONAL SERVICES,ENERA LIMITED,"1,368.50"
Tenants Services Authority,OPERATIONAL SERVICES,EXPOTEL HOTEL RESERVATIONS,"1,684.10"
Tenants Services Authority,OPERATIONAL SERVICES,FORVUS,"105,750.99"
Tenants Services Authority,OPERATIONAL SERVICES,FRIENDS HOUSE (LONDON) HOSPITALITY LTD,610.17
Tenants Services Authority,OPERATIONAL SERVICES,FSMD LIMITED,"24,437.50"
Tenants Services Authority,OPERATIONAL SERVICES,GAIL WATERS,"1,190.00"
Tenants Services Authority,OPERATIONAL SERVICES,GFKNOP LIMITED,"87,975.00"
Tenants Services Authority,OPERATIONAL SERVICES,GRANT THORNTON,"12,639.65"
Tenants Services Authority,OPERATIONAL SERVICES,GUZELIAN,752.68
Tenants Services Authority,OPERATIONAL SERVICES,HAY GROUP MANANGEMENT LIMITED,"3,714.50"
Tenants Services Authority,OPERATIONAL SERVICES,HMLAND REGISTRY,"7,479.39"
Tenants Services Authority,OPERATIONAL SERVICES,HOLIDAY INN - LONDON REGENTS PARK,"10,879.15"
Tenants Services Authority,OPERATIONAL SERVICES,HOUSEMARK LIMITED,"4,653.00"
Tenants Services Authority,OPERATIONAL SERVICES,HQN LIMITED,"104,888.24"
Tenants Services Authority,OPERATIONAL SERVICES,IDOX INFORMATION SERVICES LTD,"8,065.60"
Tenants Services Authority,OPERATIONAL SERVICES,INTRANET FOCUS LTD,733.13
Tenants Services Authority,OPERATIONAL SERVICES,JGP,"9,775.00"
Tenants Services Authority,OPERATIONAL SERVICES,JOBS GO PUBLIC,"10,881.24"
Tenants Services Authority,OPERATIONAL SERVICES,JODI BERG,"3,665.63"
Tenants Services Authority,OPERATIONAL SERVICES,KNOX CROPPER,"8,406.50"
Tenants Services Authority,OPERATIONAL SERVICES,KPMG LLP FEES ACCOUNT,"7,331.25"
Tenants Services Authority,OPERATIONAL SERVICES,LANGUAGE LINE,714.57
Tenants Services Authority,OPERATIONAL SERVICES,LEWIS LIVE LTD,"1,546.16"
Tenants Services Authority,OPERATIONAL SERVICES,LIZ TRAY,"4,105.00"
Tenants Services Authority,OPERATIONAL SERVICES,LOCAL GOVERNMENT ASSOCIATION,"6,548.07"
Tenants Services Authority,OPERATIONAL SERVICES,MACDONALD MANCHESTER HOTEL,"1,827.50"
Tenants Services Authority,OPERATIONAL SERVICES,MALMAISON - BIRMINGHAM,"3,733.81"
Tenants Services Authority,OPERATIONAL SERVICES,MANCHESTER CITY COUNCIL,729.64
Tenants Services Authority,OPERATIONAL SERVICES,MARK LUPTON,"6,312.60"
Tenants Services Authority,OPERATIONAL SERVICES,MARSH LTD,"1,955.00"
Tenants Services Authority,OPERATIONAL SERVICES,MICHAEL PAGE UK LTD,"29,031.76"
Tenants Services Authority,OPERATIONAL SERVICES,MICROSOFT LIMITED,"39,109.78"
Tenants Services Authority,OPERATIONAL SERVICES,MIDLAND HOTEL (MANCHESTER) LTD,"7,813.50"
Tenants Services Authority,OPERATIONAL SERVICES,MWBBUSINESS EXC - EUSTON FITZROVIA,"1,009.27"
Tenants Services Authority,OPERATIONAL SERVICES,MWBBUSINESS EXCHANGE-OXFORD ST,"1,027.54"
Tenants Services Authority,OPERATIONAL SERVICES,NATIONAL HOUSING FEDERATION,"41,227.00"
Tenants Services Authority,OPERATIONAL SERVICES,NATIONAL SCHOOL OF GOVERNMENT,"3,102.92"
Tenants Services Authority,OPERATIONAL SERVICES,NAVIGANT CONSULTING (EUROPE) LTD,"9,222.98"
Tenants Services Authority,OPERATIONAL SERVICES,NIGEL BARRINGTON,"9,170.60"
Tenants Services Authority,OPERATIONAL SERVICES,NORTHERN HOUSING CONSORTIUM LTD,"1,129.99"
Tenants Services Authority,OPERATIONAL SERVICES,NOVOTEL LONDON PADDINGTON,"7,100.00"
Tenants Services Authority,OPERATIONAL SERVICES,OCEAN MEDIA GROUP LTD,"18,206.96"
Tenants Services Authority,OPERATIONAL SERVICES,ODGERS RAY & BERNDTSON,"85,598.53"
Tenants Services Authority,OPERATIONAL SERVICES,ONE GREAT GEORGE STREET,"1,541.31"
Tenants Services Authority,OPERATIONAL SERVICES,PARLIAMENTARY NEWS SERVICES,"1,678.75"
Tenants Services Authority,OPERATIONAL SERVICES,PEARN KANDOLA,"46,966.45"
Tenants Services Authority,OPERATIONAL SERVICES,PENNA BARKERS,"14,640.13"
Tenants Services Authority,OPERATIONAL SERVICES,PENNA PLC,"39,608.81"
Tenants Services Authority,OPERATIONAL SERVICES,PKF (UK) LLP,"11,632.25"
Tenants Services Authority,OPERATIONAL SERVICES,PLAIN ENGLISH CAMPAIGN LTD,"14,491.40"
Tenants Services Authority,OPERATIONAL SERVICES,PRESS ASSOCIATION LIMITED,"4,398.75"
Tenants Services Authority,OPERATIONAL SERVICES,PREVISOR UK LTD,600.73
Tenants Services Authority,OPERATIONAL SERVICES,PRICEWATERHOUSECOOPERS LLP,"43,357.01"
Tenants Services Authority,OPERATIONAL SERVICES,QUADRANT SEARCH & SELECTION,"6,842.50"
Tenants Services Authority,OPERATIONAL SERVICES,RAMSIDE HALL HOTEL AND GOLF CLUB,"3,642.46"
Tenants Services Authority,OPERATIONAL SERVICES,RESEARCH INTERNATIONAL,"661,259.65"
Tenants Services Authority,OPERATIONAL SERVICES,RM DATA SOLUTIONS LTD,"166,507.49"
Tenants Services Authority,OPERATIONAL SERVICES,RM EDUCATION PLC,"175,371.58"
Tenants Services Authority,OPERATIONAL SERVICES,RMCCONSULTANCY LIMITED,"23,691.67"
Tenants Services Authority,OPERATIONAL SERVICES,ROYAL INST. OF BRITISH ARCHITECTS,"4,507.36"
Tenants Services Authority,OPERATIONAL SERVICES,RUN RAGGED,"2,500.00"
Tenants Services Authority,OPERATIONAL SERVICES,SAGE (UK) LTD,"4,736.02"
Tenants Services Authority,OPERATIONAL SERVICES,SARA LOVELL ASSOCIATES,"1,200.00"
Tenants Services Authority,OPERATIONAL SERVICES,SAVILLS COMMERCIAL LTD,"37,145.00"
Tenants Services Authority,OPERATIONAL SERVICES,SEARCH CONSULTANCY LTD,"2,908.13"
Tenants Services Authority,OPERATIONAL SERVICES,SITRA,599.00
Tenants Services Authority,OPERATIONAL SERVICES,SOCIAL HOUSING,733.12
