"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Profession"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-03","HEO-B","23570","32866","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-03","SEO-B","28741","40701","Policy Adviser","6","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-04","EO-B","18763","27023","Personal Assistant","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-04","G6-B","50043","67313","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-04","G7-B","40686","55562","Life Sciences Specialist","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-04","G7-B","40686","55562","Procurement Officer","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-04","G7-B","40686","55562","Senior Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-04","HEO-B","23570","32866","Policy Adviser","3.83","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-04","HEO-B","23570","32866","Procurement Officer","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-04","HEO-D","25152","33027","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-04","SEO-B","28741","40701","Life Sciences Specialist","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-04","SEO-B","28741","40701","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-05","AO-B","16325","21869","Policy Adviser","5","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-05","EO-B","18763","27023","Personal Assistant","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-05","EO-B","18763","27023","Policy Adviser","4","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-05","G6-B","50043","67313","Mechanical Engineer","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-05","G6-B","50043","67313","Senior Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-05","G7-B","40686","55562","Electrical Engineer","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-05","G7-B","40686","55562","Senior Policy Adviser","1","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-05","G7-B","40686","55562","Senior Policy Adviser","2.25","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-05","HEO-B","23570","32866","Policy Adviser","6","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-05","HEO-D","25152","33027","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-05","SEO-B","28741","40701","Policy Adviser","10","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-06","EO-B","18763","27023","Personal Assistant","0.83","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-06","G6-B","50043","67313","Senior Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-06","G7-B","40686","55562","Senior Policy Adviser","10.67","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-06","HEO-B","23570","32866","Policy Adviser","4","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-06","HEO-D","25152","33027","Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-06","IntMan","0","0","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-06","SEO-B","28741","40701","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-07","AO-B","16325","21869","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-07","EO-B","18763","27023","Personal Assistant","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-07","EO-B","18763","27023","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-07","G6-B","50043","67313","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-07","G7-B","40686","55562","Senior Policy Adviser","10","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-07","HEO-B","23570","32866","Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-07","IntMan","0","0","Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-07","SEO-B","28741","40701","Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-08","AO-B","16325","21869","Personal Assistant","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-08","G7-B","40686","55562","Communications Officer","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-08","G7-D","43129","55882","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-08","HEO-B","23570","32866","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-01","AO-B","16325","21869","Policy Adviser","2.69","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-01","EO-B","18763","27023","Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-01","G6-B","50043","67313","Economist","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-01","G6-B","50043","67313","Senior Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-01","G7-B","40686","55562","Economist","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-01","G7-B","40686","55562","Senior Policy Adviser","1","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-01","G7-B","40686","55562","Senior Policy Adviser","10","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-01","G7-B","40686","55562","Statistical Officer","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-01","G7-D","43129","55882","Senior Policy Adviser","1.89","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-01","HEO-B","23570","32866","Economist","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-01","HEO-B","23570","32866","Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-01","HEO-D","25152","33027","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","IE - Information Economy (BS)","SCS1-01-02-02","AO-B","16325","21869","Team Support","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","IE - Information Economy (BS)","SCS1-01-02-02","EO-B","18763","27023","Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","IE - Information Economy (BS)","SCS1-01-02-02","G6-B","50043","67313","Senior Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","IE - Information Economy (BS)","SCS1-01-02-02","G7-B","40686","55562","Senior Policy Adviser","5","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","IE - Information Economy (BS)","SCS1-01-02-02","HEO-B","23570","32866","Policy Adviser","1","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","IE - Information Economy (BS)","SCS1-01-02-02","HEO-B","23570","32866","Policy Adviser","6","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","IE - Information Economy (BS)","SCS1-01-02-02","HEO-B","23570","32866","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","IE - Information Economy (BS)","SCS1-01-02-02","SEO-B","28741","40701","Policy Adviser","1.5","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-03","AO-B","16325","21869","Team Support","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-03","EO-D","20133","27281","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-03","G6-B","50043","67313","Senior Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-03","G7-B","40686","55562","Senior Policy Adviser","3.44","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-03","G7-D","43129","55882","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-03","HEO-B","23570","32866","Policy Adviser","4","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-04","G6-B","50043","67313","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-04","G7-B","40686","55562","Senior Policy Adviser","4","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-04","HEO-B","23570","32866","Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-04","SEO-B","28741","40701","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-04","SEO-B","28741","40701","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-05","AO-B","16325","21869","Team Support","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-05","G7-B","40686","55562","Statistical Officer","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-05","HEO-B","23570","32866","Economist","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-06","AO-B","16325","21869","Team Support","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-06","G7-B","40686","55562","Senior Policy Adviser","1.81","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-06","HEO-B","23570","32866","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-07","EO-B","18763","27023","Team Support","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-07","G6-B","50043","67313","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-07","G6-B","50043","67313","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-07","G7-B","40686","55562","Senior Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-07","G7-B","40686","55562","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-07","HEO-B","23570","32866","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-07","HEO-B","23570","32866","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","EDD - Economic Development Directorate (BS)","SCS1-01-02-07","SEO-B","28741","40701","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-01","EO-B","18763","27023","Intern","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-01","EO-B","18763","27023","Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-01","G6-B","50043","67313","Senior Policy Adviser","6","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-01","G6-D","52215","67714","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-01","G7-B","40686","55562","Senior Policy Adviser","8","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-01","G7-D","43129","55882","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-01","HEO-B","23570","32866","Policy Adviser","3.58","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-01","IntMan","0","0","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-02","EO-B","18763","27023","Policy Adviser","2.16","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-02","G6-B","50043","67313","Senior Policy Adviser","4","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-02","G7-B","40686","55562","Economist","4.65","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-02","G7-B","40686","55562","Researcher","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-02","G7-B","40686","55562","Senior Policy Adviser","5.78","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-02","G7-B","40686","55562","Statistical Officer","2.53","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-02","G7-D","43129","55882","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-02","HEO-B","23570","32866","Economist","1","Economics"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-02","HEO-B","23570","32866","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-02","HEO-B","23570","32866","Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-02","HEO-B","23570","32866","Statistical Officer","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-02","HEO-D","25152","33027","Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-02","SEO-B","28741","40701","Policy Adviser","4.75","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-02","SEO-B","28741","40701","Researcher","0.66","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-03","EO-B","18763","27023","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-03","G6-B","50043","67313","Senior Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-03","G7-B","40686","55562","Senior Policy Adviser","3.61","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","ED - Enterprise Directorate (BS)","SCS1-01-03-03","HEO-B","23570","32866","Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-01","EA-D","16517","22126","Personal Assistant","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-01","EA-D","16517","22126","Team Support","1.92","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-01","EO-D","20133","27281","Policy Adviser","1.79","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-01","G6-D","52215","67714","Senior Policy Adviser","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-01","G7-D","43129","55882","Senior Policy Adviser","4.59","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-01","HEO-B","23570","32866","Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-01","HEO-D","25152","33027","Policy Adviser","5","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-01","SEO-D","30885","40917","Policy Adviser","4","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-02","AO-B","16325","21869","HR Support Officer","1","Human Resources"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-02","EA-D","16517","22126","Team Support","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-02","EO-B","18763","27023","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-02","EO-D","20133","27281","Operational Researcher","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-02","G6-B","50043","67313","Senior Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-02","G6-D","52215","67714","Senior Policy Adviser","2","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-02","G6-D","52215","67714","Specialist Accountant","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-02","G6-D","52215","67714","Statistical Officer","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-02","G7-B","40686","55562","Senior Policy Adviser","1.54","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-02","G7-D","43129","55882","Senior Policy Adviser","3.57","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-02","G7-D","43129","55882","Statistical Officer","3","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-02","HEO-B","23570","32866","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-02","HEO-B","23570","32866","Policy Adviser","1","Policy"
"Department for Business Innovation and Skills","Department for Business Innovation and Skills","FESI - Further Education and Skills Investment (BS)","SCS1-01-04-02","HEO-D","25152","33027","Policy Adviser","3.1","Policy"
