Transaction Date,Transaction Reference,Merchant,Total
04/07/2011,PCCL1414781,THE PAPER COMPANY        ,621.46
05/07/2011,PCCL1430241,INSIGHT INTERNET         ,822.96
05/07/2011,PCCL1426201,WWW.ONLINE-ERGONOMICS.   ,952.8
06/07/2011,PCCL1431511,ONHOTELS.COM             ,524.61
07/07/2011,PCCL1426211,PITNEYBOWESDIRECT.       ,966.79
11/07/2011,PCCL1429651,DOD`S PARLIAMENTARY CO   ,708
12/07/2011,PCCL1426271,WWW.ONLINE-ERGONOMICS.   ,982.8
12/07/2011,PCCL1426281,WWW.ONLINE-ERGONOMICS.   ,1011.6
14/07/2011,PCCL1426941,THE PAPER COMPANY        ,820.8
18/07/2011,PCCL1426321,CELEXON UK LIMITED       ,786.47
20/07/2011,PCCL1430281,INSIGHT                  ,692.71
20/07/2011,PCCL1430991,EDF ENERGY-IVR           ,3184.12
21/07/2011,PCCL1426331,WWW.SLINGSBY.COM         ,944.22
23/07/2011,PCCL1427121,LYRECO UK LTD            ,740.54
25/07/2011,PCCL1426351,WWW.ERONOMICS.CO.        ,686.6
28/07/2011,PCCL1426391,WWW.ERONOMICS.CO.        ,733.82
28/07/2011,PCCL1426401,WWW.ONLINE-ERGONOMICS.   ,982.8
29/07/2011,PCCL1430391,THE MATHWORKS LTD        ,522
29/07/2011,PCCL1429671,LAING & BUISSON          ,1000
29/07/2011,PCCL1429681,LAING & BUISSON          ,1000
03/08/2011,PCCL1430411,TRAVEL TRADE PRODUCTS LTD        ,1644
05/08/2011,PCCL1436061,CASH OFFICE - NORTHUMBRIA UNIVERSITY             ,704
09/08/2011,PCCL1438351,EDF ENERGY 1-MAJ'        ,2394.31
12/08/2011,PCCL1436131,CFA INSTITUTE            ,745.98
12/08/2011,PCCL1435731,WWW.ONLINE-ERGONOMICS.   ,982.8
16/08/2011,PCCL1435951,NAT SCHOOL OF GOVERNME   ,825
18/08/2011,PCCL1436451,PULLMAN TOUL AER         ,642.69
23/08/2011,PCCL1435761,WWW.ONLINE-ERGONOMICS.   ,660
23/08/2011,PCCL1435771,WWW.ONLINE-ERGONOMICS.   ,816
24/08/2011,PCCL1435791,M&S E COMMERCE           ,520.2
24/08/2011,PCCL1436711,LYRECO UK LTD            ,717.6
26/08/2011,PCCL1435821,WWW.ONLINE-ERGONOMICS.   ,660
02/09/2011,PCCL1437911,DRI AVAST SOFTW          ,1349.5
06/09/2011,PCCL1444121,LYRECO UK LTD            ,691.74
06/09/2011,PCCL1444131,PAYNE                    ,845.4
07/09/2011,PCCL1444441,OFFICE DEPOT             ,710.88
09/09/2011,PCCL1443531,WWW.ONLINE-ERGONOMICS.   ,1092
12/09/2011,PCCL1447641,INSIGHT                  ,765.51
12/09/2011,PCCL1447641,INSIGHT                  ,765.51
13/09/2011,PCCL1444151,EUROFFICE LIMITED        ,637.86
13/09/2011,PCCL1444161,EUROFFICE LIMITED        ,1035.12
14/09/2011,PCCL1444181,LYRECO UK LTD            ,790.42
19/09/2011,PCCL1443541,WWW.ONLINE-ERGONOMICS.   ,873.6
20/09/2011,PCCL1443451,COMPUTERCAB-AB           ,500
20/09/2011,PCCL1444201,LYRECO UK LTD            ,706.82
20/09/2011,PCCL1443551,PITNEYBOWESDIRECT.       ,527.9
21/09/2011,PCCL1449671,VIKING                   ,609.16
25/09/2011,PCCL1447471,MARCEL HOTEL             ,632.91
27/09/2011,PCCL1447741,INSIGHT                  ,849.16
05/07/2011,297565969,Carlson Wagonlit Travel UK Limited,2613.1
05/07/2011,297565970,Carlson Wagonlit Travel UK Limited,2613.1
13/07/2011,298923223,Carlson Wagonlit Travel UK Limited,5624.73
13/07/2011,298923135,Carlson Wagonlit Travel UK Limited,545.25
26/07/2011,301020826,Carlson Wagonlit Travel UK Limited,4409.23
03/08/2011,302318638,Carlson Wagonlit Travel UK Limited,846.53
03/08/2011,302316839,Carlson Wagonlit Travel UK Limited,1314.93
03/08/2011,302316840,Carlson Wagonlit Travel UK Limited,1314.93
04/08/2011,302558803,Carlson Wagonlit Travel UK Limited,1518.53
04/08/2011,302552634,Carlson Wagonlit Travel UK Limited,2610.72
05/08/2011,302815393,Carlson Wagonlit Travel UK Limited,1331.43
16/08/2011,304233348,Carlson Wagonlit Travel UK Limited,866.63
18/08/2011,304689437,Carlson Wagonlit Travel UK Limited,1890.63
18/08/2011,304689439,Carlson Wagonlit Travel UK Limited,2428.63
19/08/2011,304961614,Carlson Wagonlit Travel UK Limited,5943.13
25/08/2011,305777940,Carlson Wagonlit Travel UK Limited,672.33
01/09/2011,306869899,Carlson Wagonlit Travel UK Limited,1927.63
01/09/2011,306869900,Carlson Wagonlit Travel UK Limited,8382.13
06/09/2011,307548696,Carlson Wagonlit Travel UK Limited,595.2
07/09/2011,307782408,Carlson Wagonlit Travel UK Limited,511.3
08/09/2011,308110820,Carlson Wagonlit Travel UK Limited,521.69
08/09/2011,308105839,Carlson Wagonlit Travel UK Limited,4793.03
09/09/2011,308346321,Carlson Wagonlit Travel UK Limited,654.2
09/09/2011,308346322,Carlson Wagonlit Travel UK Limited,654.2
09/09/2011,308342575,Carlson Wagonlit Travel UK Limited,1063.43
