Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Defence ,Ministerial Department,Ministry of Defence,"13,720","13,119","7,511","7,335","12,539","12,333","2,124","2,099",228,225,"15,802","15,356","51,924","50,468","1,055","1,012",80,77,140,140,44,44,"1,319","1,273","53,243","51,741","£121,852,000",£0,£0,"£5,600,000","£16,418,000","£9,878,000","£153,748,000","£4,034,000","£4,617,000","£8,651,000","£162,399,000",.,
Defence Support Group,Executive Agency,Ministry of Defence,526,507,"1,621","1,607",255,250,60,60,5,5,59,59,"2,526","2,488",249,247,7,6,0,0,0,0,256,253,"2,782","2,741","£5,155,015","£418,432",£0,"£343,051","£957,004","£452,733","£7,326,235","£625,119","£41,422","£666,541","£7,992,776",.,
Defence Science & Technology Laboratory,Executive Agency,Ministry of Defence,210,206,283,271,"1,896","1,845","1,313","1,259",31,28,0,0,"3,733","3,610",2,2,0,0,183,170,2,1,187,173,"3,920","3,783","£10,488,047","£103,330",£0,"£463,223","£2,061,276","£977,639","£14,093,515","£1,273,260","£9,945","£1,283,205","£15,376,721",31/08/2012,FTE & HC SCS include Dstl Level 9
UK Hydrographic Office,Executive Agency,Ministry of Defence,164,154,404,372,416,393,72,70,2,2,6,6,"1,064",998,19,19,0,0,0,0,117,114,136,132,"1,200","1,130","£2,513,450","£72,198","£2,850","£44,510","£489,990","£204,128","£3,327,125","£794,261",£0,"£794,261","£4,121,386",.,
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,181,175,0,0,0,0,0,0,0,0,0,0,181,175,0,0,0,0,0,0,2,0,2,0,183,175,"£337,879","£7,032",£0,"£13,877","£16,233","£32,101","£407,122",£0,"£3,100","£3,100","£410,222",The RAF Museum is devolved and does not operate the MOD/civil service grading sructure.,
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,1,1,0,0,3,3,4,4,1,1,53,49,62,58,2,2,0,0,1,1,0,0,3,3,65,61,"£158,321","£12,637",£0,£881,"£20,881","£11,449","£204,170","£2,636",£600,"£3,236","£207,405",.,
National Museum of the Royal Navy,Other,Ministry of Defence,23,23,1,1,4,4,1,1,1,1,0,0,30,30,0,0,0,0,0,0,0,0,0,0,30,30,"£69,339","£1,113",£0,£687,"£7,875","£6,522","£85,537",£0,£0,£0,"£85,537",1 new employee wef 01/08/12,
