Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE
Ministry of Defence,Ministry of Defence,Air Command,1071292,OR4,,,,7
Ministry of Defence,Ministry of Defence,Air Command,1071292,OR1,,,,2
Ministry of Defence,Ministry of Defence,Air Command,1071292,C1,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1071292,C2,,,,2
Ministry of Defence,Ministry of Defence,Air Command,1071292,E1,,,,4
Ministry of Defence,Ministry of Defence,Air Command,1071292,RET,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1071252,OF3,,,,8
Ministry of Defence,Ministry of Defence,Air Command,1071252,OF2,,,,5
Ministry of Defence,Ministry of Defence,Air Command,1071252,OR7,,,,4
Ministry of Defence,Ministry of Defence,Air Command,1071252,OR6,,,,17
Ministry of Defence,Ministry of Defence,Air Command,1071252,OR4,,,,3
Ministry of Defence,Ministry of Defence,Air Command,1071252,OR2,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1071252,E1,,,,11
Ministry of Defence,Ministry of Defence,Air Command,1071252,E2,,,,3
Ministry of Defence,Ministry of Defence,Air Command,1071252,NHS,,,,16
Ministry of Defence,Ministry of Defence,Air Command,1071780,OF5,,,,3
Ministry of Defence,Ministry of Defence,Air Command,1071780,OF4,,,,6
Ministry of Defence,Ministry of Defence,Air Command,1071780,OF3,,,,11
Ministry of Defence,Ministry of Defence,Air Command,1071780,OF2,,,,12
Ministry of Defence,Ministry of Defence,Air Command,1071780,OR6,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1071780,C1,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1071780,D,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1071780,E1,,,,6
Ministry of Defence,Ministry of Defence,Air Command,1071780,E2,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1040434,OF5,,,,2
Ministry of Defence,Ministry of Defence,Air Command,1040434,OF4,,,,10
Ministry of Defence,Ministry of Defence,Air Command,1040434,OF3,,,,30
Ministry of Defence,Ministry of Defence,Air Command,1040434,OF2,,,,53
Ministry of Defence,Ministry of Defence,Air Command,1040434,OF1,,,,8
Ministry of Defence,Ministry of Defence,Air Command,1040434,OR9,,,,20
Ministry of Defence,Ministry of Defence,Air Command,1040434,OR8,,,,6
Ministry of Defence,Ministry of Defence,Air Command,1040434,OR7,,,,135
Ministry of Defence,Ministry of Defence,Air Command,1040434,OR6,,,,198
Ministry of Defence,Ministry of Defence,Air Command,1040434,OR4,,,,287
Ministry of Defence,Ministry of Defence,Air Command,1040434,OR2,,,,3
Ministry of Defence,Ministry of Defence,Air Command,1040434,OR1,,,,37
Ministry of Defence,Ministry of Defence,Air Command,1040434,C1,,,,8
Ministry of Defence,Ministry of Defence,Air Command,1040434,C2,,,,51
Ministry of Defence,Ministry of Defence,Air Command,1040434,D,,,,223
Ministry of Defence,Ministry of Defence,Air Command,1040434,E1,,,,63
Ministry of Defence,Ministry of Defence,Air Command,1040434,E2,,,,53
Ministry of Defence,Ministry of Defence,Air Command,1040434,SZ1,,,,17
Ministry of Defence,Ministry of Defence,Air Command,1040434,SZ2,,,,23
Ministry of Defence,Ministry of Defence,Air Command,1040434,SZ3,,,,41
Ministry of Defence,Ministry of Defence,Air Command,1040434,RET,,,,57
Ministry of Defence,Ministry of Defence,Air Command,1040434,NHS,,,,6
Ministry of Defence,Ministry of Defence,Air Command,1023653,OF5,,,,4
Ministry of Defence,Ministry of Defence,Air Command,1023653,OF4,,,,18
Ministry of Defence,Ministry of Defence,Air Command,1023653,OF3,,,,68
Ministry of Defence,Ministry of Defence,Air Command,1023653,OF2,,,,139
Ministry of Defence,Ministry of Defence,Air Command,1023653,OF1,,,,13
Ministry of Defence,Ministry of Defence,Air Command,1023653,OR9,,,,9
Ministry of Defence,Ministry of Defence,Air Command,1023653,OR7,,,,39
Ministry of Defence,Ministry of Defence,Air Command,1023653,OR6,,,,162
Ministry of Defence,Ministry of Defence,Air Command,1023653,OR4,,,,165
Ministry of Defence,Ministry of Defence,Air Command,1023653,OR2,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1023653,OR1,,,,41
Ministry of Defence,Ministry of Defence,Air Command,1023653,C1,,,,8
Ministry of Defence,Ministry of Defence,Air Command,1023653,C2,,,,34
Ministry of Defence,Ministry of Defence,Air Command,1023653,D,,,,21
Ministry of Defence,Ministry of Defence,Air Command,1023653,E1,,,,96
Ministry of Defence,Ministry of Defence,Air Command,1023653,E2,,,,58
Ministry of Defence,Ministry of Defence,Air Command,1023653,SZ1,,,,5
Ministry of Defence,Ministry of Defence,Air Command,1023653,RET,,,,7
Ministry of Defence,Ministry of Defence,Air Command,1023653,NHS,,,,3
Ministry of Defence,Ministry of Defence,Air Command,1032872,OF5,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1032872,OF4,,,,2
Ministry of Defence,Ministry of Defence,Air Command,1032872,OF3,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1032872,OF2,,,,3
Ministry of Defence,Ministry of Defence,Air Command,1032872,OF1,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1032872,OR9,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1032872,OR7,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1032872,OR6,,,,20
Ministry of Defence,Ministry of Defence,Air Command,1032872,OR1,,,,3
Ministry of Defence,Ministry of Defence,Air Command,1032872,B2,,,,5
Ministry of Defence,Ministry of Defence,Air Command,1032872,C1,,,,8
Ministry of Defence,Ministry of Defence,Air Command,1032872,C2,,,,52
Ministry of Defence,Ministry of Defence,Air Command,1032872,D,,,,30
Ministry of Defence,Ministry of Defence,Air Command,1032872,E1,,,,61
Ministry of Defence,Ministry of Defence,Air Command,1032872,E2,,,,42
Ministry of Defence,Ministry of Defence,Air Command,1032872,SZ1,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1032872,SZ3,,,,8
Ministry of Defence,Ministry of Defence,Air Command,1032872,RET,,,,18
Ministry of Defence,Ministry of Defence,Air Command,1071170,OF5,,,,8
Ministry of Defence,Ministry of Defence,Air Command,1071170,OF4,,,,30
Ministry of Defence,Ministry of Defence,Air Command,1071170,OF3,,,,112
Ministry of Defence,Ministry of Defence,Air Command,1071170,OF2,,,,313
Ministry of Defence,Ministry of Defence,Air Command,1071170,OF1,,,,146
Ministry of Defence,Ministry of Defence,Air Command,1071170,OR9,,,,45
Ministry of Defence,Ministry of Defence,Air Command,1071170,OR8,,,,3
Ministry of Defence,Ministry of Defence,Air Command,1071170,OR7,,,,80
Ministry of Defence,Ministry of Defence,Air Command,1071170,OR6,,,,146
Ministry of Defence,Ministry of Defence,Air Command,1071170,OR4,,,,161
Ministry of Defence,Ministry of Defence,Air Command,1071170,OR2,,,,21
Ministry of Defence,Ministry of Defence,Air Command,1071170,OR1,,,,211
Ministry of Defence,Ministry of Defence,Air Command,1071170,C1,,,,3
Ministry of Defence,Ministry of Defence,Air Command,1071170,C2,,,,46
Ministry of Defence,Ministry of Defence,Air Command,1071170,D,,,,45
Ministry of Defence,Ministry of Defence,Air Command,1071170,E1,,,,126
Ministry of Defence,Ministry of Defence,Air Command,1071170,E2,,,,62
Ministry of Defence,Ministry of Defence,Air Command,1071170,SZ1,,,,64
Ministry of Defence,Ministry of Defence,Air Command,1071170,SZ2,,,,8
Ministry of Defence,Ministry of Defence,Air Command,1071170,SZ3,,,,7
Ministry of Defence,Ministry of Defence,Air Command,1071170,OBS,,,,4
Ministry of Defence,Ministry of Defence,Air Command,1071170,RET,,,,35
Ministry of Defence,Ministry of Defence,Air Command,1071170,NHS,,,,13
Ministry of Defence,Ministry of Defence,Air Command,1110541,OF5,,,,5
Ministry of Defence,Ministry of Defence,Air Command,1110541,OF4,,,,19
Ministry of Defence,Ministry of Defence,Air Command,1110541,OF3,,,,56
Ministry of Defence,Ministry of Defence,Air Command,1110541,OF2,,,,60
Ministry of Defence,Ministry of Defence,Air Command,1110541,OF1,,,,11
Ministry of Defence,Ministry of Defence,Air Command,1110541,OR9,,,,30
Ministry of Defence,Ministry of Defence,Air Command,1110541,OR8,,,,54
Ministry of Defence,Ministry of Defence,Air Command,1110541,OR7,,,,131
Ministry of Defence,Ministry of Defence,Air Command,1110541,OR6,,,,146
Ministry of Defence,Ministry of Defence,Air Command,1110541,OR4,,,,166
Ministry of Defence,Ministry of Defence,Air Command,1110541,OR3,,,,14
Ministry of Defence,Ministry of Defence,Air Command,1110541,OR2,,,,21
Ministry of Defence,Ministry of Defence,Air Command,1110541,OR1,,,,44
Ministry of Defence,Ministry of Defence,Air Command,1110541,C1,,,,7
Ministry of Defence,Ministry of Defence,Air Command,1110541,C2,,,,46
Ministry of Defence,Ministry of Defence,Air Command,1110541,D,,,,161
Ministry of Defence,Ministry of Defence,Air Command,1110541,E1,,,,60
Ministry of Defence,Ministry of Defence,Air Command,1110541,E2,,,,26
Ministry of Defence,Ministry of Defence,Air Command,1110541,SZ1,,,,15
Ministry of Defence,Ministry of Defence,Air Command,1110541,SZ2,,,,14
Ministry of Defence,Ministry of Defence,Air Command,1110541,SZ3,,,,20
Ministry of Defence,Ministry of Defence,Air Command,1110541,SZ4,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1110541,OBS,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1110541,RET,,,,25
Ministry of Defence,Ministry of Defence,Air Command,1110541,NHS,,,,2
Ministry of Defence,Ministry of Defence,Air Command,1452577,OF5,,,,3
Ministry of Defence,Ministry of Defence,Air Command,1452577,OF4,,,,18
Ministry of Defence,Ministry of Defence,Air Command,1452577,OF3,,,,43
Ministry of Defence,Ministry of Defence,Air Command,1452577,OF2,,,,82
Ministry of Defence,Ministry of Defence,Air Command,1452577,OF1,,,,3
Ministry of Defence,Ministry of Defence,Air Command,1452577,OR9,,,,37
Ministry of Defence,Ministry of Defence,Air Command,1452577,OR8,,,,48
Ministry of Defence,Ministry of Defence,Air Command,1452577,OR7,,,,123
Ministry of Defence,Ministry of Defence,Air Command,1452577,OR6,,,,280
Ministry of Defence,Ministry of Defence,Air Command,1452577,OR4,,,,369
Ministry of Defence,Ministry of Defence,Air Command,1452577,OR3,,,,95
Ministry of Defence,Ministry of Defence,Air Command,1452577,OR2,,,,42
Ministry of Defence,Ministry of Defence,Air Command,1452577,OR1,,,,7
Ministry of Defence,Ministry of Defence,Air Command,1452577,C1,,,,8
Ministry of Defence,Ministry of Defence,Air Command,1452577,C2,,,,45
Ministry of Defence,Ministry of Defence,Air Command,1452577,D,,,,187
Ministry of Defence,Ministry of Defence,Air Command,1452577,E1,,,,68
Ministry of Defence,Ministry of Defence,Air Command,1452577,E2,,,,8
Ministry of Defence,Ministry of Defence,Air Command,1452577,SZ1,,,,8
Ministry of Defence,Ministry of Defence,Air Command,1452577,SZ2,,,,18
Ministry of Defence,Ministry of Defence,Air Command,1452577,SZ3,,,,25
Ministry of Defence,Ministry of Defence,Air Command,1452577,RET,,,,38
Ministry of Defence,Ministry of Defence,Air Command,1102710,OF5,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1102710,OF4,,,,3
Ministry of Defence,Ministry of Defence,Air Command,1102710,OF3,,,,10
Ministry of Defence,Ministry of Defence,Air Command,1102710,OF2,,,,2
Ministry of Defence,Ministry of Defence,Air Command,1102710,OR9,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1102710,OR1,,,,2
Ministry of Defence,Ministry of Defence,Air Command,1102710,B1,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1102710,B2,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1102710,C1,,,,3
Ministry of Defence,Ministry of Defence,Air Command,1102710,C2,,,,4
Ministry of Defence,Ministry of Defence,Air Command,1102710,D,,,,3
Ministry of Defence,Ministry of Defence,Air Command,1102710,E1,,,,3
Ministry of Defence,Ministry of Defence,Air Command,1479358,OF5,,,,5
Ministry of Defence,Ministry of Defence,Air Command,1479358,OF4,,,,44
Ministry of Defence,Ministry of Defence,Air Command,1479358,OF3,,,,158
Ministry of Defence,Ministry of Defence,Air Command,1479358,OF2,,,,209
Ministry of Defence,Ministry of Defence,Air Command,1479358,OF1,,,,68
Ministry of Defence,Ministry of Defence,Air Command,1479358,OR9,,,,31
Ministry of Defence,Ministry of Defence,Air Command,1479358,OR8,,,,4
Ministry of Defence,Ministry of Defence,Air Command,1479358,OR7,,,,118
Ministry of Defence,Ministry of Defence,Air Command,1479358,OR6,,,,246
Ministry of Defence,Ministry of Defence,Air Command,1479358,OR4,,,,274
Ministry of Defence,Ministry of Defence,Air Command,1479358,OR3,,,,10
Ministry of Defence,Ministry of Defence,Air Command,1479358,OR2,,,,47
Ministry of Defence,Ministry of Defence,Air Command,1479358,OR1,,,,162
Ministry of Defence,Ministry of Defence,Air Command,1479358,B1,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1479358,B2,,,,7
Ministry of Defence,Ministry of Defence,Air Command,1479358,C1,,,,19
Ministry of Defence,Ministry of Defence,Air Command,1479358,C2,,,,22
Ministry of Defence,Ministry of Defence,Air Command,1479358,D,,,,51
Ministry of Defence,Ministry of Defence,Air Command,1479358,E1,,,,30
Ministry of Defence,Ministry of Defence,Air Command,1479358,E2,,,,17
Ministry of Defence,Ministry of Defence,Air Command,1479358,SZ2,,,,5
Ministry of Defence,Ministry of Defence,Air Command,1479358,SZ3,,,,4
Ministry of Defence,Ministry of Defence,Air Command,1479358,SZ4,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1479358,RET,,,,4
Ministry of Defence,Ministry of Defence,Air Command,1027112,OF4,,,,6
Ministry of Defence,Ministry of Defence,Air Command,1027112,OF3,,,,23
Ministry of Defence,Ministry of Defence,Air Command,1027112,OF2,,,,51
Ministry of Defence,Ministry of Defence,Air Command,1027112,OF1,,,,47
Ministry of Defence,Ministry of Defence,Air Command,1027112,OR9,,,,16
Ministry of Defence,Ministry of Defence,Air Command,1027112,OR7,,,,82
Ministry of Defence,Ministry of Defence,Air Command,1027112,OR6,,,,193
Ministry of Defence,Ministry of Defence,Air Command,1027112,OR4,,,,352
Ministry of Defence,Ministry of Defence,Air Command,1027112,OR2,,,,49
Ministry of Defence,Ministry of Defence,Air Command,1027112,OR1,,,,470
Ministry of Defence,Ministry of Defence,Air Command,1027112,C2,,,,2
Ministry of Defence,Ministry of Defence,Air Command,1027112,D,,,,14
Ministry of Defence,Ministry of Defence,Air Command,1027112,E1,,,,34
Ministry of Defence,Ministry of Defence,Air Command,1027112,E2,,,,31
Ministry of Defence,Ministry of Defence,Air Command,1027112,SZ1,,,,12
Ministry of Defence,Ministry of Defence,Air Command,1027112,SZ2,,,,25
Ministry of Defence,Ministry of Defence,Air Command,1027112,SZ3,,,,41
Ministry of Defence,Ministry of Defence,Air Command,1027112,OBS,,,,1
Ministry of Defence,Ministry of Defence,Air Command,1027112,RET,,,,4
