Minister,Date,Name of organisation,"Type of Hospitality Received  (if accompanied by spouse, partner, or other family member or friend insert an asterisk *)"
Attorney General Dominic Grieve QC MP,May-11,"Tim Montgomerie.
Conservative Home
",Lunch
Attorney General Dominic Grieve QC MP,25-May-11,Sky News,Lunch
Attorney General Dominic Grieve QC MP,15-Jun-11,Law Society of Scotland,Lunch


Solicitor General Edward Garnier QC MP,27-Apr-11,Channel 4 News,Lunch


"Hospitality does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined. * indicates if accompanied by spouse/partner or other family member or friend.",,,
