Minister,Date received,From,Gift,Value (£), Outcome
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",22-Dec-10,Ambassador of the Kingdom of Saudi Arabia ,Bespoke hamper,Over limit,Given to charity
"Minister of State (Universities and Science), Rt Hon David Willetts MP",8-Nov-10,Inmarsat,Wallet & Notebook,Over limit,Held by the Department
"Minister of State (Universities and Science), Rt Hon David Willetts MP",28-Nov-10,Brunei Minister of Education,Limited edition Montegrappa Silver Pen box set,Over limit,Held by the Department
"Minister of State (Universities and Science), Rt Hon David Willetts MP",22-Dec-10,Ambassador of the Kingdom of Saudi Arabia ,Bespoke hamper,Over limit,Given to charity
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP",24-Nov-10,Azerbaijan Government,Carpet,Over limit,Held by the Department
