Minister,Date of hospitality,Name of organisation ,Type of hospitality received
"Secretary of State for Defence, Rt Hon Liam Fox MP",July,General Dynamics,Lunch
"Parliamentary Under-Secretary of State, Gerald Howarth MP",July,BAE Systems,Lunch
"Parliamentary Under-Secretary of State, Andrew Robathan MP",May,"Deputie Marie Dunkirk, France",Hotel Room paid for by the hosts
"Parliamentary Under-Secretary of State, Andrew Robathan MP",June,UK Defence Forum,Dinner
"Parliamentary Under-Secretary of State, Andrew Robathan MP",July,EADS,Lunch
"Parliamentary Under-Secretary of State, Peter Luff MP",July,"Aerospace, Defence & Security",Buffet Lunch
"Parliamentary Under-Secretary of State, Lord Astor of Hever DL",July,Rolls Royce,Lunch
