Name,Grade,Job title,FTE,Parent Department,Organisation,Unit,Actual pay floor,Actual pay ceiling,Notes,,,,
David Prout,Director General,"Director General, Communities",1.0,Communities and Local Government,Communities and Local Government,Communities,"130,000","134,999",,,,,
David Rossington,Director General,"Director General, Finance and Corporate Services",1.0,Communities and Local Government,Communities and Local Government,Corporate Delivery,"120,000","124,999",,,,,
Richard McCarthy,Director General,"Director General, Housing and Planning",1.0,Communities and Local Government,Communities and Local Government,Housing and Planning,"175,000","179,999",,,,,
Andrew Campbell,Director General,"Director General, Local Efficiency, Finance and Policy",1.0,Communities and Local Government,Communities and Local Government,Local Government and Regeneration,"100,000","104,999",,,,,
Shirley Pointer,Director General,"Director General, People Capability and Change",1.0,Communities and Local Government,Communities and Local Government,"People, Capability & Change","135,000","139,999",,,,,
Joseph Montgomery,Director General,"Director General, Regions and Communities",1.0,Communities and Local Government,Communities and Local Government,Regions and Communities,"150,000","154,999",,,,,
Grant Fitzner,Director,"Director, Analytical Services",1.0,Communities and Local Government,Communities and Local Government,Corporate Delivery,"90,000","94,999",,,,,
Keith Palmer,Director,"Director, Capability and Change",1.0,Communities and Local Government,Communities and Local Government,"People, Capability & Change","100,000","104,999",,,,,
Kenneth Knight,Director,"Director, Chief Fire and Rescue Adviser",1.0,Communities and Local Government,Communities and Local Government,Communities,"165,000","169,999",,,,,
Jeremy Watson,Director,"Director, Chief Scientific Adviser",0.5,Communities and Local Government,Communities and Local Government,Corporate Delivery,"60,000","64,999",Part Time worker,,,,
George Eykyn,Director,"Director, Communications",1.0,Communities and Local Government,Communities and Local Government,Communities,"105,000","109,999",,,,,
Name Witheld,Director,"Director, Communities",1.0,Communities and Local Government,Communities and Local Government,Communities,"100,000","104,999",,,,,
Name Witheld,Director,"Director, Communities",1.0,Communities and Local Government,Communities and Local Government,Communities,"85,000","89,999",,,,,
Neil O'Connor,Director,"Director, Communities and Neighbourhoods, Big Society",1.0,Communities and Local Government,Communities and Local Government,Communities,"80,000","84,999",,,,,
Shona Dunn,Director,"Director, Fire and Resilience",1.0,Communities and Local Government,Communities and Local Government,Communities,"80,000","84,999",,,,,
Terrie Alafat,Director,"Director, Housing Growth, Markets and Strategy",1.0,Communities and Local Government,Communities and Local Government,Housing and Planning,"105,000","109,999",,,,,
Ruth Stanier,Director,"Director, Housing Standards, Homelessness and Support",0.9,Communities and Local Government,Communities and Local Government,Housing and Planning,"75,000","79,999",,,,,
Susanna McGibbon,Director,"Director, Legal Services",1.0,Communities and Local Government,Communities and Local Government,Corporate Delivery,"95,000","99,999",,,,,
Jane Todorovic,Director,"Director, Local Government and Economic Growth",1.0,Communities and Local Government,Communities and Local Government,Local Government and Regeneration,"80,000","84,999",,,,,
Simon Ridley,Director,"Director, Local Government Finance",1.0,HM Treasury,Communities and Local Government,Local Government and Regeneration,"80,000","84,999",,,,,
Chris Hayes,Director,"Director, London Policy",1.0,Communities and Local Government,Communities and Local Government,Regions and Communities,"95,000","99,999",,,,,
Neil McDonald,Director,"Director, National Housing and Planning Advice Unit",1.0,Communities and Local Government,Communities and Local Government,"People, Capability & Change","100,000","104,999",,,,,
Philip Cox,Director,"Director, Olympics, Thames Gateway and Regeneration",1.0,Communities and Local Government,Communities and Local Government,Regions and Communities,"90,000","94,999",,,,,
Andrew Wells,Director,"Director, Planning",1.0,Communities and Local Government,Communities and Local Government,Housing and Planning,"115,000","119,999",,,,,
Mark Carroll,Director,"Director, Programme Team",1.0,Communities and Local Government,Communities and Local Government,Communities,"105,000","109,999",,,,,
John Fiennes,Director,"Director, Subtainable Buildings and Climate Change",1.0,Communities and Local Government,Communities and Local Government,Housing and Planning,"85,000","89,999",,,,,
Irene Lucas,Permanent Secretary,Permanent Secretary,1.0,Communities and Local Government,Communities and Local Government,Permanent Secretary,"160,000","164,999",,,,,
