Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,01/04/2011,Estate management,Central TLB,Unique Catering Services Ltd,Cash Office AP01 06,66223.33
Ministry of Defence,Ministry of Defence,01/04/2011,IT and communication services,Central TLB,Saudi Xerox Agencies Company,Cash Office AP01 05,25517.82
Ministry of Defence,Ministry of Defence,01/04/2011,Miscellaneous Administration Costs,Central TLB,BAE Systems Saudi Arabia  Ltd,Cash Office AP01 03,52695.6
Ministry of Defence,Ministry of Defence,01/04/2011,"Transporation of personnel, freight and travel expenses",Central TLB,Hafif Travel + Tourism Co Ltd,Cash Office AP01 04,252335.33
Ministry of Defence,Ministry of Defence,01/04/2011,Medical treatment & stores and welfare services,Central TLB,SAIS - British Section,Cash Office AP01 00,63632.5
Ministry of Defence,United Kingdom Hydrographic Office,01/04/2011,Rates,Facilities Management,Taunton Deane Borough Council,1500012130,25547
Ministry of Defence,Met Office,04/04/2011,Miscellaneous,Commercial Business,Willis Ltd,306141,25970
Ministry of Defence,Met Office,04/04/2011,Miscellaneous,Operations,Orchid Plastics Ltd,306165,780
Ministry of Defence,Met Office,04/04/2011,Plant And Equipment,Operations,Orchid Plastics Ltd,306165,33656
Ministry of Defence,United Kingdom Hydrographic Office,04/04/2011,Computer maintenance & hire,ICT Delivery Business Group,Maritime Information Systems AS,1500012137,72500
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Air Command,SERCO LIMITED,777656,58626.83
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Air Command,VT FLAGSHIP LTD,777685,384598.48
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Air Command,XMA LTD,777690,39.24
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,AMSAFE BRIDPORT LTD,777515,61559.1
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,BAE SYSTEMS INTEGRATED SYSTEM TECHNOLOGIES LIMITED,777532,55749.87
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,COMPUTER APPLICATION SERVICES LIMITED,777560,30144.56
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,DM SYSTEMS AND TEST LIMITED,777564,103968.29
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,HAWKER BEECHCRAFT LIMITED,777582,130254.04
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,IFS DEFENCE LTD,777593,103267.24
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,IMES LTD.,777594,80353.98
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,J C SYS LIMITED,777600,39130.67
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,M S INSTRUMENTS PUBLIC LIMITED  COMPANY,777613,30674.48
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,MARSHALL OF CAMBRIDGE AEROSPACE LIMITED,777617,1438903.34
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,MEGGITT (UK) LIMITED,777618,25633.14
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,MSI-DEFENCE SYSTEMS LTD,777621,124284.36
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,QINETIQ LIMITED,777638,303500
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,SALT SEPARATION SERVICES LIMITED,777650,68159
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,SERCO LIMITED,777656,8760.56
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,SEVERITY LIMITED,158738,7350
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,TERADYNE LIMITED,777669,48725.33
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,THALES MISSILE ELECTRONICS LTD,777672,54152.03
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,THALES UK LIMITED,777674,132565
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Defence Equipment & Support,TYNE SLIPWAY & ENGINEERING CO LIMITED,777680,69129.68
Ministry of Defence,Ministry of Defence,05/04/2011,Design services and minor equipment purchases,Navy Command,LYRECO UK LTD,777611,20.95
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Air Command,SERCO LIMITED,777656,23292.35
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Equipment & Support,FALCON SUPPORT SERVICES LIMITED,777575,86774.19
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,777589,16960.55
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Lower Saxony,CEMB000910,32583.62
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Lower Saxony,CETB000885,28157.89
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Lower Saxony,CETB000901,29284.21
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Lower Saxony,FBES000560,34164.91
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Lower Saxony,FBWX000558,33414.04
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Lower Saxony,HFHM000253,34071.05
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Lower Saxony,HFHM000268,30388.59
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Lower Saxony,HFHM000291,46784.25
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Lower Saxony,HFHM000314,25342.11
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Lower Saxony,HMGB000202,49745.61
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Lower Saxony,HMGB000242,38635.15
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Lower Saxony,HMGB000245,31423.58
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Lower Saxony,HMGB000246,108686.7
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Nordrhein-Westfalen,ELFQ000592,27191.14
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Nordrhein-Westfalen,ELJB000610,26445.82
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Nordrhein-Westfalen,GTFQ000604,48807.02
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Nordrhein-Westfalen,GTMA000675,100429.83
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Nordrhein-Westfalen,GTPR000652,109433.24
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Nordrhein-Westfalen,GTPR000660,87760.82
Ministry of Defence,Ministry of Defence,05/04/2011,Estate management,Defence Infrastructure Organisation ,Nordrhein-Westfalen,GUWS000633,39233.33
