Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount 
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",21/01/2011,Enforcement,Business & Skills Group - Advanced Manufacturing Industries,(SEPA) SCOTTISH ENVIRONMENT PROTECTION AGENCY,1016913,66000
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Communications & Marketing Training,"Legal, People & Communications Group - Communications Directorate",21ST CENTURY NEW MEDIA LTD,1017584,1615
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",18/01/2011,Legal Costs,Office of Manpower Economics - Office of Manpower Economics,23 ESSEX STREET,1016573,2867.5
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",12/01/2011,Independent Experts,Business & Skills Group - Advanced Manufacturing Industries,A C DICKER T/A GLEVERS,1016132,4166.66
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",28/01/2011,Independent Experts,Business & Skills Group - Advanced Manufacturing Industries,A C DICKER T/A GLEVERS,1017781,372.4
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",28/01/2011,Independent Experts,Business & Skills Group - Advanced Manufacturing Industries,A C DICKER T/A GLEVERS,1017788,4166.66
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Catering Services,Knowledge and Innovation Group - Higher Education Admin,ABBEY COMMUNITY ASSOCIATION LTD,1017272,1062.2
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Conference Facilities,Knowledge and Innovation Group - Higher Education Admin,ABBEY COMMUNITY ASSOCIATION LTD,1017272,2954
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Conference Facilities,Knowledge and Innovation Group - Higher Education Admin,ABBEY COMMUNITY ASSOCIATION LTD,1017272,303.74
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",07/01/2011,Other Staff Welfare Costs,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",ABILITYNET,1015683,3439.24
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",20/01/2011,Leadership & People Management Training,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",ACAS,1016767,160
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",04/01/2011,Non-Grant in Aid Funding of Bodies (Departmental and Non-Departmental),Market and Frameworks Group - Employment Relations,ACAS,1015139,4000000
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",06/01/2011,InfoSource Desktop Information and Research Services,Finance & Commercial Group - Information and Workplace Strategies,ACKNOWLEDGE LTD,1015526,900
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",06/01/2011,InfoSource Desktop Information and Research Services,Finance & Commercial Group - Information and Workplace Strategies,ACKNOWLEDGE LTD,1015528,900
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",26/01/2011,Business Continuity Planning Service,Finance & Commercial Group - Information and Workplace Strategies,ADAM PHONES LTD,1016974,208.8
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",24/01/2011,Media and Design Services,Knowledge and Innovation Group - Learners,ADDISON CORPORATE MARKETING LTD,1017043,17729.5
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",07/01/2011,Taxis,"Legal, People & Communications Group - Communications Directorate",ADDISON LEE plc,1015671,122.4
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",11/01/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1015918,15.75
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",11/01/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1015918,146.68
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",11/01/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1015918,23.7
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",11/01/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1015918,48.58
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",11/01/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1015918,35.55
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",11/01/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1015918,23.7
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",11/01/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1015918,84
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Industries,ADECCO UK LTD,1015108,680.1
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Industries,ADECCO UK LTD,1015109,559.42
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Industries,ADECCO UK LTD,1015425,423.16
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",13/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Industries,ADECCO UK LTD,1016227,224.67
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",13/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Industries,ADECCO UK LTD,1016228,609.25
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",13/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Industries,ADECCO UK LTD,1016229,559.42
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",13/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Industries,ADECCO UK LTD,1016231,580.19
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",13/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Industries,ADECCO UK LTD,1016237,418.89
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",13/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Industries,ADECCO UK LTD,1016238,544.14
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",13/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Industries,ADECCO UK LTD,1016240,680.1
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",13/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Industries,ADECCO UK LTD,1016242,270.32
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",13/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Industries,ADECCO UK LTD,1016243,540.48
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",13/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Industries,ADECCO UK LTD,1016247,133.52
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",18/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Industries,ADECCO UK LTD,1016602,453.12
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",19/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Industries,ADECCO UK LTD,1016605,551.98
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Industries,ADECCO UK LTD,1017556,694.57
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Advanced Manufacturing Industries,ADECCO UK LTD,1017558,574.8
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1015154,690.99
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",19/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1016610,697.31
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1017083,491.64
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1017084,361.45
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1017194,918.3
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",31/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1017196,550.44
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1017587,557.21
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1017588,932.12
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Chief Economic Advisor &BRE Group - Better Regulation Executive (BRE),ADECCO UK LTD,1013284,-166.73
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Chief Economic Advisor &BRE Group - Better Regulation Executive (BRE),ADECCO UK LTD,1017116,722.67
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",26/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Chief Economic Advisor &BRE Group - Better Regulation Executive (BRE),ADECCO UK LTD,1017500,795.55
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",26/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Chief Economic Advisor &BRE Group - Better Regulation Executive (BRE),ADECCO UK LTD,1017501,805.96
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1015420,201.22
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1015420,187.84
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1015420,148.79
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1015424,167.16
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1015424,136.84
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1015424,235.29
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",18/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1016604,552.95
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",18/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1016606,487.33
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",24/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1017060,596.52
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",24/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1017104,504.84
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1017109,406.41
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1017111,406.23
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",26/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1017551,691.01
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1017554,233.54
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",04/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Legal",ADECCO UK LTD,1015133,596.77
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Legal",ADECCO UK LTD,1015492,641
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",19/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Legal",ADECCO UK LTD,1016621,622.66
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Legal",ADECCO UK LTD,1017074,290.85
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Legal",ADECCO UK LTD,1017106,458.34
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Legal",ADECCO UK LTD,1017594,662.56
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Priority Projects Drectorate",ADECCO UK LTD,1015110,608.04
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Priority Projects Drectorate",ADECCO UK LTD,1015111,480.48
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Priority Projects Drectorate",ADECCO UK LTD,1015429,217.63
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",19/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Priority Projects Drectorate",ADECCO UK LTD,1016601,490.7
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Priority Projects Drectorate",ADECCO UK LTD,1017057,460.08
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Priority Projects Drectorate",ADECCO UK LTD,1017503,463.83
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Priority Projects Drectorate",ADECCO UK LTD,1017504,653.14
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Priority Projects Drectorate",ADECCO UK LTD,1017583,629.09
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1015128,608.77
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1015434,628.91
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",06/01/2011,Recruitment Consultancy Costs,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1015466,600.25
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1015489,351.3
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",06/01/2011,Recruitment Consultancy Costs,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1015493,477.63
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",18/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1016599,250.24
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",18/01/2011,Recruitment Consultancy Costs,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1016607,491.93
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",18/01/2011,Recruitment Consultancy Costs,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1016608,244.45
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",18/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1016612,520.44
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",18/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1016615,487.09
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",18/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1016617,481.2
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",19/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1016619,390.85
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",24/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017073,63.2
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",24/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017082,359.37
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017105,456.71
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017112,444.08
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",28/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017114,860.92
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017115,850.47
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017117,593.12
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017147,438.05
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017147,155.73
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017197,26.63
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017197,618.94
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",26/01/2011,Recruitment Consultancy Costs,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017397,604.33
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",26/01/2011,Recruitment Consultancy Costs,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017400,592.06
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",26/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017472,657.81
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",26/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017473,625.12
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",26/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017474,133.67
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",26/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017475,643.07
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",28/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017550,870.07
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",28/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017560,439.19
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",28/01/2011,Recruitment Consultancy Costs,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017571,47.02
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",28/01/2011,Recruitment Consultancy Costs,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017571,449.14
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017574,625.91
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017575,625.91
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1017591,577.04
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",06/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Shareholder Executive - Shareholder Executive,ADECCO UK LTD,1015491,743.49
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",12/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Shareholder Executive - Shareholder Executive,ADECCO UK LTD,1016104,790.34
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",12/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Shareholder Executive - Shareholder Executive,ADECCO UK LTD,1016105,283.67
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",12/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Shareholder Executive - Shareholder Executive,ADECCO UK LTD,1016106,634.17
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",12/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Shareholder Executive - Shareholder Executive,ADECCO UK LTD,1016107,676.95
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",27/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Shareholder Executive - Shareholder Executive,ADECCO UK LTD,1017573,870.95
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",17/01/2011,Grant in Aid - Current -Other,Business & Skills Group - Economic Development Directorate,ADVANTAGE WEST MIDLANDS,1015994,30000000
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",31/01/2011,Purchase of Completed Research,Business & Skills Group - Information Economy,AEA TECHNOLOGY ENVIRONMENT,1017604,12750
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Purchase of Completed Research,Business & Skills Group - Information Economy,ALAN FELLOWS ASSOCIATES LTD,1017156,267
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Purchase of Completed Research,Business & Skills Group - Information Economy,ALAN FELLOWS ASSOCIATES LTD,1017156,799.4
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",11/01/2011,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",ALEXANDER ROOKE,1015770,511.9
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",18/01/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - GOVERNMENT OFFICE FOR SCIENCE,ALISON G POWER,1016250,5000
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",25/01/2011,Recoveries Account,Corporate Payments - ,AMEC NUCLEAR UK LTD,1017367,153.68
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",20/01/2011,IT Services (Programme),Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1016795,26827
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",17/01/2011,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1016380,256629.77
"Department of Business, Innovation and Skills","Department of Business, Innovation and Skills",17/01/2011,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1016380,96229
