Rail passenger miles (billions) by quarter and rail sector: franchised train operators,,,,,

,Long distance operators,London and South East operators,Regional operators,Total franchised passenger miles,Quarterly moving annual average
2002-03 Q1,2.04,3.02,1.07,6.13,
2002-03 Q2,2.07,3.07,1.15,6.29,
2002-03 Q3,2.00,3.14,1.08,6.21,
2002-03 Q4,1.93,3.07,1.02,6.03,6.16
2003-04 Q1,2.08,3.04,1.11,6.24,6.19
2003-04 Q2,2.12,3.13,1.22,6.47,6.24
2003-04 Q3,1.99,3.17,1.20,6.35,6.27
2003-04 Q4,2.07,3.16,1.13,6.36,6.35
2004-05 Q1,2.03,3.08,1.21,6.32,6.37
2004-05 Q2,2.13,3.17,1.25,6.55,6.39
2004-05 Q3,2.11,3.31,1.26,6.68,6.48
2004-05 Q4,2.04,3.18,1.15,6.37,6.48
2005-06 Q1,2.19,3.28,1.25,6.72,6.58
2005-06 Q2,2.15,3.09,1.32,6.56,6.58
2005-06 Q3,2.24,3.32,1.31,6.87,6.63
2005-06 Q4,2.25,3.18,1.22,6.66,6.70
2006-07 Q1,2.33,3.36,1.24,6.94,6.76
2006-07 Q2,2.45,3.36,1.35,7.16,6.91
2006-07 Q3,2.42,3.57,1.36,7.34,7.02
2006-07 Q4,2.48,3.50,1.27,7.24,7.17
2007-08 Q1,2.55,3.51,1.33,7.39,7.28
2007-08 Q2,2.62,3.65,1.40,7.67,7.41
2007-08 Q3,2.49,3.79,1.43,7.71,7.50
2007-08 Q4,2.62,3.68,1.35,7.64,7.60
2008-09 Q1,2.73,3.77,1.48,7.98,7.75
2008-09 Q2,2.69,3.81,1.50,7.99,7.83
2008-09 Q3,2.56,3.81,1.47,7.84,7.86
2008-09 Q4,2.58,3.66,1.40,7.64,7.86
2009-10 Q1,2.65,3.63,1.47,7.75,7.80
2009-10 Q2,2.76,3.65,1.50,7.92,7.78
2009-10 Q3,2.76,3.72,1.55,8.04,7.84
2009-10 Q4,2.77,3.77,1.50,8.05,7.94
2010-11 Q1,2.90,3.73,1.60,8.23,8.06
2010-11 Q2,2.92,3.90,1.64,8.46,8.20
2010-11 Q3,2.84,3.91,1.64,8.39,8.28
2010-11 Q4,2.90,4.01,1.61,8.52,8.40
2011-12 Q1,2.98,3.96,1.67,8.61,8.50
2011-12 Q2,3.03,4.08,1.73,8.85,8.59
2011-12 Q3,2.96,4.10,1.79,8.86,8.71
2011-12 Q4,3.02,4.30,1.74,9.06,8.84
2012-13 Q1 (P),3.07,4.14,1.67,8.87,8.91

P figures are provisional,,,,,
