Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",16-Nov-11,BBC,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",10-Oct-11,The Economist,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",11-Oct-11,The D Group,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",12-Oct-11,Institute of Economic Affairs,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",13-Oct-11,Academy of Medical Sciences Council,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",19-Oct-11,UK-US Forum,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",24-Oct-11,Willis Commercial,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",26-Oct-11,PricewaterhouseCoopers,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",2-Nov-11,The Guardian News and Media,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",2-Nov-11,Society Pension Consultants,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",7-Nov-11,Guild Higher Education,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",21-Nov-11,"Tony Gallagher, The Telegraph",Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",23-Nov-11,Foundation for Science and Technology,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",24-Nov-11,Times Higher Education ,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",28-Nov-11,The Institute for Fiscal Studies,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",1-Dec-11,Million +,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",8-Dec-11,Cambridge University,Dinner
"Minister of State (Business and Enterprise), Mark Prisk MP",26-Oct-11,The Institute of Economic Affairs,Lunch
"Minister of State (Business and Enterprise), Mark Prisk MP",8-Nov-11,EngineeringUK,Breakfast
"Minister of State (Business and Enterprise), Mark Prisk MP",10-Nov-11,Construction News,Breakfast
"Minister of State (Business and Enterprise), Mark Prisk MP",14-Nov-11,Confederation of British Industry,Dinner
"Minister of State (Business and Enterprise), Mark Prisk MP",15-Nov-11,The Institute of Chartered Accountants In England & Wales,Breakfast
"Minister of State (Business and Enterprise), Mark Prisk MP",23-Nov-11,Institution of Mechanical Engineers,Dinner
"Minister of State (Business and Enterprise), Mark Prisk MP",28-Nov-11,Food and Drink Federation,Dinner
"Minister of State (Business and Enterprise), Mark Prisk MP",8-Dec-11,Engineering UK,Breakfast
"Minister of State (Business and Enterprise), Mark Prisk MP",12-Dec-11,Policy connect,Dinner
"Minister of State (Business and Enterprise), Mark Prisk MP",15-Dec-11,Construction Products Association,Lunch
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",10-Oct-11,B&Q,Dinner
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",19-Oct-11,Jaguar Land Rover,Lunch
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",7-Nov-11,Rolls-Royce,Dinner
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",8-Nov-11,Jeff Banks,Dinner
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",9-Nov-11,National Institute of Adult Continuing Education,Dinner
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",15-Nov-11,ARK Schools,Lunch
"Minister of State (Trade and Investment), Lord Green",4-Oct-11,Capital Group,Dinner
"Minister of State (Trade and Investment), Lord Green",5-Oct-11,Pi Capital,Lunch
"Minister of State (Trade and Investment), Lord Green",17-Oct-11,Japan Society,Lunch
"Minister of State (Trade and Investment), Lord Green",20-Oct-11,Arab Banks Association,Dinner
"Minister of State (Trade and Investment), Lord Green",9-Nov-11,International Chamber of Commerce,Lunch
"Minister of State (Trade and Investment), Lord Green",9-Nov-11,Confederation of British Industry ,Dinner
"Minister of State (Trade and Investment), Lord Green",10-Nov-11,British Gas ,Dinner
"Minister of State (Trade and Investment), Lord Green",11-Nov-11,London Stock Exchange,Lunch 
"Minister of State (Trade and Investment), Lord Green",22-Nov-11,KPMG,Breakfast
"Minister of State (Trade and Investment), Lord Green",22-Nov-11,Diageo,Lunch
"Minister of State (Trade and Investment), Lord Green",22-Nov-11,Kreab & Gavin Anderson,Dinner 
"Minister of State (Trade and Investment), Lord Green",24-Nov-11,Barclays Bank Plc,Breakfast
"Minister of State (Trade and Investment), Lord Green",5-Dec-11,EADS UK Limited,Dinner
"Minister of State (Trade and Investment), Lord Green",7-Dec-11,BAE systems,Lunch
"Minister of State (Trade and Investment), Lord Green",8-Dec-11,J C Bamford Excavators Ltd,Lunch
"Minister of State (Trade and Investment), Lord Green",9-Dec-11,Bank of England,Breakfast
"Minister of State (Trade and Investment), Lord Green",9-Dec-11,The Blackstone Group,Lunch
"Minister of State (Trade and Investment), Lord Green",12-Dec-11,Bloomberg,Breakfast
"Minister of State (Trade and Investment), Lord Green",13-Dec-11,General Electric Dinner,Dinner
"Minister of State (Trade and Investment), Lord Green",13-Dec-11,Mercedes-Benz UK Limited,Lunch
"Minister of State (Trade and Investment), Lord Green",14-Dec-11,Royal Africa Society,Breakfast
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",13-Oct-11,The Observer,Lunch
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",24-Nov-11,The Evening Standard,Lunch
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",19-Dec-11,Alliance Against IP Theft,Dinner
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",20-Dec-11,Royal Mail,Breakfast
