Post Date,Publishable Label,Transaction Amount,"Publishable label is provided by Bank and is industry standard.  May not, however, give true indication of purchase - additional comment as necessary."
12/05/2010,Airlines,-1022,
12/05/2010,Airlines,590.92,
12/05/2010,Airlines,1827.12,
12/05/2010,Airlines,-2859.8,
12/05/2010,Airlines,-2859.8,
12/05/2010,Airlines,-2859.8,
12/05/2010,Airlines,-3288.7,
12/05/2010,Airlines,-3288.7,
12/05/2010,Airlines,1142.97,
12/05/2010,Airlines,832.4,
12/05/2010,Airlines,832.4,
12/05/2010,Airlines,832.4,
12/05/2010,Airlines,-1421.4,
12/05/2010,Airlines,-1421.3,
12/05/2010,Airlines,-1421.3,
12/05/2010,Airlines,1877.5,
12/05/2010,Airlines,2268.57,
12/05/2010,Airlines,2646.97,
12/05/2010,Airlines,611.97,
12/05/2010,Airlines,2586.7,
12/05/2010,Airlines,2586.7,
12/05/2010,Airlines,-1990.67,
12/05/2010,Airlines,-1349.5,
12/05/2010,Airlines,-1349.5,
13/05/2010,Airlines,739.47,
13/05/2010,Airlines,1045.47,
13/05/2010,Airlines,1410.97,
13/05/2010,Airlines,2392.87,
13/05/2010,Airlines,2392.87,
13/05/2010,Airlines,1304.97,
13/05/2010,Airlines,1781.97,
13/05/2010,Airlines,739.09,
13/05/2010,Airlines,2407.47,
13/05/2010,Airlines,739.09,
13/05/2010,Airlines,553.97,
13/05/2010,Airlines,750.07,
13/05/2010,Airlines,-589.37,
13/05/2010,Airlines,-1066.37,
13/05/2010,Airlines,592.64,
13/05/2010,Airlines,501.17,
14/05/2010,Airlines,1106.8,
14/05/2010,Airlines,616.87,
14/05/2010,Airlines,653.17,
14/05/2010,Airlines,520.76,
14/05/2010,Airlines,2087.67,
14/05/2010,Airlines,3950.67,
14/05/2010,Airlines,3950.67,
14/05/2010,Airlines,3950.67,
14/05/2010,Airlines,3950.67,
14/05/2010,Airlines,3950.67,
14/05/2010,Airlines,7264.4,
14/05/2010,Airlines,-1157.3,
14/05/2010,Airlines,1635.67,
14/05/2010,Airlines,3108.67,
14/05/2010,Airlines,1462,
14/05/2010,Airlines,7264.4,
14/05/2010,Airlines,1093.67,
14/05/2010,Airlines,1301.67,
14/05/2010,Airlines,2238.97,
14/05/2010,Airlines,1352.47,
14/05/2010,Airlines,2409.57,
14/05/2010,Airlines,2409.07,
17/05/2010,Airlines,7194.67,
17/05/2010,Airlines,-7264.4,
17/05/2010,Airlines,2902.67,
17/05/2010,Airlines,2664.67,
17/05/2010,Airlines,3105.37,
17/05/2010,Airlines,542.17,
17/05/2010,Airlines,920.1,
17/05/2010,Airlines,1093.8,
17/05/2010,Airlines,667.17,
17/05/2010,Airlines,2544.57,
17/05/2010,Airlines,2258.37,
17/05/2010,Airlines,2240.67,
17/05/2010,Airlines,1568.6,
17/05/2010,Airlines,2648.67,
17/05/2010,Airlines,-1093.67,
17/05/2010,Airlines,-1556.7,
17/05/2010,Airlines,-2442.67,
18/05/2010,Airlines,2210.86,
18/05/2010,Airlines,951.17,
18/05/2010,Airlines,917.07,
18/05/2010,Airlines,803.17,
18/05/2010,Airlines,1837.6,
18/05/2010,Airlines,1806.6,
18/05/2010,Airlines,885.1,
18/05/2010,Airlines,718.47,
18/05/2010,Airlines,718.47,
18/05/2010,Airlines,718.47,
18/05/2010,Airlines,631.47,
18/05/2010,Airlines,631.47,
18/05/2010,Airlines,631.47,
18/05/2010,Airlines,737.57,
18/05/2010,Airlines,713.07,
18/05/2010,Airlines,868.07,
18/05/2010,Airlines,793.07,
