Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",7-9 December,"Krakow, Poland",Visit to review departmental-supported renovation work undertaken by Auschwitz-Birkenau Foundation,,,£413
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
"Bob Neill MP, Parliamentary Under-Secretary of State",Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",02 November 2011 – 03 November 11,Kyiv,Attending Council of Europe meeting,Scheduled Flight,N/A,"£1,756"
