Permanent Secretary,Date,Name of Organisation,Purpose of meeting
Martin Donnelly,"April, 2012",Hutchison Whampoa,General catch up
Martin Donnelly,"April, 2012",Tesco,General catch up
Martin Donnelly,"April, 2012",PricewaterhouseCoopers,General catch up
Martin Donnelly,"May, 2012",Post Office,General catch up
Martin Donnelly,"May, 2012",United Corporation Ltd,General catch up
Martin Donnelly,"May, 2012",Royal Bank of Scotland,General catch up
Martin Donnelly,"May, 2012",AOL,Introductory meeting
Martin Donnelly,"June, 2012",Centre for European Reform,General catch up
Martin Donnelly,"June, 2012",Nomura,General catch up
Martin Donnelly,"June, 2012",Gordon Murray Design,Introductory meeting
Martin Donnelly,"June, 2012",Yorkshire Forward,General catch up
Martin Donnelly,"June, 2012",Standard & Poors,Introductory meeting
Sir John Beddington,"April, 2012",University of Oxford,To discuss science
Sir John Beddington,"April, 2012",John Innes Centre,To discuss science
Sir John Beddington,"April, 2012",Oxford Martin School,To discuss science
Sir John Beddington,"April, 2012",Royal Academy of Engineering & Royal Society,To discuss science
Sir John Beddington,"April, 2012",Academy of Medical Sciences,To discuss science
Sir John Beddington,"April, 2012",Unilever,To discuss science
Sir John Beddington,"April, 2012",Nature,To discuss science
Sir John Beddington,"April, 2012",Save the Children,To discuss science
Sir John Beddington,"May, 2012",University of Bristol,To discuss science
Sir John Beddington,"May, 2012",Society of Chemical Industry,To discuss science
Sir John Beddington,"May, 2012",British Geological Society,To discuss science
Sir John Beddington,"May, 2012",Foundation for Science & Technology,To discuss science
Sir John Beddington,"May, 2012",BBC,To discuss science
Sir John Beddington,"May, 2012",Rolls Royce,To discuss science
Sir John Beddington,"June, 2012",Harper Adams University,To discuss science
Sir John Beddington,"June, 2012",Royal Academy of Engineering,To discuss science
