Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary (£),Allowances (£),Non-consolidated performance payments (£),Overtime (£),Employer pension contributions (£),Employer national insurance contributions (£),Total paybill for payroll staff (£),"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors (£)","Total cost of consultants/
consultancy (£)",Total non-payroll (CCL) staff costs (£),,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Engineering & Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",40,38.1,35,32.5,123,117.24,35,32.49,4,4,0,0,237,224,0,0,0,0,8,8,0,0,8,8,245,232,"614,842.18","4,900.17","1,997.00","1,099.81","158,674.26","49,418.85","830,932.27",,"51,328.13","51,328.13","882,260.40",
Engineering Construction Industry Training  Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",33,30,28,27,18,18,0,0,0,0,9,4,88,79,1,1,0,0,0,0,0,0,1,1,89,80,"219,966.00","7,808.00",,"1,093.00","44,790.00","19,426.00","293,083.00",,,0,"293,083.00",
Film Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,.,,,.,.,.
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",7,4.83,36,30.21,179,162.91,43,42.31,5,4.4,0,0,270,245,6,4.8,0,0,0,0,0,0,6,4.8,276,249,"731,755.79","3,418.69",,469.94,"143,940.94","63,837.79","943,423.15","7,643.94",,"7,643.94","951,067.09",
Insolvency Service,Executive Agency,"Department for Business, Innovation & Skills",784,729.83,415,393.59,815,788.65,96,94.65,5,4.8,0,0,"2,115","2,012",100,100,0,0,33,33,0,0,133,133,"2,248","2,145","4,670,055.00","40,645.88",0,"21,382.02","879,825.80","354,085.62","5,965,994.32","389,362.65",,"389,362.65","6,355,356.97",
Local Better Regulation Office,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1,1,3,3,9,8.4,9,8.1,5,5,0,0,27,26,0,0,0,0,7,1.2,0,0,7,1.2,34,27,"89,438.62",,,,"17,903.84","7,818.43","115,160.89","9,793.02",,"9,793.02","124,953.91",
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",361,329.5,634,599.6,1640,1594.5,252,245,53,50.6,79,59.4,"3,019","2,879",28,28,31,31,13,13,3,3,75,75,"3,094","2,954","7,883,752.74","476,058.43",,"32,194.75","802,972.04","703,036.30","9,898,014.26","614,713.20","605,055.06","1,219,768.26","11,117,782.52",
"National Endowment for Science, Technology and the Arts",Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
National Measurement Office,Executive Agency,"Department for Business, Innovation & Skills",7,6,10,9.53,34,33.61,17,16.1,1,1,0,0,69,66,1,1,0,0,0,0,0,0,1,1,70,67,"213,202.29",105.54,,399.53,"41,335.94","18,131.20","273,174.50","2,325.79","1,378.00","3,703.79","276,878.29",
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",257,231,409,391,1030,989,419,409,60,60,264,264,"2,439","2,344",13,13,0,0,5,5,2,2,20,20,"2,459","2,364","6,670,183.92","141,499.15","113,679.27","39,037.98","1,788,378.56","586,518.67","9,339,297.55","1,255,073.62","155,305.41","1,410,379.03","10,749,676.58",
North West Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,0,0,4,3.5,1,1,0,0,0,0,5,5,0,0,,0,0,0,0,0,0,0,5,5,"14,673.86",,,"1,147.02","2,856.31","1,303.88","19,981.07",,,0,"19,981.07",
One North East,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Postal Services Commission,Non-Ministerial Department,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,.,,,.,.,Ceased 1/10/11
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",131,124,250,240.9,923,905.1,327,311.4,34,32,31,31,"1,696","1,644",3,3,1,1,2,2,0,0,6,6,"1,702","1,650","4,810,610.00","171,792.00","89,800.00","148,660.00","1,250,360.00","434,501.00","6,905,723.00","15,833.00",,"15,833.00","6,921,556.00",non-payroll cost is sum total of invoices
Skills Funding Agency,Executive Agency,"Department for Business, Innovation & Skills",149,143.1486486,517,499.0797297,614,597.8472973,174,173.1648649,49,48.17837838,24,22.13513514,"1,527","1,484",15,15,0,0,114,114,0,0,129,129,"1,656","1,613","5,007,153.05","133,181.50","1,634.00",665.86,"1,012,646.37","472,554.99","6,627,835.77","1,126,479.55",,"1,126,479.55","7,754,315.32",
South East England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,..,,,,,,,..,,,..,..,..
South West of England Regional Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,..,,,,,,,..,,,..,..,..
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1351,1257.67,555,527.19,87,84.5333,9,9,8,8,8,1.06,"2,018","1,887",101,101,0,0,45,45,0,0,146,146,"2,164","2,033","3,512,432.98","76,857.61","8,550.75","281,974.18","279,311.04","301,391.18","4,460,517.74","398,824.00","150,864.00","549,688.00","5,010,205.74",
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,29,29,15,15,65,65,5,5,0,0,114,114,24,24,64,64,0,0,0,0,88,88,202,202,"428,324.52","69,928.17",,,"103,632.49","50,378.40","652,263.58","558,032.65",,"558,032.65","1,210,296.23",
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",19,18,13,13,49,48,15,15,6,6,0,0,102,100,0,0,0,0,0,0,0,0,0,0,102,100,"315,152.91",,,,"62,097.53","27,290.35","404,540.79",,,0,"404,540.79",
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",245,215.2,200,191.17,216,209.95,215,202.49,27,27,0,0,903,846,10,10,0,0,21,21,0,0,31,31,934,877,"2,092,781.00","76,383.00","7,164.00","103,883.00","441,011.00","181,565.00","2,902,787.00","206,198.00",,"206,198.00","3,108,985.00",
UK Space Agency,Executive Agency,"Department for Business, Innovation & Skills",1,1,5,5,11,10.6,15,14.4,4,4,1,1,37,36,0,0,0,0,1,1,0,0,1,1,38,37,"105,535.75",16.59,,,"20,838.40","9,756.06","136,146.80","7,200.00",,"7,200.00","143,346.80",
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",68,63.26,70,66.15,289,285.16,104,102.79,10,9.6,14,14,555,541,4,4,0,0,339,339,0,0,343,343,898,884,"1,766,005.00",0,"33,166.00","38,726.00","269,990.00","161,197.00","2,269,084.00","1,436,597.00",0,"1,436,597.00","3,705,681.00",
Yorkshire Forward,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Ordance Survey,Non-Ministerial Department,"Department for Business, Innovation & Skills",39,33,529,515,405,395,111,109,6,6,3,1,"1,093","1,059",47,47,2,2,74,74,1,0.64,124,123.64,"1,217","1,183","2,827,026.91","65,973.24","120,476.53","11,053.66","552,376.58","245,092.54","3,821,999.46","753,243.00","9,100.00","762,343.00","4,584,342.46",
Met Office,Non-Ministerial Department,"Department for Business, Innovation & Skills",,,,,,,,,4,3.1,1893,1822.9,"1,897","1,826",7,7,15,15,34,34,0,0,56,56,"1,953","1,882","4,792,393.00","376,831.00","73,894.00","173,192.00","1,007,133.00","432,221.00","6,855,664.00","515,654.00","17,036.00","532,690.00","7,388,354.00",
