SPECIAL ADVISERS INFORMATION 1 APRIL – 30 JUNE 2012,,,
HOSPITALITY ,,,

Special Advisers,Date of hospitality,Name of organisation ,Type of hospitality received
Hayden Allan,28-May,Associated Newspapers & Independent ,Lunch
Hayden Allan,11-Jun,EDP,Lunch
Hayden Allan,14-Jun,SKY,Lunch
Hayden Allan,20-Jun,Atlantic Partnership,Breakfast
Hayden Allan,21-Jun,Woodroffes,Lunch
Hayden Allan,27-Jun,Policy Exchange,Breakfast
Sian Jones ,04-Apr,Deloitte,Dinner

"  ‘Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars;  and offers of hospitality which were declined’",,,

GIFTS RECEIVED ,,,

Special Advisers,Date Gift Received ,From ,Description of Gift ,Outcome 
Hayden Allan,Nil Return ,,,
Sian Jones ,Nil Return ,,,

Note:  Department should set out the departmental policy on accepting gifts and recording gifts including details of the de minimis levels.,,,,
