Name of Special Adviser,Date of Hospitality,Name of Organisation,Type of hospitality received
Nick Hillman,28-Jan-11,Bell Pottinger,Lunch
Nick Hillman,18-Feb-11,University of Hertfordshire,Lunch
Nick Hillman,28-Feb-11,Edge Foundation,Lunch
Nick Hillman,25-Mar-11,Fidelity International,Lunch
Nick Hillman,30-Mar-11,RBS communications,Lunch
Nick Hillman,31-Mar-11,Phonographic Performance Ltd,Lunch
Katie Waring,27-Jan-11,Diageo,Dinner
Giles Wilkes,27-Jan-11,Diageo,Dinner
