Name of Special Adviser,Date of Hospitality,Name of Organisation,Type of hospitality received
Arminka Helic,04/10/2010,News International,Lunch
Arminka Helic,05/10/2010,Sunday Telegraph,Dinner
Arminka Helic,07/10/2010,The Times,Lunch
Arminka Helic,30/11/2010,Conservative Middle East Council,Lunch
Denzil Davidson,04/10/2010,News International,Lunch
