Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Defence ,Ministerial Department,Ministry of Defence,"15,523","14,770","8,164","7,967","13,381","13,144","2,218","2,182",243,240,"17,069","16,588","56,598","54,891","1,061","1,007",56,55,145,145,47,47,"1,309","1,254","57,907","56,144","£131,033,297",£0,£0,"£7,026,292","£23,728,185","£10,766,555","£172,554,329","£3,221,009","£447,903","£3,668,912","£176,223,241",,
Defence Support Group,Executive Agency,Ministry of Defence,591,569,"1,795","1,781",247,243,64,63,5,5,77,77,"2,779","2,738",157,152,1,1,1,1,0,0,159,154,"2,938","2,892","£5,852,256","£403,629",£0,"£538,304","£1,097,758","£521,111","£8,413,058","£460,617",£0,"£460,617","£8,873,675",.,
Defence Science & Technology Laboratory,Executive Agency,Ministry of Defence,198,195,278,267,"1,950","1,902","1,299","1,241",30,27,0,0,"3,755","3,632",2,2,0,0,171,162,5,1,178,165,"3,933","3,797","£10,445,068","£118,065",£0,"£292,346","£2,067,575","£936,997","£13,860,052","£786,347","£3,352","£789,699","£14,649,751",31/01/2012,FTE & HC SCS include Dstl Level 9
National Museum of the Royal Navy,Executive Non-Departmental Public Body,Ministry of Defence,22,19,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24,"£65,453",£697,£0,"£1,679","£6,518","£6,530","£80,876",£0,£0,£0,"£80,876",1 new member of staff.,
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,174,167,0,0,0,0,0,0,0,0,0,0,174,167,1,1,0,0,0,0,2,0,3,1,177,168,"£330,129","£6,796",£0,"£14,615","£17,124","£32,118","£400,782","£1,596",£900,"£2,496","£403,278",The RAF Museum is devolved and does not operate the MOD/civil service grading sructure.,
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,1,1,1,1,3,3,2,2,1,1,47,45,55,53,0,0,0,0,2,2,0,0,2,2,57,55,"£154,676","£12,497",£0,£565,"£32,061","£12,337","£212,137","£4,656",£0,"£4,656","£216,793",.,
