ALB,Supplier,Net Amount £
Firebuy,PINSENT MASON SOLICITORS,"1,981,616.66"
Firebuy,PKF (UK) LLP,"216,486.35"
Firebuy,PURCON LTD,"177,783.37"
Firebuy,BURGES SALMON LLP,"71,924.00"
Firebuy,DIVERSE MANAGEMENT CONSULTING,"64,611.00"
Firebuy,ROBERTSON COX,"64,471.85"
Firebuy,FIDONET REGISTRATION SERVICES LTD,"57,939.46"
Firebuy,CMSL LTD,"55,216.30"
Firebuy,OXYGEN INSURANCE BROKERS,"49,910.00"
Firebuy,LIZ TAYLOR RISK CONSULTING,"47,000.00"
Firebuy,REED SPECIALIST RECRUITMENT LTD,"44,454.39"
Firebuy,VAIL WILLIAMS LLP,"43,800.00"
Firebuy,BROWNE JACOBSON LLP,"40,000.00"
Firebuy,COMPANY BARCLAYCARD,"36,836.11"
Firebuy,VENN GROUP,"33,945.74"
Firebuy,MVT PROCUREMENT SOLUTIONS LTD,"32,007.35"
Firebuy,LEASE PLAN UK,"16,515.39"
Firebuy,NORTH ATLANTIC SYSTEMS LTD,"15,744.78"
Firebuy,REDACTIVE PUBLISHING LTD,"14,975.00"
Firebuy,CORPORATE CLOTHING ADVISORY SERVICE,"13,077.45"
Firebuy,FIRE ANGELS LTD,"11,170.42"
Firebuy,DUE NORTH LTD,"10,550.00"
Firebuy,KABLE/GUARDIAN NEWS & MEDIA LTD,"6,550.00"
Firebuy,BT PLC,"5,601.27"
Firebuy,SCALFORD HALL,"5,343.35"
Firebuy,UBM INFORMATION LTD,"4,725.00"
Firebuy,PAUL NAPIER LIMITED,"4,725.00"
Firebuy,ETC VENUES LTD,"4,560.00"
Firebuy,NORTHGATE ARINSO LIMITED,"4,358.28"
Firebuy,ACORN BUSINESS SUPPLIES LTD,"4,212.79"
Firebuy,VODAFONE LTD,"4,195.47"
Firebuy,"LEICESTER, LEICSTERSHIRE & RUTLAND","3,981.86"
Firebuy,KEYSTONE LAW,"3,900.00"
Firebuy,JOHN HEATH INSURANCE BROKERS LLP,"3,615.25"
Firebuy,ISIS INTERIM LTD,"3,270.00"
Firebuy,CANON (UK) LTD,"3,027.56"
Firebuy,ADECCO,"2,641.60"
Firebuy,EMERGENCY SERVICES (MMC) LTD,"1,980.00"
Firebuy,MWB BUSINESS EXCHANGE LTD,"1,887.00"
Firebuy,PRONTAPRINT REIGATE,"1,736.12"
Firebuy,CRANFORD MOVERS,"1,722.00"
Firebuy,RBS OFFICE SUPPLIES LTD,"1,721.40"
Firebuy,DUN & BRADSTREET LTD,"1,246.32"
Firebuy,DOWNS SOLICITORS LLP,"1,175.00"
Firebuy,TRUCKEAST LTD,"1,056.75"
Firebuy,HORSLEYS REMOVALS OF STAFFORD,"1,040.00"
