ADVERTISING AND MARKETING,,,,
Department,Organisation Name,Basis for Exception, Value (£),Approval month
BIS,,Growth Accelerator Makreting 2012/13," £                982,000* ",4/1/2012
BIS,,Business in You campaign,"1,010,000",4/1/2012
BIS,,Science and Society public engagement activities,"220,590",4/1/2012
BIS,,Innovate UK,"733,000",6/1/2012

,,,* Only the first quarter of spend was initially approved by ERG ,
