"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES)",,,
Minister,Date,Name of External Organisation*,Purpose of meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Apr-11,Noon Products,Integration
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Apr-11,"Regional media groups including Michael Pelosi (Northcliffe Media), Georgina Harvey (Trinity Mirror), John Fry (Johnston Press)",General discussion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",May-11,Bishop of Manchester,To discuss faith issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",May-11,Dencora property development and investment,To discuss housing issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",May-11,British Bankers’ Association,To discuss support for business
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",May-11,South East Strategic Leaders,General discussion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",May-11,Localis,Local government lunch discussion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-11,City of London Corporation,To discuss economic growth
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-11,Anne Frank Trust UK,Integration
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-11,Hastoe Housing Association,To discuss housing issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-11,Prince’s Charities,Discussion of integration issues
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-11,Ford of Britain,To discuss local enterprise
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-11,Neville Wilson (Brentwood Gazette),General discussion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-11,Regional Lobby lunch,General discussion
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Apr-11,John Lewis Partnership,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Apr-11,Development Trusts Association (DTA),Temporary use of property assets 
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Apr-11,Professor John Seddon,Decentralisation
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Apr-11,Country Land & Business Association,Localism Bill
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Apr-11,Core Cities Group,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",May-11,City Finance Commission,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",May-11,Royal Society for the Protection of Birds,Planning policy
