"PERMANENT SECRETARY (4*CIVILIANS) MEETINGS WITH EXTERNAL ORGANISATIONS(INCLUDING MEETINGS WITH PROPRIETORS, EDITORS AND SENIOR MEDIA EXECUTIVES)",,,
1 JANUARY - 31 MARCH 2012,,,

,Date of Meeting ,Name of External Organisation,Purpose of Meeting  
"Mrs Ursula Brennan, Permanent Secretary Ministry of Defence ",None ,BAE Systems,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,EADS,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,SERCO,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,Finmeccanica,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,ADS,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,Hewlett Packard,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,BAE Systems,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,BAE Systems,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,EADS,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,SERCO,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,Finmeccanica,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,ADS,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,Hewlett Packard,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,EADS,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,SERCO,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,Finmeccanica,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,ADS,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,Hewlett Packard,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,BAE Systems,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan,Affinitext,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Feb,Marshalls,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Feb,BAE Systems,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Feb,BAE Systems,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar,BAE Systems,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar,BAE Systems,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar,Mckinsey,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar,BAE Systems,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar,Babcock,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar,BAE Systems,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar,EADS,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar,SERCO,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar,Finmeccanica,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar,ADS,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar,Hewlett Packard,General Meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar,Bechtel,General Meeting

"Note: Does not normally include meetings with Government bodies such as other Government Departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments. ",,,
