Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",14 to 15 May 2012,Paris,New Cities Summit 2012,Eurostar,n/a,£354
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",14 to 15 May 2012,"Almere, Amsterdam",Lead a delegation on self-build housing.,Scheduled,,£358.96
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
"Bob Neill MP, Parliamentary Under-Secretary of State",19-Jan-12,"Paris, France",Regeneration and Business Rates Retention,Eurostar,N/A,£357
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",03-May-12,Brussels,Council of Europe,Eurostar,,£503
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",14-May-12,Strasbourg,Meeting with representatives of Council of Europe & the Netherlands Ministry,Eurostar,,£510
