0,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£) ,VAT Registration Number
FCO,FCO,23-Apr-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,1043793,225.24,
FCO,FCO,10-Apr-12,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,TURNINGPOINT SOLUTIONS,17157750,"31,248.39",
FCO,FCO,02-Apr-12,Construction Project more than £10k,#N/A,SG ELECTRICAL SOLUTIONS,1041990,"41,606.79",
FCO,FCO,10-Apr-12,Specialist Contractors,DG FINANCE,RSM TENON LTD,1042836,"22,391.00",
FCO,FCO,10-Apr-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,RSM TENON LTD,1042836,"4,478.20",
FCO,FCO,02-Apr-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1042115,"27,511.00",
FCO,FCO,02-Apr-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1042115,"9,372.20",
FCO,FCO,24-Apr-12,Building Fabric Services,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,"1,397.39",
FCO,FCO,24-Apr-12,Residential Property Services,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,"1,616.44",
FCO,FCO,24-Apr-12,Reception Services,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,"3,630.18",
FCO,FCO,24-Apr-12,Miscellaneous Expenditure: inc subscriptions and equipment maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,706.51,
FCO,FCO,24-Apr-12,Cleaning & Waste,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,"6,962.74",
FCO,FCO,24-Apr-12,Office Support Services,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,"1,737.28",
FCO,FCO,24-Apr-12,Repair and maintenance of furniture and fittings,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,"1,274.43",
FCO,FCO,24-Apr-12,Mail & Porterage Services,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,"1,747.30",
FCO,FCO,24-Apr-12,Grounds Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,"4,489.02",
FCO,FCO,24-Apr-12,Building Mechanical and Engineering Services,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,"8,669.82",
FCO,FCO,24-Apr-12,Contract Fees,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,"2,131.55",
FCO,FCO,24-Apr-12,Contract Fees,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,873.84,
FCO,FCO,24-Apr-12,Contract Fees,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,"1,575.29",
FCO,FCO,24-Apr-12,Contract Fees,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,448.8,
FCO,FCO,24-Apr-12,Contract Fees,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,577.62,
FCO,FCO,24-Apr-12,Contract Fees,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,206.33,
FCO,FCO,24-Apr-12,Contract Fees,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,763.79,
FCO,FCO,24-Apr-12,Unscheduled repairs to building infrastructure,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000158,"4,647.63",
FCO,FCO,24-Apr-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000166,97.65,
FCO,FCO,24-Apr-12,FM Interserve Cleaning,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000166,269,
FCO,FCO,24-Apr-12,FM Interserve Cleaning,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000166,220.58,
FCO,FCO,24-Apr-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000166,"1,043.50",
FCO,FCO,24-Apr-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000166,"44,335.12",
FCO,FCO,24-Apr-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000166,"78,175.05",
FCO,FCO,25-Apr-12,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,FAIZA HASSAN TAHA,200001218,"45,423.00",
FCO,FCO,17-Apr-12,Programme Spend (Oracle Projects Control Account),DG POLITICAL,CAMP ALATOO,2000001149,"29,400.00",
FCO,FCO,24-Apr-12,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,830.09,
FCO,FCO,24-Apr-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,297.57,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,105.96,
FCO,FCO,24-Apr-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,297.57,
FCO,FCO,24-Apr-12,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,654.66,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,621.33,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,533.29,
FCO,FCO,24-Apr-12,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,714,
FCO,FCO,24-Apr-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,892.73,
FCO,FCO,24-Apr-12,Rental Payments - non residential,DG CHANGE & DELIVERY,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"17,715.76",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,124.88,
FCO,FCO,24-Apr-12,Rental Payments - non residential,DG CHANGE & DELIVERY,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"51,742.51",
FCO,FCO,24-Apr-12,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,531.08,
FCO,FCO,24-Apr-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,892.73,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,53.56,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,654.77,
FCO,FCO,24-Apr-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"1,190.30",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,39.5,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,511.94,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,25.51,
FCO,FCO,24-Apr-12,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,654.66,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,29.75,
FCO,FCO,24-Apr-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,297.58,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,45.47,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,389.48,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,29.75,
FCO,FCO,24-Apr-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,119.03,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,71.4,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,385.72,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,47.61,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,304.33,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"5,174.25",
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,48.24,
FCO,FCO,24-Apr-12,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"3,543.40",
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,89.27,
FCO,FCO,24-Apr-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,892.73,
FCO,FCO,24-Apr-12,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,595.15,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,119.03,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,96.35,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,10.6,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,337.37,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,65.47,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,65.47,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,166.54,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,89.27,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,240.14,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,504.94,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"1,771.57",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,62.95,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,53.11,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,65.48,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"2,702.45",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,101.18,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,51.19,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"5,120.13",
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,29.76,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,11.9,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,74.8,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,38.57,
FCO,FCO,24-Apr-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"2,380.60",
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"3,398.16",
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,4.82,
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,148.79,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,89.27,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,59.52,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"3,555.84",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,101.17,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"4,849.10",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,101.18,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"1,991.27",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,70.09,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"2,702.44",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,232.11,
FCO,FCO,24-Apr-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"2,975.74",
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"2,275.61",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,232.11,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"2,617.10",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,439.6,
FCO,FCO,24-Apr-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,297.58,
FCO,FCO,24-Apr-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,357.09,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,"1,201.55",
FCO,FCO,24-Apr-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,422.57,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,83.01,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,62.13,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,53.33,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,12.49,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,5.36,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,3.95,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,2.55,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,4.55,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,38.95,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,4.76,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,30.44,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,354.34,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,9.64,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,33.73,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,16.65,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,24.01,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,50.49,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,6.3,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,10.12,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,7.48,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,238.06,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,14.88,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,10.11,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,10.12,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,7.01,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,23.21,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,297.58,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,23.21,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,43.96,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,29.76,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,35.71,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,120.16,
FCO,FCO,24-Apr-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000168,42.26,
FCO,FCO,24-Apr-12,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,"1,662.07",
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,6.9,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,"3,503.03",
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,6.9,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,2.26,
FCO,FCO,24-Apr-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,46.06,
FCO,FCO,24-Apr-12,Rental Payments - non residential,DG CHANGE & DELIVERY,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,"8,492.38",
FCO,FCO,24-Apr-12,Rental Payments - non residential,DG CHANGE & DELIVERY,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,"13,718.46",
FCO,FCO,24-Apr-12,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,34.48,
FCO,FCO,24-Apr-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,329.29,
FCO,FCO,24-Apr-12,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,561.27,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,55.18,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,31.04,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,13.79,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,88.11,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,275.41,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,88.11,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,13.79,
FCO,FCO,24-Apr-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,88.11,
FCO,FCO,24-Apr-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,267.56,
FCO,FCO,24-Apr-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,88.11,
FCO,FCO,24-Apr-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,29.45,
FCO,FCO,24-Apr-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000171,"1,025.21",
