ALB,Supplier,Net Amount £
Government Office ,FUJITSU,"8,786,186.00"
Government Office ,PILCHER HERSHMAN & PARTNERS,"2,688,125.00"
Government Office ,JONES LANG LASALLE,"2,099,793.55"
Government Office ,TAYLOR WOODROW CONSTRUCTION,"1,986,314.75"
Government Office ,DANMERC PROP CONSULTANTS & MGT LTD,"1,928,567.26"
Government Office ,OREGON FINANCIAL TRUST SERVICES LTD,"1,779,889.57"
Government Office ,BRUNTWOOD EST ALPHA PORTFOLIO LTD,"1,719,705.60"
Government Office ,MITIE MANAGED SERVICES (SOUTHERN) L,"1,656,266.32"
Government Office ,NEW STAR PROPERTY UNIT TRUST,"1,546,003.37"
Government Office ,REED EMPLOYMENT PLC,"1,374,628.10"
Government Office ,ATISREAL LIMITED,"965,242.64"
Government Office ,METHODS CONSULTING LTD,"901,201.76"
Government Office ,CB RICHARD ELLIS LTD,"717,170.66"
Government Office ,ISG INTERIOREXTERIOR PLC,"681,372.39"
Government Office ,PRUPIM LTD,"674,250.00"
Government Office ,BARKERS,"611,717.16"
Government Office ,DTZ DEBENHAM TIE LEUNG,"581,805.28"
Government Office ,BROOK STREET UK LTD,"523,160.32"
Government Office ,CABLE & WIRELESS,"518,715.34"
Government Office ,HERMAN MILLER LTD,"494,255.92"
Government Office ,CO-OPERATIVE TRAVEL MANAGEMENT,"492,002.52"
Government Office ,AMEY COMMUNITY LTD,"446,418.98"
Government Office ,SOUTHERN ELECTRIC PLC,"375,739.04"
Government Office ,CELTIC LAND (PLYMOUTH) LTD,"319,687.50"
Government Office ,TURNER & TOWNSEND,"271,147.37"
Government Office ,HAYS PERSONNEL SERVICES,"261,483.74"
Government Office ,EDF ENERGY,"256,963.34"
Government Office ,RSM BENTLEY JENNISON,"252,625.42"
Government Office ,MICHAEL PAGE INTERNATIONAL,"246,332.16"
Government Office ,IMPERIAL INTERIORS LTD,"244,602.79"
Government Office ,DEEHURST LIMITED,"244,308.73"
Government Office ,DAWSON & SANDERSON LTD,"243,963.95"
Government Office ,VODAFONE LTD,"224,396.96"
Government Office ,Warrants Service,"215,946.05"
Government Office ,METASKIL GROUP LTD,"210,075.60"
Government Office ,PRICEWATERHOUSECOOPERS,"185,303.49"
Government Office ,BADENOCH & CLARK,"172,111.04"
Government Office ,BIZSPACE LIMITED,"164,134.46"
Government Office ,INNOVATIVE CREATIVE EXCELLENCE LTD,"161,453.65"
Government Office ,W S ATKINS LTD,"144,001.24"
Government Office ,IDENK LTD,"141,160.82"
Government Office ,LOGICA (CMG UK LTD),"140,650.83"
Government Office ,MARKET & OPINION RESEARCH INT LTD,"138,154.25"
Government Office ,FARADAY PARTNERSHIP LTD,"133,226.57"
Government Office ,ARVAL,"132,330.30"
Government Office ,CAVILL ROBINSON FINANCIAL RCRTMT LT,"117,150.71"
Government Office ,QUARMBY CONSTRUCTION LTD,"110,412.05"
Government Office ,ACCOR SERVICES,"102,064.05"
Government Office ,CRANEGATES LIMITED,"98,303.78"
Government Office ,CAPITA BUSINESS,"97,084.70"
Government Office ,MITIE CATERING SERVICES (LONDON) LT,"90,115.52"
Government Office ,FLEXIFORM BUSINESS FURNITURE LTD,"85,198.03"
Government Office ,ADECCO,"84,568.37"
Government Office ,SHARED INTELLIGENCE LTD,"78,455.06"
Government Office ,BANNER BUSINESS SUPPLIES LTD,"73,729.55"
Government Office ,NAT CAR PARKS LTD,"70,467.74"
Government Office ,NORTH WEST REGIONAL YOUTH WORK UNIT,"63,676.52"
Government Office ,URBAN VISION PARTNERSHIP LTD,"63,126.88"
Government Office ,KING STURGE LLP,"61,729.50"
Government Office ,REDSTONE TELECOM,"61,717.42"
Government Office ,CORONA ENERGY,"61,020.83"
Government Office ,COMMON PURPOSE UK,"59,949.37"
Government Office ,VIRTUAL STAFF COLLEGE,"58,704.00"
Government Office ,SOUTH WEST FOOD & DRINK,"58,507.52"
Government Office ,BRAY LEINO LTD,"55,043.25"
Government Office ,B T PLC,"53,133.61"
Government Office ,HBL MEDIA LTD,"53,068.75"
Government Office ,OCS RESOLUTION SECURITY,"51,962.20"
Government Office ,PITNEY BOWES LTD,"50,418.80"
Government Office ,DANWOOD FINANCIAL SERVICES LTD,"47,096.04"
Government Office ,EAST ANGLIA FOOD LINK LTD,"46,724.30"
Government Office ,DODS PARLIAMENTARY COMM LTD,"44,173.65"
Government Office ,CARLSON WAGONLIT TRAVEL,"43,944.99"
Government Office ,SAVILLS (L&P) LTD,"39,809.89"
Government Office ,DRIVERS JONAS,"39,133.11"
Government Office ,PENNA PLC,"38,531.02"
Government Office ,NEOPOST LTD,"38,213.97"
Government Office ,HARRISON ASSOCIATES UK LTD,"37,584.56"
Government Office ,INTEGRATED CLEANING MANAGEMENT LTD,"37,068.84"
Government Office ,ENGLISH FARMING & FOOD PARTNERSHIPS,"37,061.00"
Government Office ,LGS LTD,"36,081.28"
Government Office ,ALPHA CONSOLIDATED TRAINING LTD,"34,496.06"
Government Office ,MACDONALD & COMPANY FREELANCE LTD,"34,308.55"
Government Office ,ETC LTD,"34,182.00"
Government Office ,BUSINESS IN THE COMMUNITY,"33,677.50"
Government Office ,AMTEC CONSULTING PLC,"32,893.30"
Government Office ,KENT COUNTY COUNCIL,"32,851.69"
Government Office ,BRITISH GAS BUSINESS,"32,514.00"
Government Office ,CHARTERED INST OF HOUSING,"32,135.06"
Government Office ,IRON MOUNTAIN,"31,706.11"
Government Office ,SE FOOD GROUP PARTNERSHIP LTD,"31,500.00"
Government Office ,BARNARDO'S NORTH WEST,"30,262.45"
Government Office ,ROCKET SCIENCE UK LTD,"29,503.75"
Government Office ,HITACHI CAPITAL VEHICLE SOLUTIONS,"29,051.30"
Government Office ,IBEX INTERIORS LIMITED,"28,560.75"
Government Office ,PA CONSULTING SERVICES LIMITED,"28,089.64"
Government Office ,PINSENT MASON SOLICITORS,"27,364.02"
Government Office ,DELAWARE NORTH COMPANIES UK,"27,120.26"
Government Office ,QUALITY CONTRACT CLEANING SERVICES,"26,479.58"
Government Office ,URBAN PROJECTS LTD,"26,054.99"
Government Office ,HOLIDAY INN BLOOMSBURY,"25,561.20"
Government Office ,EXEMPLAS LTD,"24,620.00"
Government Office ,SKILL BOOSTERS,"24,059.50"
Government Office ,NORLAND MANAGED SERVICES LTD,"24,053.80"
Government Office ,CANON (UK) LTD,"23,911.83"
Government Office ,MANCHESTER AIRPORT PLC,"23,067.14"
Government Office ,JOANNE DREW,"22,832.72"
Government Office ,R T P I CONFERENCES,"22,801.07"
Government Office ,ETC VENUES LTD,"22,131.05"
Government Office ,REDHOUSE LANE COMMUNICATIONS LTD,"21,813.75"
Government Office ,UNITED UTILITIES PLC,"21,473.47"
Government Office ,HEART OF ENGLAND FINE FOODS LTD,"20,985.52"
Government Office ,DANWOOD GROUP LTD,"20,795.91"
Government Office ,VIDEONATIONS LTD,"20,432.90"
Government Office ,ALLNET LTD,"20,417.07"
Government Office ,HAYMARKET PUBLISHING SERVS LTD,"20,121.03"
Government Office ,PRINCES DOCK DEV CO NO 4 LTD,"19,700.88"
Government Office ,ACORN PRINT & DESIGN LTD,"19,241.51"
Government Office ,RICOH UK LTD,"18,646.44"
Government Office ,KNOWLEDGEPOOL GROUP LIMITED,"18,284.14"
Government Office ,ANDREW WRIGHT PLANNING LTD,"18,004.86"
Government Office ,CROWN RECORDS MANAGEMENT LTD,"17,977.99"
Government Office ,GREATMIDAS LTD,"17,753.22"
Government Office ,MICOMMS LTD,"17,324.75"
Government Office ,CAPITA RESOURCING LIMITED,"17,250.00"
Government Office ,PARRY LOTHIAN CONSULTANCY,"17,250.00"
Government Office ,REED LEARNING PLC,"16,947.00"
Government Office ,ADT FIRE & SECURITY,"16,918.46"
