UniqueRef,DATE OF TRANSACTION,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC13535,05-Oct-11,Auto Rental                        ,Auto Rental                        ,"£2,371.58",13535
MODGPC13536,13-Oct-11,Auto Rental                        ,Auto Rental                        ,£615.22,13536
MODGPC13537,13-Oct-11,Auto Rental                        ,Auto Rental                        ,£756.34,13537
MODGPC13538,13-Oct-11,Auto Rental                        ,Auto Rental                        ,"£3,198.01",13538
MODGPC13539,12-Oct-11,Auto Rental                        ,Auto Rental                        ,"£2,391.18",13539
MODGPC13540,06-Oct-11,Auto Rental                        ,Auto Rental                        ,£874.20,13540
MODGPC13541,13-Oct-11,Auto Rental                        ,Auto Rental                        ,"£1,882.78",13541
MODGPC13542,13-Oct-11,Auto Rental                        ,Auto Rental                        ,"£1,811.34",13542
MODGPC13543,13-Oct-11,Auto Rental                        ,Auto Rental                        ,"£1,650.00",13543
MODGPC13544,13-Oct-11,Auto Rental                        ,Auto Rental                        ,"£1,742.51",13544
MODGPC13545,06-Oct-11,Auto Rental                        ,Auto Rental                        ,£706.31,13545
MODGPC13546,03-Oct-11,Auto Rental                        ,Auto Rental                        ,"£4,100.14",13546
MODGPC13547,03-Oct-11,Auto Rental                        ,Auto Rental                        ,£799.50,13547
MODGPC13548,07-Oct-11,Auto Rental                        ,Auto Rental                        ,"£1,980.66",13548
MODGPC13549,06-Oct-11,Auto Rental                        ,Auto Rental                        ,"£1,908.00",13549
MODGPC13550,06-Oct-11,Auto Rental                        ,Auto Rental                        ,"£1,548.20",13550
MODGPC13551,06-Oct-11,Auto Rental                        ,Auto Rental                        ,£594.20,13551
MODGPC13552,10-Oct-11,Auto Rental                        ,Auto Rental                        ,"£2,000.00",13552
MODGPC13553,10-Oct-11,Auto Rental                        ,Auto Rental                        ,"£2,000.00",13553
MODGPC13554,06-Oct-11,Auto Rental                        ,Auto Rental                        ,"£1,452.18",13554
MODGPC13555,06-Oct-11,Auto Rental                        ,Auto Rental                        ,"£1,311.08",13555
MODGPC13556,12-Oct-11,Auto Rental                        ,Auto Rental                        ,"£1,855.93",13556
MODGPC13557,12-Oct-11,Auto Rental                        ,Auto Rental                        ,£903.49,13557
MODGPC13558,06-Oct-11,Auto Rental                        ,Auto Rental                        ,£563.04,13558
MODGPC13559,10-Oct-11,Auto Rental                        ,Auto Rental                        ,£563.04,13559
MODGPC13560,12-Oct-11,Auto Rental                        ,Auto Rental                        ,£763.20,13560
MODGPC13561,04-Oct-11,Auto Rental                        ,Auto Rental                        ,"£1,668.57",13561
MODGPC13562,03-Oct-11,Auto Rental                        ,Auto Rental                        ,£541.20,13562
MODGPC13563,04-Oct-11,Auto Rental                        ,Auto Rental                        ,£675.84,13563
MODGPC13564,05-Oct-11,Auto Rental                        ,Auto Rental                        ,"£1,556.63",13564
