Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Defence ,Ministerial Department,Ministry of Defence,"17,198","16,314","8,793","8,575","14,191","13,921","2,317","2,279",257,254,"18,227","17,731","60,983","59,074",933,888,60,59,142,142,46,46,"1,181","1,136","62,164","60,210","£142,981,590",£0,£0,"£4,898,386","£23,519,699","£10,966,000","£182,365,675","£4,060,954","£1,066,343","£5,127,297","£187,492,972",,
Defence Support Group,Executive Non-Departmental Public Body,Ministry of Defence,573,552,"1,886","1,871",265,261,61,61,5,5,97,97,"2,887","2,847",77,77,1,1,18,18,97,97,193,192,"3,080","3,039","£5,953,052","£391,275",,"£423,007","£1,122,187","£521,736","£8,411,256","£251,571",,"£251,571","£8,662,827",.,"1.  June consultancy costs overstated by using YTD value instead of in period.  To manage the YTD position in AP4 would require a credit of £159,183.94.  2.  A non consolidated performance payment ws paid of £984.834.33 plus £99,479.04 in ERNIC, however this was accrued for in FY10/11 accounts."
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,0,0,0,0,0,0,0,0,0,0,173,161,173,161,1,1,0,0,0,0,1,0,2,1,175,162,"£338,857","£6,666",£0,"£11,590","£16,838","£32,802","£406,753","£1,053","£4,200","£5,253","£412,006",The RAF Museum is devolved and does not operate the MOD/civil service grading sructure.,
National Museum of the Royal Navy,Executive Non-Departmental Public Body,Ministry of Defence,23,20,1,1,1,1,1,1,1,1,0,0,27,23,0,0,0,0,0,0,0,0,0,0,27,23,"£51,485",£785,£0,£480,"£4,999","£4,362","£62,112",£0,£0,£0,"£62,112",.,
Defence Science & Technology Laboratory,Executive Agency,Ministry of Defence,221,218,292,279,1919,1870,1239,1181,29,27,0,0,3700,3575,7,7,0,0,89,83,4,2,100,92,3800,3667,"£10,290,138","£102,061",£0,"£301,993","£2,034,944","£931,899","£13,661,035","£531,099","£25,362","£556,461","£14,217,496",31/07/2011,FTE & HC SCS include Dstl Level 9
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,1,1,1,1,3,3,4,4,1,1,54,53,64,63,0,0,0,0,0,0,0,0,0,0,64,63,"£174,092","£13,786",£0,"£1,079","£36,059","£14,207","£239,224",£0,£0,£0,"£239,224",.,
