Department,Organisation Name,Basis for Exception, Value ,Approval month,
MOD,Tri-Service Recruiting,"Robust evidence, critical information","£187,000",Jul-12,ERG - M00461
MOD,Tri-Service Recruiting,"Robust evidence, critical information","£250,000",Jul-12,ERG - M00460
MOD,Tri-Service Recruiting,"Robust evidence, critical information","£1,600,000",Jul-12,ERG - M00459



,,,"£2,037,000",,
