Minister,Date received,From,Gift,Value (£), Outcome
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",31-May-11,Samsung,Samsung S2 portable external hard drive and phone,Over limit,Held by the Department
"Minister of State (Trade and Investment), Lord Green",8-Jun-11,Mydeco,"Various, including ear lights for SAD",Over limit,Held by Department
