Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Defence ,Ministerial Department,Ministry of Defence,"17,241","16,354","8,848","8,628","14,191","13,923","2,318","2,280",254,251,"18,299","17,802","61,151","59,239",943,898,60,59,143,143,46,46,"1,192","1,146","62,343","60,385","£140,124,318",£0,£0,"£5,991,223","£25,303,085","£11,328,367","£182,746,993","£3,641,192","£1,643,907","£5,285,099","£188,032,092",,
Defence Support Group,Executive Agency,Ministry of Defence,597,574,"1,929","1,912",267,264,62,62,5,5,97,97,"2,957","2,913",86,86,1,1,1,1,6,6,94,94,"3,051","3,007","£6,029,839","£375,995",£0,"£229,451","£1,132,968","£500,138","£8,268,391","£264,243","£5,492","£269,734","£8,538,126",.,revised salary
Defence Science & Technology Laboratory,Executive Agency,Ministry of Defence,198,195,283,270,1893,1847,1229,1179,30,28,0,0,3633,3519,3,3,0,0,82,76,4,2,89,80,3722,3599,"£10,287,590","£99,189",£0,"£278,632","£2,028,264","£928,280","£13,621,956","£535,718","£3,343","£539,061","£14,161,017",30/06/2011,
Meteorological Office,Executive Agency,Ministry of Defence,0,0,0,0,0,0,0,0,4,3,1913,1851,1917,1854,5,5,1,1,51,51,1,1,58,58,1975,1912,"£4,840,781","£354,854","£12,393","£179,258","£996,808","£502,404","£6,886,498","£383,550","£6,190","£389,740","£7,276,238",.,
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,0,0,0,0,0,0,0,0,0,0,173,161,173,161,1,1,0,0,0,0,1,0,2,1,175,162,"£321,288","£7,595","£4,100","£13,682","£17,097","£31,437","£395,199",£667,£800,"£1,467","£396,666",The RAF Museum is devolved and does not operate the MOD/civil service grading sructure.,
National Museum of the Royal Navy,Executive Non-Departmental Public Body,Ministry of Defence,24,24,1,1,1,1,1,1,1,1,0,0,28,27,0,0,0,0,0,0,0,0,0,0,28,27,"£55,561",£0,£0,"£7,962",£719,"£2,664","£66,906",£0,£0,£0,"£66,906",Data for June 2011,
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,1,1,1,1,3,3,4,4,1,1,56,55,66,65,0,0,0,0,0,0,0,0,0,0,66,65,"£173,681","£13,764",£0,"£1,779","£36,435","£14,139","£239,796",£0,£0,£0,"£239,796",.,
