Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Defence ,Ministerial Department,Ministry of Defence,"17,389","16,498","8,920","8,701","14,151","13,895","2,318","2,280",251,249,"19,232","18,683","62,261","60,306",779,749,54,53,144,144,46,46,"1,023",992,"63,284","61,297","£141,593,292",£0,£0,"£4,588,800","£25,360,015","£11,221,774","£182,763,881","£2,651,044","£560,968","£3,212,012","£185,975,893",
Defence Support Group,Executive Agency,Ministry of Defence,604,581,"1,952","1,935",266,263,62,62,5,5,98,98,"2,987","2,944",83,83,1,1,2,2,10,10,96,96,"3,083","3,040","£6,174,111","£368,583",£0,"£236,789","£1,148,738","£512,394","£8,440,615","£171,768","£79,933","£251,701","£8,692,315",.
Defence Science & Technology Laboratory,Executive Agency,Ministry of Defence,197,194,284,271,1912,1867,1242,1193,30,28,0,0,3665,3554,4,4,0,0,70,64,5,3,79,70,3744,3624,"£10,284,971","£97,567",£0,"£469,102","£2,040,611","£955,915","£13,848,166","£516,480",£0,"£516,480","£14,364,646",30/04/2011
Meteorological Office,Executive Agency,Ministry of Defence,0,0,0,0,0,0,0,0,4,3,1906,1843,1910,1846,3,3,1,1,35,35,1,1,40,40,1950,1886,"£4,901,365","£346,670","£32,643","£139,944","£1,007,976","£434,549","£6,863,147","£378,625","£5,800","£384,425","£7,247,572",.
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,0,0,0,0,0,0,0,0,0,0,174,162,174,162,1,1,0,0,0,0,1,0,2,1,176,163,"£322,477","£8,275",£0,"£12,528","£18,001","£31,030","£392,311","£1,176",£800,"£1,976","£394,287",The RAF Museum is devolved and does not operate the MOD/civil service grading structure.
National Museum of the Royal Navy,Executive Non-Departmental Public Body,Ministry of Defence,12,12,0,0,1,1,1,1,1,1,0,0,15,15,0,0,0,0,0,0,0,0,0,0,15,15,"£28,108",£0,£0,£0,£719,"£2,740","£31,567",£0,£0,£0,"£31,567",Data for April 2011
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,1,1,1,1,3,3,4,4,1,1,57,56,67,66,0,0,0,0,0,0,0,0,0,0,67,66,"£173,410","£14,259",£0,£121,"£35,991","£14,302","£238,083",£0,£0,£0,"£238,083",.
