Department Family,Entity,Clearing,Expense Type,Expense Area,Supplier,Doc Nbr,Amount
Communities & Local Government,DCLG,01/03/2011,Legal Fees,Localism,NAT SCHOOL OF GOVERNME   ASCOT,1000002988,805.00
Communities & Local Government,DCLG,03/03/2011,Training,Finance & Corporate Services,UNI OF LIVERPOOL         LIVERPOOL,1000002992,994.00
Communities & Local Government,DCLG,09/03/2011,Vehicle hire,Finance & Corporate Services,ENTERPRISE RAC           EGHAM,1000002995,650.12
Communities & Local Government,DCLG,10/03/2011,Post,Neighbourhoods,WWW.NEOPOST.CO.UK        0845 880 0000,1000003003,"1,030.00"
Communities & Local Government,DCLG,14/03/2011,Conferences and Meeting Facilities,Neighbourhoods,CANTERBURY CHRISTCHURCH  CANTERBURY,1000003012,527.04
Communities & Local Government,DCLG,14/03/2011,Post,Neighbourhoods,WWW.NEOPOST.CO.UK        0845 880 0000,1000003015,"1,030.00"
Communities & Local Government,DCLG,14/03/2011,Training,Neighbourhoods,DOD`S PARLIAMENTARY CO   LONDON  SE1,1000003017,576.00
Communities & Local Government,DCLG,15/03/2011,Professional services,Finance & Corporate Services,ACHILLES INFORMAT        ABINGDON,1000003019,928.25
Communities & Local Government,DCLG,15/03/2011,Training,Localism,UNIKENT AT MEDWAY        CHATHAM,1000003020,710.00
Communities & Local Government,DCLG,21/03/2011,Post,Neighbourhoods,WWW.NEOPOST.CO.UK        0845 880 0000,1000003046,515.00
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
