Minister,Date Received,From,Gift,Value,Outcome
"Minister of State, Jeremy Browne MP ","September,2010",Chevening Chinese Young Leaders Programme ,Book,Over limit,Held by Department
"Minister of State, David Liddington MP","September,2010",French Europe Minister,Clock,Undergoing evaluation,To be advised
