Minister,Gifts received over £140,Gifts given over £140,Date received/given,From/To,Value,Outcome
Attorney General Dominic Grieve QC MP,"Book entitled
‘Lissack &
Horlick on
Bribery’",,Sep-11,LexisNexis,Over limit,Retained by Department
Solicitor General Edward Garnier QC MP,"Book entitled
‘Lissack &
Horlick on
Bribery’",,Sep-11,LexisNexis,Over limit,Retained by Department
