"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES)",,,
Minister,Date,Name of External Organisation*,Purpose of meeting
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Greater Manchester LEP Board Members’,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,West of England LEP Board Members’,Cities policy / Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Paintworks,Cities policy / Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Aardman,Cities policy / Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Jul-11,Greater Birmingham & Solihull LEP Board Members’,Cities policy / Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Pfizer,Cities policy / Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Able UK,Cities policy / Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Association of British Ports,Cities policy / Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Nottingham City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Nottingham LEP Board Members’,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Sheffield City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Sheffield LEP Board Members’,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Leeds City Council,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Leeds LEP Board Members’,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,Newcastle City Council,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Aug-11,North East LEP Board Members’,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Birmingham and Solihull LEP Members’,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,LGA District Councillors Network,Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,National Trust,Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Royal Society for the Protection of Birds,Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Campaign to Protect Rural England,Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Wildlife Trust,Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,WWF-UK,Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Friends of the Earth,Planning Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Birmingham City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Campaign to Protect Rural England,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Core Cities Group,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Manchester City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Greater Manchester Business Leaders,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Greater Manchester LEP Board Members’,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Cargill Trafford Park,Cities Policy/Enterprise Zones
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,MediaCity UK,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,National Housing Federation,Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Campaign to Protect Rural England,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Liverpool City Council,Cities policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Liverpool Business Leaders Group,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Daresbury Science and Innovation Centre,Cities Policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,British Property Federation,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Royal Town and Planning Institute,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,Countryside Alliance,Planning policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-11,National Trust,Planning policy
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jul-11,"Homeless Link, Crisis, St Basils, The Passage, Broadway, St Mungos, GLA, Thames Reach, Shelter, Groundswell, St Giles, National Health Inclusion, Business Action on Homelessness, Salvation Army, Big Issue, Cyrenians, Streetwise Opera, Local Government Association, Aquila Way, Herts Young Homelessness Group","Launch of the Ministerial Working Group Report ‘Vision to End Rough Sleeping: No Second Night Out Nationwide’ at St Mungos, Endell Street "
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jul-11,"Priced Out, Telegraph, Santander, Lloyds Banking Grp, Nationwide, Aviva, CML, Building Societies Association, HBF, NHF, Volume Developers Group,FSA, HMT, MoD, HCA, Barratts, Taylor Wimpey, National Centre for Social Research, Intermediary Mortgage Lenders Association  ", 2nd First Time Buyers Summit: To discuss the challenges facing First Time Buyers including current and ex-service personnel.
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jul-11,Mayor of London,Affordable Rent and London
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jul-11,Paul Waugh (Editor of Politics Home),To discuss general housing issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jul-11,Simon Kirby MP (Con. Brighton Kemptown) and Cllr from Brighton and Hove,To discuss Housing Revenue Account reform
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jul-11,RICS and self build sector,To brief the Self Build sector on the Action Plan and its proposals prior to the publication and launch.  
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jul-11,National Housing Federation,Transparency
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Sep-11,Top 50 Developing Housing Associations,Affordable Homes Programme
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Sep-11,Chris Grayling MP and Bernard Jenkin MP and Emmaus,To discuss the measuring of outcomes for people with multiple needs including homelessness.
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Sep-11,"Graham Jones MP (Lab. Hyndburn), Councillor Clare Pritchard, Mark Hoyle (Hyndburn Borough Council)",To discuss Housing Market Renewal
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Sep-11,Chartered Institute of Housing,Introductory meeting
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jul-11,Vinspire,Meet young people involved in Big Society projects
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jul-11,BRAC,Presentation to Minister
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jul-11,"Network of Buddhist Organisations, UK Buddhist Society, National Spiritual Assembly of the Bahá'í of the United Kingdom, Catholic Bishops' Conference of England and Wales, Methodist Church, Evangelical Alliance, Church of England, Faith in Britain, Hindu Council UK, National Council of Hindu Temples (UK), Hindu Forum of Britain, Jain Samaj Europe, Board of Deputies of British Jews, Movement for Reform Judaism, Office of the Chief Rabbi, Al-Khoei Foundation, British Muslim Forum, Sufi Muslim Council North West/National, Network of Sikh Organisations, British Sikh Consultative Forum, Zoroastrian Trust Funds of Europe, Faith Based Regeneration Network UK, Inter Faith Network for the UK",Round table with Faith organisations on Big Society
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jul-11,School linkage and Pears Foundation,Discuss projects of organisations
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Sep-11,WWF,Discuss Zero Carbon Homes
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Sep-11,Electrical Safety Council,Discuss review of Part P of Building regulations
"Bob Neill MP, Parliamentary Under-Secretary of State",Jul-11,South Yorkshire FRA,Efficiency proposals
"Bob Neill MP, Parliamentary Under-Secretary of State",Jul-11,British Beer and Pub Association and Marstons PLC.,Community Right to Buy/Community Assets within the Localism Bill
"Bob Neill MP, Parliamentary Under-Secretary of State",Jul-11,FBU,Fire Service Pensions
"Bob Neill MP, Parliamentary Under-Secretary of State",Sep-11,The Sun and The Daily Mail,General issues
"Bob Neill MP, Parliamentary Under-Secretary of State",Sep-11,Chelgate Ltd,Various aspects of the Localism Bill
"Bob Neill MP, Parliamentary Under-Secretary of State",Sep-11,Fire Officers Association.,Fire Industrial relations and Fire pensions
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Nil Return,Nil Return,Nil Return

"Does not normally include meetings with Government bodies such as other Government Departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of devolved or foreign governments.",,,
