Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",134,128.4,253,240.7,941,922.7,335,319.1,36,33.3,38,38,"1,737","1,682",14,12,1,1,14,14,0,0,29,27,"1,766","1,709","4,834,297.00","167,030.00",,"141,940.00","1,254,359.00","432,675.00","6,830,301.00","124,482.00",,"124,482.00","6,954,783.00",
Skills Funding Agency,Executive Agency,"Department for Business, Innovation & Skills",113,109.59,423,409.95,565,553.04,167,166.32,46,45.45,2,1.95,"1,316","1,286",6,6,0,0,99,99,1,1,106,106,"1,422","1,392","4,358,399.52","130,325.59",0,684.08,"880,268.31","406,882.22","5,776,559.72","1,051,612.00",0,"1,051,612.00","6,828,171.72",
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1528,1426,700,675,96,93,12,12,8,8,7,0.96,"2,351","2,215",100,100,0,0,106,106,0,0,206,206,"2,557","2,421","4,032,961.82","122,577.24","8,341.02","199,367.24","310,294.50","332,406.41","5,005,948.23","792,524.00","5,089.00","797,613.00","5,803,561.23",
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,41,41,17,17,78,78,6,6,29,29,171,171,14,14,0,0,0,0,0,0,14,14,185,185,"728,207.50","104,723.40",,,"128,716.50","87,525.69","1,049,173.09","34,498.85",,"34,498.85","1,083,671.94",
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",22,21.7,13,12.2,52,51.4,14,13.8,6,6,0,0,107,105,0,0,0,0,1,1,0,0,1,1,108,106,"351,287.55",,,,"69,192.11","31,364.51","451,844.17",,,0,"451,844.17",
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",232,203.52,224,213.2559459,263,257.2054054,227,214.4754054,29,29,0,0,975,917,34,34,0,0,28,28,0,0,62,62,"1,037",979,"2,552,700.00","86,950.00","12,168.00","132,056.00","487,755.00","229,415.00","3,501,044.00","446,405.00",,"446,405.00","3,947,449.00",
UK Space Agency,Executive Agency,"Department for Business, Innovation & Skills",1,1,5,5,12,12,22,22,4,4,0,0,44,44,0,0,0,0,0,0,0,0,0,0,44,44,"150,017.15",,,394.04,"29,552.98","14,096.14","194,060.31",,,0,"194,060.31",
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",60,55.5,68,66.37,293,289.84,102,100.17,10,9.6,17,17,550,538,8,8,0,0,369,369,0,0,377,377,927,915,"1,748,977.58",0,"78,421.00","44,790.03","261,384.85","153,731.75","2,287,305.21","1,568,486.00",0,"1,568,486.00","3,855,791.21",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Ordance Survey,Non-Ministerial Department,"Department for Business, Innovation & Skills",37,31.35,516,503.68,419,408.64,115,112.94,7,6.6,3,0.73,"1,097","1,064",67,67,1,1,94,94,0,0,162,162,"1,259","1,226","2,848,612.36","77,531.92","146,941.80","19,874.24","558,016.14","256,854.22","3,907,830.68","1,311,246.41",0,"1,311,246.41","5,219,077.09"
Met Office,Non-Ministerial Department,"Department for Business, Innovation & Skills",0,0,0,0,0,0,0,0,3,2.5,1951,1878.1,"1,954","1,881",16,16,19,19,35,35,0,0,70,70,"2,024","1,951","4,850,408.00","353,608.00","70,421.00","194,132.00","1,015,110.00","428,218.00","6,911,897.00","320,925.00",,"320,925.00","7,232,822.00"
