Department,Organisation Name,Basis for Exception, Value requested (£m) , Value Approved (£m) ,Approval month
MoD,DECS,,19.443,14.607,Oct-11
MOD,SPVA - JPA Refresh - Re-submit,,5.5,5.5,Sep-11
MOD,DITM Fallbck,,3.5,3.5,Dec-11
MoD,Recruiting Partnering Project (RPP),,96.4,71.4,Nov-11
,,,,95.007,"95,007,000"
