Department,Project Name,Value (£),Basis for Exception,Date
Communities and Local Government  -Valuation Tribunal Service,"The Hollies, Stafford"," 19,000 ",Restructure existing lease to deliver annual savings,August
Communities and Local Government  - Governemnt Office Network,"Belgrave Centre, Nottingham 
"," 1,942,973 ",Hold over on the lease to enable ordered run down to avoid re-locatingat significant expense ,August
